LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1670855225.333222,1240179.000,4086,3,GX,1,100,0.061
1670855225.333222,1240179.000,4086,3,GX,1,100,0.061
1670855225.333222,1240179.000,4086,3,GX,1,100,0.061
1670855225.362805,1240207.667,4106,3,GX,1,100,0.092
1670855225.392387,1240236.333,4106,3,GX,1,100,0.092
1670855225.421969,1240265.000,4106,3,GX,1,100,0.061
1670855225.461871,1240303.667,4123,3,GX,1,100,0.031
1670855225.501773,1240342.333,4123,3,GX,1,100,0.061
1670855225.541674,1240381.000,4123,3,GX,1,100,0.061
1670855225.588628,1240426.500,4139,2,GX,1,100,0.122
1670855225.635581,1240472.000,4139,2,GX,1,100,0.061
1670855225.675311,1240510.500,4154,2,GX,1,100,0.092
1670855225.715040,1240549.000,4154,2,GX,1,100,0.031
1670855225.754942,1240587.667,4173,3,GX,1,100,0.031
1670855225.794844,1240626.333,4173,3,GX,1,100,0.092
1670855225.834746,1240665.000,4173,3,GX,1,100,0.092
1670855225.873960,1240703.000,4190,3,GX,1,100,0.031
1670855225.913173,1240741.000,4190,3,GX,1,100,0.061
1670855225.952387,1240779.000,4190,3,GX,1,100,0.092
1670855225.993665,1240819.000,4206,2,GX,1,100,0.092
1670855226.034942,1240859.000,4206,2,GX,1,100,0.122
1670855226.075188,1240898.000,4224,3,GX,1,100,0.092
1670855226.115434,1240937.000,4224,3,GX,1,100,0.031
1670855226.155679,1240976.000,4224,3,GX,1,100,0.031
1670855226.195237,1241014.333,4238,3,GX,1,100,0.092
1670855226.234795,1241052.667,4238,3,GX,1,100,0.092
1670855226.274353,1241091.000,4238,3,GX,1,100,0.061
1670855226.314083,1241129.500,4255,2,GX,1,100,0.061
1670855226.353812,1241168.000,4255,2,GX,1,100,0.061
1670855226.393714,1241206.667,4272,3,GX,1,100,0.061
1670855226.433616,1241245.333,4272,3,GX,1,100,0.092
1670855226.473517,1241284.000,4272,3,GX,1,100,0.092
1670855226.513763,1241323.000,4289,2,GX,1,100,0.031
1670855226.554009,1241362.000,4289,2,GX,1,100,0.061
1670855226.593911,1241400.667,4303,3,GX,1,100,0.122
1670855226.633812,1241439.333,4303,3,GX,1,100,0.122
1670855226.673714,1241478.000,4303,3,GX,1,100,0.061
1670855226.719635,1241522.500,4321,2,GX,1,100,0.031
1670855226.765557,1241567.000,4321,2,GX,1,100,0.061
1670855226.805803,1241606.000,4339,3,GX,1,100,0.061
1670855226.846048,1241645.000,4339,3,GX,1,100,0.122
1670855226.886294,1241684.000,4339,3,GX,1,100,0.061
1670855226.926540,1241723.000,4356,3,GX,1,100,0.092
1670855226.966785,1241762.000,4356,3,GX,1,100,0.061
1670855227.007031,1241801.000,4356,3,GX,1,100,0.031
1670855227.047277,1241840.000,4376,2,GX,1,100,0.092
1670855227.087523,1241879.000,4376,2,GX,1,100,0.092
1670855227.127424,1241917.667,4391,3,GX,1,100,0.061
1670855227.167326,1241956.333,4391,3,GX,1,100,0.061
1670855227.207228,1241995.000,4391,3,GX,1,100,0.061
1670855227.246958,1242033.500,4407,2,GX,1,100,0.061
1670855227.286687,1242072.000,4407,2,GX,1,100,0.031
1670855227.325901,1242110.000,4424,3,GX,1,100,0.061
1670855227.365115,1242148.000,4424,3,GX,1,100,0.061
1670855227.404329,1242186.000,4424,3,GX,1,100,0.092
1670855227.444918,1242225.333,4441,3,GX,1,100,0.061
1670855227.485508,1242264.667,4441,3,GX,1,100,0.031
1670855227.526098,1242304.000,4441,3,GX,1,100,0.092
1670855227.566344,1242343.000,4457,2,GX,1,100,0.092
1670855227.606589,1242382.000,4457,2,GX,1,100,0.092
1670855227.646491,1242420.667,4472,3,GX,1,100,0.061
1670855227.686393,1242459.333,4472,3,GX,1,100,0.061
1670855227.726294,1242498.000,4472,3,GX,1,100,0.061
1670855227.766196,1242536.667,4497,3,GX,1,100,0.031
1670855227.806098,1242575.333,4497,3,GX,1,100,0.031
1670855227.845999,1242614.000,4497,3,GX,1,100,0.031
1670855227.890373,1242657.000,4513,3,GX,1,100,0.031
1670855227.934747,1242700.000,4513,3,GX,1,100,0.092
1670855227.979120,1242743.000,4513,3,GX,1,100,0.122
1670855228.019022,1242781.667,4531,3,GX,1,100,0.122
1670855228.058923,1242820.333,4531,3,GX,1,100,0.061
1670855228.098825,1242859.000,4531,3,GX,1,100,0.061
1670855228.138555,1242897.500,4547,2,GX,1,100,0.092
1670855228.178285,1242936.000,4547,2,GX,1,100,0.061
1670855228.218186,1242974.667,4564,3,GX,1,100,0.061
