LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1670855225.333222,1240179.000,4081,3,PR,1,100,1553
1670855225.333222,1240179.000,4081,3,PR,1,100,1549
1670855225.333222,1240179.000,4081,3,PR,1,100,1557
1670855225.362805,1240207.667,4097,3,PR,1,100,1554
1670855225.392387,1240236.333,4097,3,PR,1,100,1553
1670855225.421969,1240265.000,4097,3,PR,1,100,1542
1670855225.461871,1240303.667,4114,3,PR,1,100,1559
1670855225.501773,1240342.333,4114,3,PR,1,100,1550
1670855225.541674,1240381.000,4114,3,PR,1,100,1554
1670855225.581920,1240420.000,4130,2,PR,1,100,1553
1670855225.622166,1240459.000,4130,2,PR,1,100,1562
1670855225.662068,1240497.667,4147,3,PR,1,100,1559
1670855225.701969,1240536.333,4147,3,PR,1,100,1563
1670855225.741871,1240575.000,4147,3,PR,1,100,1553
1670855225.781601,1240613.500,4164,2,PR,1,100,1546
1670855225.821331,1240652.000,4164,2,PR,1,100,1546
1670855225.860544,1240690.000,4181,3,PR,1,100,1551
1670855225.899758,1240728.000,4181,3,PR,1,100,1544
1670855225.938972,1240766.000,4181,3,PR,1,100,1543
1670855225.979562,1240805.333,4197,3,PR,1,100,1550
1670855226.020151,1240844.667,4197,3,PR,1,100,1553
1670855226.060741,1240884.000,4197,3,PR,1,100,1552
1670855226.108210,1240930.000,4215,2,PR,1,100,1552
1670855226.155679,1240976.000,4215,2,PR,1,100,1567
1670855226.195237,1241014.333,4231,3,PR,1,100,1562
1670855226.234795,1241052.667,4231,3,PR,1,100,1561
1670855226.274353,1241091.000,4231,3,PR,1,100,1543
1670855226.314083,1241129.500,4246,2,PR,1,100,1549
1670855226.353812,1241168.000,4246,2,PR,1,100,1544
1670855226.393714,1241206.667,4263,3,PR,1,100,1549
1670855226.433616,1241245.333,4263,3,PR,1,100,1546
1670855226.473517,1241284.000,4263,3,PR,1,100,1552
1670855226.513763,1241323.000,4280,2,PR,1,100,1543
1670855226.554009,1241362.000,4280,2,PR,1,100,1552
1670855226.593911,1241400.667,4296,3,PR,1,100,1560
1670855226.633812,1241439.333,4296,3,PR,1,100,1564
1670855226.673714,1241478.000,4296,3,PR,1,100,1557
1670855226.712928,1241516.000,4312,3,PR,1,100,1555
1670855226.752142,1241554.000,4312,3,PR,1,100,1544
1670855226.791355,1241592.000,4312,3,PR,1,100,1549
1670855226.831601,1241631.000,4330,2,PR,1,100,1548
1670855226.871847,1241670.000,4330,2,PR,1,100,1542
1670855226.912436,1241709.333,4347,3,PR,1,100,1549
1670855226.953026,1241748.667,4347,3,PR,1,100,1542
1670855226.993616,1241788.000,4347,3,PR,1,100,1556
1670855227.033862,1241827.000,4367,2,PR,1,100,1558
1670855227.074107,1241866.000,4367,2,PR,1,100,1558
1670855227.114009,1241904.667,4384,3,PR,1,100,1557
1670855227.153911,1241943.333,4384,3,PR,1,100,1566
1670855227.193813,1241982.000,4384,3,PR,1,100,1551
1670855227.233714,1242020.667,4398,3,PR,1,100,1558
1670855227.273616,1242059.333,4398,3,PR,1,100,1545
1670855227.313518,1242098.000,4398,3,PR,1,100,1554
1670855227.352216,1242135.500,4415,2,PR,1,100,1547
1670855227.390913,1242173.000,4415,2,PR,1,100,1553
1670855227.431159,1242212.000,4432,3,PR,1,100,1552
1670855227.471405,1242251.000,4432,3,PR,1,100,1557
1670855227.511651,1242290.000,4432,3,PR,1,100,1556
1670855227.552412,1242329.500,4449,2,PR,1,100,1559
1670855227.593174,1242369.000,4449,2,PR,1,100,1563
1670855227.633076,1242407.667,4464,3,PR,1,100,1568
1670855227.672977,1242446.333,4464,3,PR,1,100,1558
1670855227.712879,1242485.000,4464,3,PR,1,100,1546
1670855227.752867,1242523.750,4488,4,PR,1,100,1543
1670855227.792855,1242562.500,4488,4,PR,1,100,1548
1670855227.832842,1242601.250,4488,4,PR,1,100,1547
1670855227.872830,1242640.000,4488,4,PR,1,100,1537
1670855227.919267,1242685.000,4504,2,PR,1,100,1562
1670855227.965705,1242730.000,4504,2,PR,1,100,1558
1670855228.005606,1242768.667,4522,3,PR,1,100,1571
1670855228.045508,1242807.333,4522,3,PR,1,100,1560
1670855228.085410,1242846.000,4522,3,PR,1,100,1564
1670855228.125656,1242885.000,4538,2,PR,1,100,1562
1670855228.165901,1242924.000,4538,2,PR,1,100,1551
1670855228.205115,1242962.000,4555,3,PR,1,100,1553
1670855228.244329,1243000.000,4555,3,PR,1,100,1539
