RD,TS_received,TS_sent,AK,RoundTrip,
50229,50251,2022-12-14_12-50-36-586226,50253,22,
55339,55360,2022-12-14_12-50-41-856873,55363,21,
60454,65555,2022-12-14_12-50-47-173838,65563,5101,
65576,65596,2022-12-14_12-50-52-432482,65638,20,
70680,70726,2022-12-14_12-50-57-724790,70729,46,
75780,75802,2022-12-14_12-51-02-959161,75806,22,
80898,80920,2022-12-14_12-51-08-245366,80923,22,
86005,86027,2022-12-14_12-51-13-513473,86030,22,
91124,96217,2022-12-14_12-51-19-016203,96220,5093,
96221,96244,2022-12-14_12-51-24-066497,96246,23,
101339,101364,2022-12-14_12-51-29-352286,101367,25,
106474,106506,2022-12-14_12-51-34-651248,106509,32,
111587,111689,2022-12-14_12-51-40-017006,111691,102,
116698,116720,2022-12-14_12-51-45-205604,116723,22,
121800,121821,2022-12-14_12-51-50-480370,121824,21,
126935,126961,2022-12-14_12-51-55-771278,126964,26,
132039,132115,2022-12-14_12-52-01-087495,132118,76,
137162,137182,2022-12-14_12-52-06-333361,137185,20,
142276,142327,2022-12-14_12-52-11-647529,142332,51,
147399,152509,2022-12-14_12-52-17-006243,152520,5110,
152538,152559,2022-12-14_12-52-22-209873,152562,21,
