LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1671015035.447117,49133.000,6095,6,MX,1,100,22
1671015035.447117,49133.000,6095,6,MX,1,100,22
1671015035.447117,49133.000,6095,6,MX,1,100,22
1671015035.447117,49133.000,6095,6,MX,1,100,22
1671015035.447117,49133.000,6095,6,MX,1,100,23
1671015035.447117,49133.000,6095,6,MX,1,100,20
1671015035.487034,49171.667,6112,3,MX,1,100,22
1671015035.526952,49210.333,6112,3,MX,1,100,22
1671015035.566869,49249.000,6112,3,MX,1,100,22
1671015035.606786,49287.667,6131,3,MX,1,100,22
1671015035.646703,49326.333,6131,3,MX,1,100,22
1671015035.686620,49365.000,6131,3,MX,1,100,22
1671015035.726881,49404.000,6149,2,MX,1,100,22
1671015035.767142,49443.000,6149,2,MX,1,100,22
1671015035.806715,49481.333,6163,3,MX,1,100,22
1671015035.846288,49519.667,6163,3,MX,1,100,22
1671015035.885861,49558.000,6163,3,MX,1,100,23
1671015035.926638,49597.500,6180,2,MX,1,100,21
1671015035.967415,49637.000,6180,2,MX,1,100,22
1671015036.011806,49680.000,6197,3,MX,1,100,22
1671015036.056196,49723.000,6197,3,MX,1,100,22
1671015036.100587,49766.000,6197,3,MX,1,100,22
1671015036.141880,49806.000,6219,2,MX,1,100,22
1671015036.183174,49846.000,6219,2,MX,1,100,22
1671015036.223091,49884.667,6234,3,MX,1,100,22
1671015036.263008,49923.333,6234,3,MX,1,100,22
1671015036.302925,49962.000,6234,3,MX,1,100,22
1671015036.342670,50000.500,6251,2,MX,1,100,22
1671015036.382415,50039.000,6251,2,MX,1,100,22
1671015036.421988,50077.333,6267,3,MX,1,100,22
1671015036.461560,50115.667,6267,3,MX,1,100,22
1671015036.501133,50154.000,6267,3,MX,1,100,22
1671015036.541050,50192.667,6292,3,MX,1,100,22
1671015036.580968,50231.333,6292,3,MX,1,100,20
1671015036.620885,50270.000,6292,3,MX,1,100,21
1671015036.660458,50308.333,6309,3,MX,1,100,20
1671015036.700031,50346.667,6309,3,MX,1,100,19
1671015036.739603,50385.000,6309,3,MX,1,100,20
1671015036.780897,50425.000,6324,2,MX,1,100,18
1671015036.822190,50465.000,6324,2,MX,1,100,18
1671015036.862107,50503.667,6340,3,MX,1,100,19
1671015036.902025,50542.333,6340,3,MX,1,100,19
1671015036.941941,50581.000,6340,3,MX,1,100,19
1671015036.981686,50619.500,6358,2,MX,1,100,19
1671015037.021431,50658.000,6358,2,MX,1,100,19
1671015037.065822,50701.000,6379,3,MX,1,100,20
1671015037.110212,50744.000,6379,3,MX,1,100,19
1671015037.154603,50787.000,6379,3,MX,1,100,19
1671015037.194864,50826.000,6396,2,MX,1,100,19
1671015037.235125,50865.000,6396,2,MX,1,100,19
1671015037.274354,50903.000,6410,3,MX,1,100,19
1671015037.313583,50941.000,6410,3,MX,1,100,19
1671015037.352812,50979.000,6410,3,MX,1,100,20
1671015037.392729,51017.667,6428,3,MX,1,100,19
1671015037.432646,51056.333,6428,3,MX,1,100,19
1671015037.472563,51095.000,6428,3,MX,1,100,19
1671015037.511791,51133.000,6444,2,MX,1,100,20
1671015037.551020,51171.000,6444,2,MX,1,100,19
1671015037.591970,51210.667,6464,3,MX,1,100,19
1671015037.632919,51250.333,6464,3,MX,1,100,18
1671015037.673868,51290.000,6464,3,MX,1,100,20
1671015037.713785,51328.667,6483,3,MX,1,100,20
