LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1671015038.926093,52503.000,6666,3,AX,1,100,-0.081
1671015038.966698,52542.333,6683,3,AX,1,100,-0.084
1671015039.007304,52581.667,6683,3,AX,1,100,-0.082
1671015039.047909,52621.000,6683,3,AX,1,100,-0.082
1671015039.088686,52660.500,6702,2,AX,1,100,-0.081
1671015039.129464,52700.000,6702,2,AX,1,100,-0.083
1671015039.169725,52739.000,6721,3,AX,1,100,-0.081
1671015039.209986,52778.000,6721,3,AX,1,100,-0.081
1671015039.250247,52817.000,6721,3,AX,1,100,-0.082
1671015039.289992,52855.500,6736,2,AX,1,100,-0.087
1671015039.329737,52894.000,6736,2,AX,1,100,-0.084
1671015039.374127,52937.000,6753,3,AX,1,100,-0.080
1671015039.418518,52980.000,6753,3,AX,1,100,-0.091
1671015039.462909,53023.000,6753,3,AX,1,100,-0.087
1671015039.502653,53061.500,6770,2,AX,1,100,-0.082
1671015039.542398,53100.000,6770,2,AX,1,100,-0.081
1671015039.581627,53138.000,6789,3,AX,1,100,-0.085
1671015039.620856,53176.000,6789,3,AX,1,100,-0.090
1671015039.660085,53214.000,6789,3,AX,1,100,-0.084
1671015039.700346,53253.000,6806,2,AX,1,100,-0.083
1671015039.740607,53292.000,6806,2,AX,1,100,-0.086
1671015039.780524,53330.667,6821,3,AX,1,100,-0.084
1671015039.820441,53369.333,6821,3,AX,1,100,-0.086
1671015039.860358,53408.000,6821,3,AX,1,100,-0.083
1671015039.900964,53447.333,6838,3,AX,1,100,-0.082
1671015039.941569,53486.667,6838,3,AX,1,100,-0.083
1671015039.982174,53526.000,6838,3,AX,1,100,-0.085
1671015040.021919,53564.500,6855,2,AX,1,100,-0.079
1671015040.061664,53603.000,6855,2,AX,1,100,-0.079
1671015040.101925,53642.000,6877,3,AX,1,100,-0.083
1671015040.142186,53681.000,6877,3,AX,1,100,-0.082
1671015040.182447,53720.000,6877,3,AX,1,100,-0.078
1671015040.221676,53758.000,6891,3,AX,1,100,-0.085
1671015040.260905,53796.000,6891,3,AX,1,100,-0.079
1671015040.300134,53834.000,6891,3,AX,1,100,-0.080
1671015040.339879,53872.500,6909,2,AX,1,100,-0.085
1671015040.379624,53911.000,6909,2,AX,1,100,-0.079
1671015040.424358,53954.333,6925,3,AX,1,100,-0.081
1671015040.469093,53997.667,6925,3,AX,1,100,-0.084
1671015040.513828,54041.000,6925,3,AX,1,100,-0.084
1671015040.553573,54079.500,6945,2,AX,1,100,-0.084
1671015040.593318,54118.000,6945,2,AX,1,100,-0.085
1671015040.633579,54157.000,6962,3,AX,1,100,-0.076
1671015040.673840,54196.000,6962,3,AX,1,100,-0.087
1671015040.714101,54235.000,6962,3,AX,1,100,-0.083
1671015040.753846,54273.500,6977,2,AX,1,100,-0.078
1671015040.793591,54312.000,6977,2,AX,1,100,-0.079
1671015040.832476,54349.667,6993,3,AX,1,100,-0.071
1671015040.871360,54387.333,6993,3,AX,1,100,-0.079
1671015040.910245,54425.000,6993,3,AX,1,100,-0.078
1671015040.950162,54463.667,7010,3,AX,1,100,-0.081
1671015040.990079,54502.333,7010,3,AX,1,100,-0.076
1671015041.029996,54541.000,7010,3,AX,1,100,-0.079
1671015041.069741,54579.500,7032,2,AX,1,100,-0.078
1671015041.109486,54618.000,7032,2,AX,1,100,-0.074
1671015041.149403,54656.667,7049,3,AX,1,100,-0.073
1671015041.189320,54695.333,7049,3,AX,1,100,-0.082
1671015041.229237,54734.000,7049,3,AX,1,100,-0.075
1671015041.269842,54773.333,7063,3,AX,1,100,-0.080
1671015041.310448,54812.667,7063,3,AX,1,100,-0.079
1671015041.351053,54852.000,7063,3,AX,1,100,-0.070
1671015041.391314,54891.000,7081,2,AX,1,100,-0.077
1671015041.431575,54930.000,7081,2,AX,1,100,-0.077
1671015041.471492,54968.667,7097,3,AX,1,100,-0.083
1671015041.511409,55007.333,7097,3,AX,1,100,-0.075
1671015041.551326,55046.000,7097,3,AX,1,100,-0.075
1671015041.598298,55091.500,7117,2,AX,1,100,-0.078
1671015041.645269,55137.000,7117,2,AX,1,100,-0.081
1671015041.684842,55175.333,7132,3,AX,1,100,-0.076
1671015041.724415,55213.667,7132,3,AX,1,100,-0.077
1671015041.763988,55252.000,7132,3,AX,1,100,-0.079
1671015041.803905,55290.667,7154,3,AX,1,100,-0.077
1671015041.843822,55329.333,7154,3,AX,1,100,-0.073
1671015041.883739,55368.000,7154,3,AX,1,100,-0.077
1671015041.923484,55406.500,7170,2,AX,1,100,-0.078
1671015041.963229,55445.000,7170,2,AX,1,100,-0.077
1671015042.002802,55483.333,7189,3,AX,1,100,-0.075
1671015042.042375,55521.667,7189,3,AX,1,100,-0.082
1671015042.081948,55560.000,7189,3,AX,1,100,-0.079
