LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL,LC,
1671015064.222480,77007,10815,4,TX,1,100,2022-12-14_12-51-04-126628,1397301.3129024,
1671015064.756198,77524,10902,4,TX,1,100,2022-12-14_12-51-04-626892,1397301.8131882,
1671015065.169133,77924,10972,4,TX,1,100,2022-12-14_12-51-05-128623,1397302.3149426,
1671015065.645040,78385,11041,4,TX,1,100,2022-12-14_12-51-05-628139,1397302.8144808,
1671015066.255152,78976,11144,4,TX,1,100,2022-12-14_12-51-06-148322,1397303.3346879,
1671015066.649504,79358,11212,4,TX,1,100,2022-12-14_12-51-06-628200,1397303.8145869,
1671015067.175996,79868,11300,4,TX,1,100,2022-12-14_12-51-07-128677,1397304.3150851,
1671015067.693197,80369,11384,4,TX,1,100,2022-12-14_12-51-07-629864,1397304.8162934,
1671015068.223818,80883,11474,4,TX,1,100,2022-12-14_12-51-08-145712,1397305.3321673,
1671015068.667723,81313,11547,4,TX,1,100,2022-12-14_12-51-08-646234,1397305.8327126,
1671015069.218991,81847,11637,4,TX,1,100,2022-12-14_12-51-09-129377,1397306.3158766,
1671015069.737224,82349,11725,4,TX,1,100,2022-12-14_12-51-09-646623,1397306.8331467,
1671015070.152224,82751,11796,4,TX,1,100,2022-12-14_12-51-10-130891,1397307.3174351,
1671015070.654972,83238,11881,4,TX,1,100,2022-12-14_12-51-10-631332,1397307.8178985,
1671015071.176302,83743,11968,4,TX,1,100,2022-12-14_12-51-11-149346,1397308.3359357,
1671015071.688341,84239,12054,4,TX,1,100,2022-12-14_12-51-11-631678,1397308.8182902,
1671015072.208639,84743,12144,4,TX,1,100,2022-12-14_12-51-12-150037,1397309.3366720,
1671015072.673191,85193,12212,4,TX,1,100,2022-12-14_12-51-12-648433,1397309.8350898,
1671015073.200715,85704,12302,4,TX,1,100,2022-12-14_12-51-13-148465,1397310.3351381,
1671015073.731336,86218,12395,4,TX,1,100,2022-12-14_12-51-13-672257,1397310.8589484,
1671015074.152530,86626,12466,4,TX,1,100,2022-12-14_12-51-14-132709,1397311.3194160,
1671015074.658375,87116,12551,4,TX,1,100,2022-12-14_12-51-14-633589,1397311.8203128,
1671015075.277777,87716,12658,4,TX,1,100,2022-12-14_12-51-15-150582,1397312.3373222,
1671015075.803237,88225,12746,4,TX,1,100,2022-12-14_12-51-15-650370,1397312.8371270,
1671015076.532067,88931,12866,4,TX,1,100,2022-12-14_12-51-16-151300,1397313.3380740,
1671015076.672465,89067,12886,4,TX,1,100,2022-12-14_12-51-16-651515,1397313.8383051,
1671015077.209280,89587,12976,4,TX,1,100,2022-12-14_12-51-17-135137,1397314.3219429,
1671015077.724416,90086,13062,4,TX,1,100,2022-12-14_12-51-17-671409,1397314.8582333,
1671015078.218905,90565,13149,4,TX,1,100,2022-12-14_12-51-18-152341,1397315.3391819,
1671015078.733009,91063,13237,4,TX,1,100,2022-12-14_12-51-18-653103,1397315.8399596,
1671015079.292536,91605,13315,4,TX,1,100,2022-12-14_12-51-19-152502,1397316.3393763,
1671015079.659016,91960,13369,4,TX,1,100,2022-12-14_12-51-19-636474,1397316.8233635,
1671015080.184475,92469,13459,4,TX,1,100,2022-12-14_12-51-20-153219,1397317.3401260,
1671015080.766713,93033,13560,4,TX,1,100,2022-12-14_12-51-20-637565,1397317.8244888,
1671015081.285979,93536,13651,4,TX,1,100,2022-12-14_12-51-21-138409,1397318.3253493,
1671015081.732981,93969,13722,4,TX,1,100,2022-12-14_12-51-21-668658,1397318.8556164,
1671015082.251214,94471,13811,4,TX,1,100,2022-12-14_12-51-22-155530,1397319.3425048,
1671015082.677569,94884,13883,4,TX,1,100,2022-12-14_12-51-22-655444,1397319.8424355,
1671015083.273227,95461,13988,4,TX,1,100,2022-12-14_12-51-23-155286,1397320.3422936,
1671015083.756361,95929,14059,4,TX,1,100,2022-12-14_12-51-23-656057,1397320.8430771,
1671015084.181684,96341,14135,4,TX,1,100,2022-12-14_12-51-24-156275,1397321.3433167,
1671015084.678238,96822,14221,4,TX,1,100,2022-12-14_12-51-24-656342,1397321.8433998,
1671015085.498946,97617,14361,4,TX,1,100,2022-12-14_12-51-25-157280,1397322.3443544,
1671015085.832391,97940,14414,4,TX,1,100,2022-12-14_12-51-25-647006,1397322.8340975,
1671015086.300040,98393,14489,4,TX,1,100,2022-12-14_12-51-26-225099,1397323.4122098,
1671015086.722265,98802,14558,4,TX,1,100,2022-12-14_12-51-26-640548,1397323.8276720,
1671015087.318956,99380,14663,4,TX,1,100,2022-12-14_12-51-27-141856,1397324.3289952,
1671015087.728794,99777,14731,4,TX,1,100,2022-12-14_12-51-27-641557,1397324.8287144,
1671015088.157214,100192,14804,4,TX,1,100,2022-12-14_12-51-28-142346,1397325.3295202,
1671015088.667188,100686,14888,4,TX,1,100,2022-12-14_12-51-28-642952,1397325.8301433,
1671015089.186454,101189,14979,4,TX,1,100,2022-12-14_12-51-29-142366,1397326.3295741,
1671015089.696429,101683,15055,4,TX,1,100,2022-12-14_12-51-29-643031,1397326.8302556,
1671015090.308604,102276,15162,4,TX,1,100,2022-12-14_12-51-30-201874,1397327.3891175,
1671015090.709151,102664,15233,4,TX,1,100,2022-12-14_12-51-30-660569,1397327.8478274,
1671015091.231514,103170,15324,4,TX,1,100,2022-12-14_12-51-31-160797,1397328.3480700,
