LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1671015036.578559,50229.000,6272,2,RD,1,100,TL
1671015036.578559,50229.000,6272,2,RD,1,100,TU
1671015039.216180,52784.000,7143,2,RD,1,100,TL
1671015041.853801,55339.000,7143,2,RD,1,100,TU
1671015044.494003,57896.500,8013,2,RD,1,100,TL
1671015047.134205,60454.000,8013,2,RD,1,100,TU
1671015049.778020,63015.000,8869,2,RD,1,100,TL
1671015052.421835,65576.000,8869,2,RD,1,100,TU
1671015055.056359,68128.000,9727,2,RD,1,100,TL
1671015057.690883,70680.000,9727,2,RD,1,100,TU
1671015060.323343,73230.000,10600,2,RD,1,100,TL
1671015062.955802,75780.000,10600,2,RD,1,100,TU
1671015065.597553,78339.000,11477,2,RD,1,100,TL
1671015068.239303,80898.000,11477,2,RD,1,100,TU
1671015070.875376,83451.500,12357,2,RD,1,100,TL
1671015073.511449,86005.000,12357,2,RD,1,100,TU
1671015076.153715,88564.500,13240,2,RD,1,100,TL
1671015078.795982,91124.000,13240,2,RD,1,100,TU
1671015081.426893,93672.500,14115,2,RD,1,100,TL
1671015084.057804,96221.000,14115,2,RD,1,100,TU
1671015086.699554,98780.000,14999,2,RD,1,100,TL
1671015089.341305,101339.000,14999,2,RD,1,100,TU
1671015091.991830,103906.500,15887,2,RD,1,100,TL
1671015094.642355,106474.000,15887,2,RD,1,100,TU
1671015097.281525,109030.500,16776,2,RD,1,100,TL
1671015099.920695,111587.000,16776,2,RD,1,100,TU
1671015102.558832,114142.500,17655,2,RD,1,100,TL
1671015105.196969,116698.000,17655,2,RD,1,100,TU
1671015107.830461,119249.000,18543,2,RD,1,100,TL
1671015110.463953,121800.000,18543,2,RD,1,100,TU
1671015113.114478,124367.500,19431,2,RD,1,100,TL
1671015115.765003,126935.000,19431,2,RD,1,100,TU
1671015118.399527,129487.000,20317,2,RD,1,100,TL
1671015121.034051,132039.000,20317,2,RD,1,100,TU
1671015123.678383,134600.500,21200,2,RD,1,100,TL
1671015126.322714,137162.000,21200,2,RD,1,100,TU
1671015128.962400,139719.000,22074,2,RD,1,100,TL
1671015131.602086,142276.000,22074,2,RD,1,100,TU
1671015134.246417,144837.500,22963,2,RD,1,100,TL
1671015136.890748,147399.000,22963,2,RD,1,100,TU
1671015139.543338,149968.500,23837,2,RD,1,100,TL
1671015142.195928,152538.000,23837,2,RD,1,100,TU
