LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1671015035.447117,49133.000,6085,2,EA,1,100,0.030324
1671015035.447117,49133.000,6085,2,EA,1,100,0.030324
1671015035.513703,49197.500,6102,2,EA,1,100,0.030324
1671015035.580289,49262.000,6102,2,EA,1,100,0.030324
1671015035.647391,49327.000,6121,1,EA,1,100,0.030324
1671015035.713460,49391.000,6139,2,EA,1,100,0.030324
1671015035.779530,49455.000,6139,2,EA,1,100,0.030324
1671015035.845599,49519.000,6155,1,EA,1,100,0.030324
1671015035.912701,49584.000,6170,2,EA,1,100,0.030324
1671015035.979803,49649.000,6170,2,EA,1,100,0.030324
1671015036.046905,49714.000,6187,1,EA,1,100,0.030324
1671015036.115039,49780.000,6209,2,EA,1,100,0.030324
1671015036.183174,49846.000,6209,2,EA,1,100,0.030324
1671015036.249243,49910.000,6225,1,EA,1,100,0.030324
1671015036.315829,49974.500,6242,2,EA,1,100,0.030324
1671015036.382415,50039.000,6242,2,EA,1,100,0.030324
1671015036.447968,50102.500,6257,2,EA,1,100,0.030324
1671015036.513522,50166.000,6257,2,EA,1,100,0.030324
1671015036.581656,50232.000,6282,1,EA,1,100,0.030323
1671015036.647209,50295.500,6299,2,EA,1,100,0.030324
1671015036.712763,50359.000,6299,2,EA,1,100,0.030323
1671015036.780897,50425.000,6316,1,EA,1,100,0.030324
1671015036.847999,50490.000,6330,2,EA,1,100,0.030323
1671015036.915101,50555.000,6330,2,EA,1,100,0.030323
1671015036.981686,50619.500,6348,2,EA,1,100,0.030323
1671015037.048272,50684.000,6348,2,EA,1,100,0.030323
1671015037.114342,50748.000,6369,1,EA,1,100,0.030323
1671015037.181444,50813.000,6386,2,EA,1,100,0.030324
1671015037.248546,50878.000,6386,2,EA,1,100,0.030323
1671015037.313583,50941.000,6402,1,EA,1,100,0.030323
1671015037.379136,51004.500,6418,2,EA,1,100,0.030323
