LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1670854070.564643,121328.000,18054,6,AY,1,100,0.111
1670854070.564643,121328.000,18054,6,AY,1,100,0.109
1670854070.564643,121328.000,18054,6,AY,1,100,0.111
1670854070.564643,121328.000,18054,6,AY,1,100,0.110
1670854070.564643,121328.000,18054,6,AY,1,100,0.110
1670854070.564643,121328.000,18054,6,AY,1,100,0.109
1670854070.604554,121366.667,18079,3,AY,1,100,0.111
1670854070.644465,121405.333,18079,3,AY,1,100,0.112
1670854070.684375,121444.000,18079,3,AY,1,100,0.110
1670854070.723598,121482.000,18095,3,AY,1,100,0.109
1670854070.762820,121520.000,18095,3,AY,1,100,0.109
1670854070.802043,121558.000,18095,3,AY,1,100,0.110
1670854070.841781,121596.500,18111,2,AY,1,100,0.109
1670854070.881520,121635.000,18111,2,AY,1,100,0.108
1670854070.921259,121673.500,18127,2,AY,1,100,0.109
1670854070.960997,121712.000,18127,2,AY,1,100,0.109
1670854071.005381,121755.000,18144,3,AY,1,100,0.110
1670854071.049764,121798.000,18144,3,AY,1,100,0.111
1670854071.094147,121841.000,18144,3,AY,1,100,0.112
1670854071.134058,121879.667,18160,3,AY,1,100,0.111
1670854071.173969,121918.333,18160,3,AY,1,100,0.109
1670854071.213879,121957.000,18160,3,AY,1,100,0.111
1670854071.254134,121996.000,18178,2,AY,1,100,0.109
1670854071.294389,122035.000,18178,2,AY,1,100,0.111
1670854071.333955,122073.333,18192,3,AY,1,100,0.108
1670854071.373522,122111.667,18192,3,AY,1,100,0.109
1670854071.413088,122150.000,18192,3,AY,1,100,0.109
1670854071.453343,122189.000,18209,3,AY,1,100,0.111
1670854071.493598,122228.000,18209,3,AY,1,100,0.109
1670854071.533852,122267.000,18209,3,AY,1,100,0.108
1670854071.574107,122306.000,18226,2,AY,1,100,0.112
1670854071.614362,122345.000,18226,2,AY,1,100,0.111
1670854071.654272,122383.667,18245,3,AY,1,100,0.109
1670854071.694183,122422.333,18245,3,AY,1,100,0.109
1670854071.734093,122461.000,18245,3,AY,1,100,0.112
1670854071.774348,122500.000,18260,2,AY,1,100,0.112
1670854071.814603,122539.000,18260,2,AY,1,100,0.109
1670854071.854169,122577.333,18277,3,AY,1,100,0.108
1670854071.893736,122615.667,18277,3,AY,1,100,0.110
1670854071.933302,122654.000,18277,3,AY,1,100,0.115
1670854071.972869,122692.333,18293,3,AY,1,100,0.110
1670854072.012435,122730.667,18293,3,AY,1,100,0.108
1670854072.052002,122769.000,18293,3,AY,1,100,0.113
1670854072.097934,122813.500,18310,2,AY,1,100,0.109
1670854072.143865,122858.000,18310,2,AY,1,100,0.109
1670854072.183776,122896.667,18327,3,AY,1,100,0.109
1670854072.223686,122935.333,18327,3,AY,1,100,0.110
1670854072.263597,122974.000,18327,3,AY,1,100,0.109
1670854072.304368,123013.500,18342,2,AY,1,100,0.108
1670854072.345139,123053.000,18342,2,AY,1,100,0.109
1670854072.385737,123092.333,18358,3,AY,1,100,0.114
1670854072.426336,123131.667,18358,3,AY,1,100,0.108
1670854072.466935,123171.000,18358,3,AY,1,100,0.110
1670854072.506674,123209.500,18375,2,AY,1,100,0.113
1670854072.546412,123248.000,18375,2,AY,1,100,0.108
1670854072.586323,123286.667,18394,3,AY,1,100,0.109
1670854072.626233,123325.333,18394,3,AY,1,100,0.110
1670854072.666144,123364.000,18394,3,AY,1,100,0.112
1670854072.706054,123402.667,18411,3,AY,1,100,0.108
1670854072.745965,123441.333,18411,3,AY,1,100,0.109
1670854072.785876,123480.000,18411,3,AY,1,100,0.110
1670854072.826130,123519.000,18425,2,AY,1,100,0.110
1670854072.866385,123558.000,18425,2,AY,1,100,0.108
1670854072.905952,123596.333,18443,3,AY,1,100,0.112
1670854072.945518,123634.667,18443,3,AY,1,100,0.114
1670854072.985085,123673.000,18443,3,AY,1,100,0.108
1670854073.025340,123712.000,18459,2,AY,1,100,0.110
1670854073.065594,123751.000,18459,2,AY,1,100,0.112
1670854073.105505,123789.667,18476,3,AY,1,100,0.108
1670854073.145415,123828.333,18476,3,AY,1,100,0.109
1670854073.185326,123867.000,18476,3,AY,1,100,0.112
1670854073.232290,123912.500,18492,2,AY,1,100,0.111
1670854073.279253,123958.000,18492,2,AY,1,100,0.106
1670854073.319164,123996.667,18508,3,AY,1,100,0.108
1670854073.359075,124035.333,18508,3,AY,1,100,0.112
1670854073.398985,124074.000,18508,3,AY,1,100,0.111
1670854073.438724,124112.500,18524,2,AY,1,100,0.110
1670854073.478463,124151.000,18524,2,AY,1,100,0.109
1670854073.517685,124189.000,18542,3,AY,1,100,0.114
1670854073.556908,124227.000,18542,3,AY,1,100,0.108
1670854073.596130,124265.000,18542,3,AY,1,100,0.107
1670854073.636041,124303.667,18560,3,AY,1,100,0.110
1670854073.675951,124342.333,18560,3,AY,1,100,0.112
1670854073.715862,124381.000,18560,3,AY,1,100,0.109
1670854073.756633,124420.500,18575,2,AY,1,100,0.108
1670854073.797404,124460.000,18575,2,AY,1,100,0.112
1670854073.838002,124499.333,18592,3,AY,1,100,0.110
1670854073.878601,124538.667,18592,3,AY,1,100,0.109
