LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1670854070.564643,121328.000,18061,6,MZ,1,100,87
1670854070.564643,121328.000,18061,6,MZ,1,100,86
1670854070.564643,121328.000,18061,6,MZ,1,100,86
1670854070.564643,121328.000,18061,6,MZ,1,100,87
1670854070.564643,121328.000,18061,6,MZ,1,100,86
1670854070.564643,121328.000,18061,6,MZ,1,100,87
1670854070.604554,121366.667,18086,3,MZ,1,100,86
1670854070.644465,121405.333,18086,3,MZ,1,100,87
1670854070.684375,121444.000,18086,3,MZ,1,100,87
1670854070.723598,121482.000,18102,3,MZ,1,100,87
1670854070.762820,121520.000,18102,3,MZ,1,100,87
1670854070.802043,121558.000,18102,3,MZ,1,100,87
1670854070.841781,121596.500,18118,2,MZ,1,100,88
1670854070.881520,121635.000,18118,2,MZ,1,100,87
1670854070.921259,121673.500,18134,2,MZ,1,100,86
1670854070.960997,121712.000,18134,2,MZ,1,100,86
1670854071.005381,121755.000,18151,3,MZ,1,100,88
1670854071.049764,121798.000,18151,3,MZ,1,100,87
1670854071.094147,121841.000,18151,3,MZ,1,100,87
1670854071.134058,121879.667,18167,3,MZ,1,100,88
1670854071.173969,121918.333,18167,3,MZ,1,100,87
1670854071.213879,121957.000,18167,3,MZ,1,100,87
1670854071.254134,121996.000,18185,2,MZ,1,100,87
1670854071.294389,122035.000,18185,2,MZ,1,100,89
1670854071.333955,122073.333,18199,3,MZ,1,100,87
1670854071.373522,122111.667,18199,3,MZ,1,100,86
1670854071.413088,122150.000,18199,3,MZ,1,100,87
1670854071.453343,122189.000,18216,3,MZ,1,100,86
1670854071.493598,122228.000,18216,3,MZ,1,100,87
1670854071.533852,122267.000,18216,3,MZ,1,100,86
1670854071.574107,122306.000,18233,2,MZ,1,100,87
1670854071.614362,122345.000,18233,2,MZ,1,100,87
1670854071.654272,122383.667,18252,3,MZ,1,100,87
1670854071.694183,122422.333,18252,3,MZ,1,100,88
1670854071.734093,122461.000,18252,3,MZ,1,100,87
1670854071.774348,122500.000,18267,2,MZ,1,100,87
1670854071.814603,122539.000,18267,2,MZ,1,100,86
1670854071.854169,122577.333,18284,3,MZ,1,100,86
1670854071.893736,122615.667,18284,3,MZ,1,100,88
1670854071.933302,122654.000,18284,3,MZ,1,100,86
1670854071.972869,122692.333,18300,3,MZ,1,100,87
1670854072.012435,122730.667,18300,3,MZ,1,100,87
1670854072.052002,122769.000,18300,3,MZ,1,100,86
1670854072.097934,122813.500,18317,2,MZ,1,100,88
1670854072.143865,122858.000,18317,2,MZ,1,100,86
1670854072.183776,122896.667,18334,3,MZ,1,100,87
1670854072.223686,122935.333,18334,3,MZ,1,100,87
1670854072.263597,122974.000,18334,3,MZ,1,100,87
1670854072.304368,123013.500,18349,2,MZ,1,100,87
1670854072.345139,123053.000,18349,2,MZ,1,100,86
1670854072.385737,123092.333,18365,3,MZ,1,100,87
1670854072.426336,123131.667,18365,3,MZ,1,100,87
1670854072.466935,123171.000,18365,3,MZ,1,100,87
1670854072.506674,123209.500,18382,2,MZ,1,100,86
1670854072.546412,123248.000,18382,2,MZ,1,100,88
1670854072.586323,123286.667,18401,3,MZ,1,100,86
1670854072.626233,123325.333,18401,3,MZ,1,100,86
1670854072.666144,123364.000,18401,3,MZ,1,100,87
1670854072.706054,123402.667,18418,3,MZ,1,100,86
1670854072.745965,123441.333,18418,3,MZ,1,100,88
1670854072.785876,123480.000,18418,3,MZ,1,100,87
1670854072.826130,123519.000,18432,2,MZ,1,100,86
1670854072.866385,123558.000,18432,2,MZ,1,100,87
1670854072.905952,123596.333,18450,3,MZ,1,100,87
1670854072.945518,123634.667,18450,3,MZ,1,100,87
1670854072.985085,123673.000,18450,3,MZ,1,100,87
1670854073.025340,123712.000,18466,2,MZ,1,100,87
1670854073.065594,123751.000,18466,2,MZ,1,100,87
1670854073.105505,123789.667,18483,3,MZ,1,100,88
1670854073.145415,123828.333,18483,3,MZ,1,100,88
1670854073.185326,123867.000,18483,3,MZ,1,100,87
1670854073.232290,123912.500,18499,2,MZ,1,100,87
1670854073.279253,123958.000,18499,2,MZ,1,100,87
1670854073.319164,123996.667,18515,3,MZ,1,100,86
1670854073.359075,124035.333,18515,3,MZ,1,100,87
1670854073.398985,124074.000,18515,3,MZ,1,100,87
1670854073.438724,124112.500,18531,2,MZ,1,100,88
1670854073.478463,124151.000,18531,2,MZ,1,100,86
1670854073.517685,124189.000,18549,3,MZ,1,100,86
1670854073.556908,124227.000,18549,3,MZ,1,100,87
