LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1670854070.564643,121328.000,18059,6,MX,1,100,125
1670854070.564643,121328.000,18059,6,MX,1,100,125
1670854070.564643,121328.000,18059,6,MX,1,100,125
1670854070.564643,121328.000,18059,6,MX,1,100,125
1670854070.564643,121328.000,18059,6,MX,1,100,125
1670854070.564643,121328.000,18059,6,MX,1,100,125
1670854070.604554,121366.667,18084,3,MX,1,100,125
1670854070.644465,121405.333,18084,3,MX,1,100,125
1670854070.684375,121444.000,18084,3,MX,1,100,125
1670854070.723598,121482.000,18100,3,MX,1,100,125
1670854070.762820,121520.000,18100,3,MX,1,100,126
1670854070.802043,121558.000,18100,3,MX,1,100,126
1670854070.841781,121596.500,18116,2,MX,1,100,125
1670854070.881520,121635.000,18116,2,MX,1,100,126
1670854070.921259,121673.500,18132,2,MX,1,100,124
1670854070.960997,121712.000,18132,2,MX,1,100,125
1670854071.005381,121755.000,18149,3,MX,1,100,125
1670854071.049764,121798.000,18149,3,MX,1,100,125
1670854071.094147,121841.000,18149,3,MX,1,100,126
1670854071.134058,121879.667,18165,3,MX,1,100,125
1670854071.173969,121918.333,18165,3,MX,1,100,125
1670854071.213879,121957.000,18165,3,MX,1,100,125
1670854071.254134,121996.000,18183,2,MX,1,100,125
1670854071.294389,122035.000,18183,2,MX,1,100,126
1670854071.333955,122073.333,18197,3,MX,1,100,125
1670854071.373522,122111.667,18197,3,MX,1,100,124
1670854071.413088,122150.000,18197,3,MX,1,100,126
1670854071.453343,122189.000,18214,3,MX,1,100,125
1670854071.493598,122228.000,18214,3,MX,1,100,126
1670854071.533852,122267.000,18214,3,MX,1,100,126
1670854071.574107,122306.000,18231,2,MX,1,100,125
1670854071.614362,122345.000,18231,2,MX,1,100,126
1670854071.654272,122383.667,18250,3,MX,1,100,126
1670854071.694183,122422.333,18250,3,MX,1,100,125
1670854071.734093,122461.000,18250,3,MX,1,100,126
1670854071.774348,122500.000,18265,2,MX,1,100,125
1670854071.814603,122539.000,18265,2,MX,1,100,125
1670854071.854169,122577.333,18282,3,MX,1,100,125
1670854071.893736,122615.667,18282,3,MX,1,100,125
1670854071.933302,122654.000,18282,3,MX,1,100,125
1670854071.972869,122692.333,18298,3,MX,1,100,125
1670854072.012435,122730.667,18298,3,MX,1,100,125
1670854072.052002,122769.000,18298,3,MX,1,100,125
1670854072.097934,122813.500,18315,2,MX,1,100,125
1670854072.143865,122858.000,18315,2,MX,1,100,125
1670854072.183776,122896.667,18332,3,MX,1,100,125
1670854072.223686,122935.333,18332,3,MX,1,100,125
1670854072.263597,122974.000,18332,3,MX,1,100,125
1670854072.304368,123013.500,18347,2,MX,1,100,125
1670854072.345139,123053.000,18347,2,MX,1,100,125
1670854072.385737,123092.333,18363,3,MX,1,100,125
1670854072.426336,123131.667,18363,3,MX,1,100,125
1670854072.466935,123171.000,18363,3,MX,1,100,124
1670854072.506674,123209.500,18380,2,MX,1,100,125
1670854072.546412,123248.000,18380,2,MX,1,100,125
1670854072.586323,123286.667,18399,3,MX,1,100,126
1670854072.626233,123325.333,18399,3,MX,1,100,125
1670854072.666144,123364.000,18399,3,MX,1,100,125
1670854072.706054,123402.667,18416,3,MX,1,100,125
1670854072.745965,123441.333,18416,3,MX,1,100,125
1670854072.785876,123480.000,18416,3,MX,1,100,125
1670854072.826130,123519.000,18430,2,MX,1,100,126
1670854072.866385,123558.000,18430,2,MX,1,100,125
1670854072.905952,123596.333,18448,3,MX,1,100,125
1670854072.945518,123634.667,18448,3,MX,1,100,125
1670854072.985085,123673.000,18448,3,MX,1,100,126
1670854073.025340,123712.000,18464,2,MX,1,100,126
1670854073.065594,123751.000,18464,2,MX,1,100,125
1670854073.105505,123789.667,18481,3,MX,1,100,126
1670854073.145415,123828.333,18481,3,MX,1,100,125
1670854073.185326,123867.000,18481,3,MX,1,100,125
1670854073.232290,123912.500,18497,2,MX,1,100,126
1670854073.279253,123958.000,18497,2,MX,1,100,125
1670854073.319164,123996.667,18513,3,MX,1,100,126
1670854073.359075,124035.333,18513,3,MX,1,100,125
1670854073.398985,124074.000,18513,3,MX,1,100,125
1670854073.438724,124112.500,18529,2,MX,1,100,125
1670854073.478463,124151.000,18529,2,MX,1,100,126
1670854073.517685,124189.000,18547,3,MX,1,100,125
1670854073.556908,124227.000,18547,3,MX,1,100,125
1670854073.596130,124265.000,18547,3,MX,1,100,126
1670854073.636041,124303.667,18565,3,MX,1,100,125
1670854073.675951,124342.333,18565,3,MX,1,100,126
1670854073.715862,124381.000,18565,3,MX,1,100,125
1670854073.756633,124420.500,18580,2,MX,1,100,126
1670854073.797404,124460.000,18580,2,MX,1,100,126
1670854073.838002,124499.333,18597,3,MX,1,100,125
1670854073.878601,124538.667,18597,3,MX,1,100,127
1670854073.919200,124578.000,18597,3,MX,1,100,125
1670854073.958938,124616.500,18614,2,MX,1,100,126
1670854073.998677,124655.000,18614,2,MX,1,100,127
1670854074.038244,124693.333,18630,3,MX,1,100,126
1670854074.077810,124731.667,18630,3,MX,1,100,125
1670854074.117377,124770.000,18630,3,MX,1,100,126
1670854074.156943,124808.333,18647,3,MX,1,100,126
1670854074.196510,124846.667,18647,3,MX,1,100,125
1670854074.236076,124885.000,18647,3,MX,1,100,125
1670854074.275815,124923.500,18662,2,MX,1,100,126
1670854074.315553,124962.000,18662,2,MX,1,100,126
1670854074.359937,125005.000,18679,3,MX,1,100,127
1670854074.404320,125048.000,18679,3,MX,1,100,125
1670854074.448704,125091.000,18679,3,MX,1,100,126
1670854074.488442,125129.500,18695,2,MX,1,100,126
1670854074.528181,125168.000,18695,2,MX,1,100,125
1670854074.568435,125207.000,18715,3,MX,1,100,126
1670854074.608690,125246.000,18715,3,MX,1,100,125
1670854074.648945,125285.000,18715,3,MX,1,100,125
1670854074.689715,125324.500,18729,2,MX,1,100,126
1670854074.730486,125364.000,18729,2,MX,1,100,125
1670854074.770397,125402.667,18746,3,MX,1,100,125
1670854074.810308,125441.333,18746,3,MX,1,100,125
1670854074.850218,125480.000,18746,3,MX,1,100,125
1670854074.889785,125518.333,18763,3,MX,1,100,125
1670854074.929351,125556.667,18763,3,MX,1,100,126
1670854074.968918,125595.000,18763,3,MX,1,100,126
1670854075.008140,125633.000,18780,2,MX,1,100,126
1670854075.047363,125671.000,18780,2,MX,1,100,126
1670854075.087617,125710.000,18796,3,MX,1,100,126
1670854075.127872,125749.000,18796,3,MX,1,100,126
1670854075.168127,125788.000,18796,3,MX,1,100,126
1670854075.207865,125826.500,18812,2,MX,1,100,126
1670854075.247604,125865.000,18812,2,MX,1,100,126
1670854075.288203,125904.333,18828,3,MX,1,100,126
1670854075.328801,125943.667,18828,3,MX,1,100,125
1670854075.369400,125983.000,18828,3,MX,1,100,125
1670854075.409311,126021.667,18845,3,MX,1,100,126
1670854075.449221,126060.333,18845,3,MX,1,100,125
1670854075.489132,126099.000,18845,3,MX,1,100,126
1670854075.535580,126144.000,18862,2,MX,1,100,126
1670854075.582027,126189.000,18862,2,MX,1,100,126
1670854075.621766,126227.500,18880,2,MX,1,100,125
1670854075.661505,126266.000,18880,2,MX,1,100,126
1670854075.701415,126304.667,18895,3,MX,1,100,126
1670854075.741326,126343.333,18895,3,MX,1,100,126
1670854075.781236,126382.000,18895,3,MX,1,100,125
1670854075.821147,126420.667,18913,3,MX,1,100,126
1670854075.861058,126459.333,18913,3,MX,1,100,126
1670854075.900968,126498.000,18913,3,MX,1,100,125
1670854075.940879,126536.667,18934,3,MX,1,100,125
1670854075.980789,126575.333,18934,3,MX,1,100,126
1670854076.020700,126614.000,18934,3,MX,1,100,126
1670854076.061471,126653.500,18951,2,MX,1,100,126
1670854076.102242,126693.000,18951,2,MX,1,100,125
1670854076.142840,126732.333,18966,3,MX,1,100,126
1670854076.183439,126771.667,18966,3,MX,1,100,126
1670854076.224038,126811.000,18966,3,MX,1,100,126
1670854076.263260,126849.000,18983,2,MX,1,100,125
1670854076.302483,126887.000,18983,2,MX,1,100,126
1670854076.342049,126925.333,18999,3,MX,1,100,126
1670854076.381616,126963.667,18999,3,MX,1,100,126
1670854076.421183,127002.000,18999,3,MX,1,100,126
1670854076.460749,127040.333,19016,3,MX,1,100,125
1670854076.500316,127078.667,19016,3,MX,1,100,125
1670854076.539882,127117.000,19016,3,MX,1,100,126
1670854076.580137,127156.000,19035,2,MX,1,100,125
1670854076.620392,127195.000,19035,2,MX,1,100,126
1670854076.664775,127238.000,19051,3,MX,1,100,125
1670854076.709158,127281.000,19051,3,MX,1,100,125
1670854076.753542,127324.000,19051,3,MX,1,100,125
1670854076.793280,127362.500,19066,2,MX,1,100,125
1670854076.833019,127401.000,19066,2,MX,1,100,126
1670854076.872930,127439.667,19084,3,MX,1,100,125
1670854076.912840,127478.333,19084,3,MX,1,100,125
1670854076.952751,127517.000,19084,3,MX,1,100,126
1670854076.991973,127555.000,19100,3,MX,1,100,125
1670854077.031196,127593.000,19100,3,MX,1,100,126
1670854077.070418,127631.000,19100,3,MX,1,100,126
1670854077.110673,127670.000,19117,2,MX,1,100,125
1670854077.150928,127709.000,19117,2,MX,1,100,126
1670854077.190838,127747.667,19132,3,MX,1,100,126
1670854077.230749,127786.333,19132,3,MX,1,100,126
1670854077.270659,127825.000,19132,3,MX,1,100,126
1670854077.310570,127863.667,19149,3,MX,1,100,125
1670854077.350481,127902.333,19149,3,MX,1,100,126
1670854077.390391,127941.000,19149,3,MX,1,100,126
1670854077.429614,127979.000,19165,2,MX,1,100,126
1670854077.468836,128017.000,19165,2,MX,1,100,126
1670854077.508747,128055.667,19183,3,MX,1,100,125
1670854077.548657,128094.333,19183,3,MX,1,100,126
1670854077.588568,128133.000,19183,3,MX,1,100,125
1670854077.627791,128171.000,19201,3,MX,1,100,126
1670854077.667013,128209.000,19201,3,MX,1,100,125
1670854077.706236,128247.000,19201,3,MX,1,100,126
1670854077.746490,128286.000,19216,2,MX,1,100,126
1670854077.786745,128325.000,19216,2,MX,1,100,126
1670854077.833193,128370.000,19233,2,MX,1,100,126
1670854077.879640,128415.000,19233,2,MX,1,100,126
1670854077.919207,128453.333,19250,3,MX,1,100,125
1670854077.958774,128491.667,19250,3,MX,1,100,125
1670854077.998340,128530.000,19250,3,MX,1,100,126
1670854078.038251,128568.667,19266,3,MX,1,100,126
1670854078.078161,128607.333,19266,3,MX,1,100,126
1670854078.118072,128646.000,19266,3,MX,1,100,125
1670854078.157983,128684.667,19284,3,MX,1,100,126
1670854078.197893,128723.333,19284,3,MX,1,100,126
1670854078.237804,128762.000,19284,3,MX,1,100,126
1670854078.278059,128801.000,19298,2,MX,1,100,126
1670854078.318313,128840.000,19298,2,MX,1,100,125
1670854078.358224,128878.667,19315,3,MX,1,100,127
1670854078.398134,128917.333,19315,3,MX,1,100,126
1670854078.438045,128956.000,19315,3,MX,1,100,126
1670854078.476235,128993.000,19331,2,MX,1,100,126
1670854078.514426,129030.000,19331,2,MX,1,100,126
1670854078.554336,129068.667,19351,3,MX,1,100,125
