LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1670854288.142192,332124.000,52312,1,B%,1,100,80
1670854289.142366,333093.000,52461,1,B%,1,100,81
1670854290.137379,334057.000,52628,1,B%,1,100,80
1670854291.137552,335026.000,52776,1,B%,1,100,80
1670854292.139791,335997.000,52943,1,B%,1,100,80
1670854293.138932,336965.000,53100,1,B%,1,100,80
1670854294.137042,337932.000,53249,1,B%,1,100,80
1670854295.140312,338904.000,53416,1,B%,1,100,80
1670854296.134293,339867.000,53581,1,B%,1,100,81
1670854297.129306,340831.000,53731,1,B%,1,100,81
1670854298.122255,341793.000,53886,1,B%,1,100,81
1670854299.122428,342762.000,54052,1,B%,1,100,80
1670854300.120538,343729.000,54201,1,B%,1,100,80
1670854301.119680,344697.000,54367,1,B%,1,100,80
1670854302.119853,345666.000,54516,1,B%,1,100,80
1670854303.116931,346632.000,54683,1,B%,1,100,80
1670854304.114008,347598.000,54837,1,B%,1,100,80
1670854305.114182,348567.000,54987,1,B%,1,100,80
1670854306.109195,349531.000,55153,1,B%,1,100,80
1670854307.105240,350496.000,55303,1,B%,1,100,80
1670854308.103350,351463.000,55468,1,B%,1,100,80
1670854309.104556,352433.000,55624,1,B%,1,100,80
1670854310.103697,353401.000,55772,1,B%,1,100,80
1670854311.104903,354371.000,55939,1,B%,1,100,80
1670854312.105077,355340.000,56088,1,B%,1,100,81
1670854313.100090,356304.000,56255,1,B%,1,100,80
1670854314.097167,357270.000,56409,1,B%,1,100,80
1670854315.097341,358239.000,56558,1,B%,1,100,80
1670854316.090290,359201.000,56725,1,B%,1,100,80
1670854317.086335,360166.000,56873,1,B%,1,100,80
1670854318.084445,361133.000,57040,1,B%,1,100,80
1670854319.085650,362103.000,57206,1,B%,1,100,80
1670854320.083760,363070.000,57345,1,B%,1,100,80
1670854321.083934,364039.000,57512,1,B%,1,100,80
1670854322.086172,365010.000,57661,1,B%,1,100,80
1670854323.082217,365975.000,57828,1,B%,1,100,79
1670854324.080327,366942.000,57992,1,B%,1,100,80
1670854325.074307,367905.000,58131,1,B%,1,100,80
1670854326.069320,368869.000,58298,1,B%,1,100,80
1670854327.067430,369836.000,58446,1,B%,1,100,80
1670854328.067604,370805.000,58613,1,B%,1,100,80
1670854329.071906,371778.000,58779,1,B%,1,100,80
1670854330.067951,372743.000,58918,1,B%,1,100,80
1670854331.072254,373716.000,59085,1,B%,1,100,80
1670854332.069331,374682.000,59249,1,B%,1,100,80
1670854333.062280,375644.000,59401,1,B%,1,100,80
1670854334.060390,376611.000,59549,1,B%,1,100,80
1670854335.055403,377575.000,59716,1,B%,1,100,80
1670854336.054544,378543.000,59871,1,B%,1,100,80
1670854337.050589,379508.000,60019,1,B%,1,100,79
1670854338.054892,380481.000,60186,1,B%,1,100,79
1670854339.055066,381450.000,60335,1,B%,1,100,80
1670854340.053175,382417.000,60502,1,B%,1,100,79
1670854341.056446,383389.000,60656,1,B%,1,100,80
1670854342.050426,384352.000,60805,1,B%,1,100,80
1670854343.049568,385320.000,60972,1,B%,1,100,80
1670854344.042517,386282.000,61136,1,B%,1,100,79
1670854345.040626,387249.000,61287,1,B%,1,100,80
1670854346.035639,388213.000,61442,1,B%,1,100,79
1670854347.037877,389184.000,61592,1,B%,1,100,79
1670854348.038051,390153.000,61756,1,B%,1,100,80
1670854349.037193,391121.000,61905,1,B%,1,100,80
1670854350.040463,392093.000,62072,1,B%,1,100,79
1670854351.038573,393060.000,62220,1,B%,1,100,79
1670854352.034618,394025.000,62375,1,B%,1,100,80
1670854353.028599,394988.000,62542,1,B%,1,100,80
1670854354.026708,395955.000,62674,1,B%,1,100,80
1670854355.022753,396920.000,62841,1,B%,1,100,79
1670854356.021895,397888.000,62990,1,B%,1,100,79
1670854357.023101,398858.000,63147,1,B%,1,100,79
1670854358.021210,399825.000,63296,1,B%,1,100,79
1670854359.021384,400794.000,63445,1,B%,1,100,79
1670854360.022590,401764.000,63612,1,B%,1,100,80
1670854361.017603,402728.000,63763,1,B%,1,100,80
1670854362.013649,403693.000,63918,1,B%,1,100,79
1670854363.007629,404656.000,64070,1,B%,1,100,79
1670854364.005739,405623.000,64235,1,B%,1,100,80
1670854365.004880,406591.000,64385,1,B%,1,100,79
1670854366.004022,407559.000,64549,1,B%,1,100,79
1670854367.005228,408529.000,64690,1,B%,1,100,79
1670854368.001273,409494.000,64838,1,B%,1,100,79
1670854369.000415,410462.000,65005,1,B%,1,100,79
1670854369.998524,411429.000,65123,1,B%,1,100,79
1670854370.996634,412396.000,65290,1,B%,1,100,78
1670854371.991647,413360.000,65438,1,B%,1,100,79
1670854372.986660,414324.000,60,1,B%,1,100,79
1670854373.985801,415292.000,209,1,B%,1,100,79
1670854374.984943,416260.000,376,1,B%,1,100,79
1670854375.984085,417228.000,540,1,B%,1,100,79
1670854376.985291,418198.000,689,1,B%,1,100,80
1670854377.982368,419164.000,845,1,B%,1,100,80
1670854378.981510,420132.000,1012,1,B%,1,100,80
1670854379.978587,421098.000,1176,1,B%,1,100,80
1670854380.972568,422061.000,1327,1,B%,1,100,79
1670854381.967581,423025.000,1491,1,B%,1,100,79
1670854382.966723,423993.000,1629,1,B%,1,100,79
1670854383.965864,424961.000,1796,1,B%,1,100,79
1670854384.968102,425932.000,1945,1,B%,1,100,79
1670854385.967244,426900.000,2112,1,B%,1,100,79
1670854386.971547,427873.000,2260,1,B%,1,100,79
1670854387.966560,428837.000,2433,1,B%,1,100,80
1670854388.965701,429805.000,2582,1,B%,1,100,79
1670854389.958650,430767.000,2731,1,B%,1,100,79
1670854390.954695,431732.000,2879,1,B%,1,100,79
1670854391.952805,432699.000,3045,1,B%,1,100,79
1670854392.949882,433665.000,3194,1,B%,1,100,79
1670854393.952120,434636.000,3366,1,B%,1,100,79
1670854394.949198,435602.000,3514,1,B%,1,100,79
1670854395.952468,436574.000,3681,1,B%,1,100,79
1670854396.950577,437541.000,3847,1,B%,1,100,79
1670854397.947655,438507.000,3996,1,B%,1,100,79
1670854398.947829,439476.000,4150,1,B%,1,100,79
1670854399.940777,440438.000,4317,1,B%,1,100,79
1670854400.941983,441408.000,4466,1,B%,1,100,79
1670854401.936996,442372.000,4633,1,B%,1,100,79
1670854402.943363,443347.000,4781,1,B%,1,100,79
1670854403.941473,444314.000,4953,1,B%,1,100,79
1670854404.942678,445284.000,5102,1,B%,1,100,79
1670854405.943884,446254.000,5269,1,B%,1,100,79
1670854406.940962,447220.000,5435,1,B%,1,100,79
1670854407.939071,448187.000,5584,1,B%,1,100,79
1670854408.933052,449150.000,5750,1,B%,1,100,79
1670854409.930130,450116.000,5902,1,B%,1,100,79
1670854410.926175,451081.000,6069,1,B%,1,100,79
1670854411.923252,452047.000,6217,1,B%,1,100,79
1670854412.924458,453017.000,6384,1,B%,1,100,80
1670854413.921535,453983.000,6533,1,B%,1,100,80
1670854414.924806,454955.000,6689,1,B%,1,100,79
1670854415.921883,455921.000,6855,1,B%,1,100,79
1670854416.917928,456886.000,7003,1,B%,1,100,79
1670854417.917070,457854.000,7170,1,B%,1,100,79
1670854418.916211,458822.000,7319,1,B%,1,100,79
1670854419.910192,459785.000,7491,1,B%,1,100,79
1670854420.910366,460754.000,7639,1,B%,1,100,79
1670854421.910540,461723.000,7806,1,B%,1,100,79
1670854422.909682,462691.000,7972,1,B%,1,100,79
1670854423.906759,463657.000,8122,1,B%,1,100,79
1670854424.908997,464628.000,8293,1,B%,1,100,79
1670854425.901946,465590.000,8427,1,B%,1,100,79
1670854426.902120,466559.000,8594,1,B%,1,100,79
1670854427.897132,467523.000,8758,1,B%,1,100,79
1670854428.893178,468488.000,8908,1,B%,1,100,79
1670854429.892319,469456.000,9074,1,B%,1,100,79
1670854430.892493,470425.000,9230,1,B%,1,100,79
1670854431.892667,471394.000,9394,1,B%,1,100,79
1670854432.889744,472360.000,9544,1,B%,1,100,79
1670854433.889918,473329.000,9710,1,B%,1,100,79
1670854434.889060,474297.000,9859,1,B%,1,100,79
1670854435.884073,475261.000,10014,1,B%,1,100,79
1670854436.880118,476226.000,10163,1,B%,1,100,78
1670854437.873067,477188.000,10330,1,B%,1,100,78
1670854438.873240,478157.000,10478,1,B%,1,100,79
1670854439.871350,479124.000,10645,1,B%,1,100,79
1670854440.873588,480095.000,10799,1,B%,1,100,79
1670854441.873762,481064.000,10966,1,B%,1,100,79
1670854442.871871,482031.000,11132,1,B%,1,100,79
1670854443.868949,482997.000,11280,1,B%,1,100,79
1670854444.872219,483969.000,11447,1,B%,1,100,79
1670854445.864136,484930.000,11596,1,B%,1,100,79
1670854446.860181,485895.000,11752,1,B%,1,100,78
1670854447.857258,486861.000,11918,1,B%,1,100,78
1670854448.858464,487831.000,12066,1,B%,1,100,78
1670854449.860702,488802.000,12233,1,B%,1,100,79
1670854450.861908,489772.000,12399,1,B%,1,100,79
1670854451.866211,490745.000,12554,1,B%,1,100,79
1670854452.862256,491710.000,12720,1,B%,1,100,79
1670854453.863462,492680.000,12868,1,B%,1,100,79
1670854454.857443,493643.000,13035,1,B%,1,100,79
1670854455.850391,494605.000,13184,1,B%,1,100,79
1670854456.849533,495573.000,13356,1,B%,1,100,79
1670854457.845578,496538.000,13504,1,B%,1,100,79
1670854458.847816,497509.000,13671,1,B%,1,100,79
1670854459.843862,498474.000,13820,1,B%,1,100,79
1670854460.848164,499447.000,13987,1,B%,1,100,79
1670854461.847306,500415.000,14158,1,B%,1,100,79
1670854462.845415,501382.000,14307,1,B%,1,100,78
1670854463.842493,502348.000,14442,1,B%,1,100,78
1670854464.836473,503311.000,14609,1,B%,1,100,78
1670854465.836647,504280.000,14757,1,B%,1,100,79
1670854466.832692,505245.000,14907,1,B%,1,100,78
1670854467.831834,506213.000,15079,1,B%,1,100,78
1670854468.832008,507182.000,15245,1,B%,1,100,78
1670854469.830117,508149.000,15394,1,B%,1,100,78
1670854470.832355,509120.000,15546,1,B%,1,100,78
1670854471.827368,510084.000,15694,1,B%,1,100,78
1670854472.823414,511049.000,15866,1,B%,1,100,78
1670854473.820491,512015.000,16016,1,B%,1,100,78
