LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1671000914.289038,23348.250,792,4,EM,1,100,RS
1671000914.339859,23398.500,792,4,EM,1,100,RB
1671000914.390680,23448.750,792,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000914.441500,23499.000,792,4,EM,1,100,PS
1671000914.492321,23549.250,805,4,EM,1,100,RS
1671000914.543142,23599.500,805,4,EM,1,100,RB
1671000914.593962,23649.750,805,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000914.644783,23700.000,805,4,EM,1,100,PS
1671000914.695604,23750.250,823,4,EM,1,100,RS
1671000914.746425,23800.500,823,4,EM,1,100,RB
1671000914.797246,23850.750,823,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000914.848066,23901.000,823,4,EM,1,100,PS
1671000914.898887,23951.250,836,4,EM,1,100,RS
1671000914.949708,24001.500,836,4,EM,1,100,RB
1671000915.000528,24051.750,836,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000915.051349,24102.000,836,4,EM,1,100,PS
1671000915.102170,24152.250,855,4,EM,1,100,RS
1671000915.152991,24202.500,855,4,EM,1,100,RB
1671000915.203811,24252.750,855,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000915.254632,24303.000,855,4,EM,1,100,PS
1671000915.305453,24353.250,869,4,EM,1,100,RS
1671000915.356274,24403.500,869,4,EM,1,100,RB
1671000915.407094,24453.750,869,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000915.457915,24504.000,869,4,EM,1,100,PS
1671000915.508736,24554.250,884,4,EM,1,100,RS
1671000915.559556,24604.500,884,4,EM,1,100,RB
1671000915.610377,24654.750,884,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000915.661198,24705.000,884,4,EM,1,100,PS
1671000915.712019,24755.250,900,4,EM,1,100,RS
1671000915.762840,24805.500,900,4,EM,1,100,RB
1671000915.813660,24855.750,900,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000915.864481,24906.000,900,4,EM,1,100,PS
1671000915.915302,24956.250,915,4,EM,1,100,RS
1671000915.966122,25006.500,915,4,EM,1,100,RB
1671000916.016943,25056.750,915,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000916.067764,25107.000,915,4,EM,1,100,PS
1671000916.120860,25159.500,929,4,EM,1,100,RS
1671000916.173956,25212.000,929,4,EM,1,100,RB
1671000916.227053,25264.500,929,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000916.280149,25317.000,929,4,EM,1,100,PS
1671000916.330970,25367.250,945,4,EM,1,100,RS
1671000916.381791,25417.500,945,4,EM,1,100,RB
1671000916.432611,25467.750,945,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000916.483432,25518.000,945,4,EM,1,100,PS
1671000916.534253,25568.250,958,4,EM,1,100,RS
1671000916.585073,25618.500,958,4,EM,1,100,RB
1671000916.635894,25668.750,958,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000916.686715,25719.000,958,4,EM,1,100,PS
1671000916.737788,25769.500,976,4,EM,1,100,RS
1671000916.788862,25820.000,976,4,EM,1,100,RB
1671000916.839936,25870.500,976,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000916.891009,25921.000,976,4,EM,1,100,PS
1671000916.941830,25971.250,989,4,EM,1,100,RS
1671000916.992651,26021.500,989,4,EM,1,100,RB
1671000917.043472,26071.750,989,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000917.094292,26122.000,989,4,EM,1,100,PS
1671000917.145113,26172.250,1005,4,EM,1,100,RS
1671000917.195934,26222.500,1005,4,EM,1,100,RB
1671000917.246754,26272.750,1005,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000917.297575,26323.000,1005,4,EM,1,100,PS
1671000917.348396,26373.250,1019,4,EM,1,100,RS
1671000917.399217,26423.500,1019,4,EM,1,100,RB
1671000917.450037,26473.750,1019,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000917.500858,26524.000,1019,4,EM,1,100,PS
1671000917.551679,26574.250,1034,4,EM,1,100,RS
1671000917.602499,26624.500,1034,4,EM,1,100,RB
1671000917.653320,26674.750,1034,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000917.704141,26725.000,1034,4,EM,1,100,PS
1671000917.754962,26775.250,1052,4,EM,1,100,RS
1671000917.805783,26825.500,1052,4,EM,1,100,RB
1671000917.856603,26875.750,1052,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000917.907424,26926.000,1052,4,EM,1,100,PS
1671000917.960520,26978.500,1066,4,EM,1,100,RS
1671000918.013617,27031.000,1066,4,EM,1,100,RB
1671000918.066713,27083.500,1066,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000918.119809,27136.000,1066,4,EM,1,100,PS
1671000918.170630,27186.250,1081,4,EM,1,100,RS
1671000918.221451,27236.500,1081,4,EM,1,100,RB
1671000918.272271,27286.750,1081,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000918.323092,27337.000,1081,4,EM,1,100,PS
1671000918.373913,27387.250,1095,4,EM,1,100,RS
1671000918.424734,27437.500,1095,4,EM,1,100,RB
1671000918.475554,27487.750,1095,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000918.526375,27538.000,1095,4,EM,1,100,PS
1671000918.577196,27588.250,1110,4,EM,1,100,RS
1671000918.628016,27638.500,1110,4,EM,1,100,RB
1671000918.678837,27688.750,1110,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000918.729658,27739.000,1110,4,EM,1,100,PS
1671000918.780479,27789.250,1126,4,EM,1,100,RS
1671000918.831300,27839.500,1126,4,EM,1,100,RB
1671000918.882120,27889.750,1126,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000918.932941,27940.000,1126,4,EM,1,100,PS
1671000918.983762,27990.250,1142,4,EM,1,100,RS
1671000919.034582,28040.500,1142,4,EM,1,100,RB
1671000919.085403,28090.750,1142,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000919.136224,28141.000,1142,4,EM,1,100,PS
1671000919.187045,28191.250,1155,4,EM,1,100,RS
1671000919.237865,28241.500,1155,4,EM,1,100,RB
1671000919.288686,28291.750,1155,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000919.339507,28342.000,1155,4,EM,1,100,PS
1671000919.390328,28392.250,1171,4,EM,1,100,RS
1671000919.441148,28442.500,1171,4,EM,1,100,RB
1671000919.491969,28492.750,1171,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000919.542790,28543.000,1171,4,EM,1,100,PS
1671000919.597150,28596.750,1186,4,EM,1,100,RS
1671000919.651511,28650.500,1186,4,EM,1,100,RB
1671000919.705871,28704.250,1186,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000919.760232,28758.000,1186,4,EM,1,100,PS
1671000919.811053,28808.250,1202,4,EM,1,100,RS
1671000919.861873,28858.500,1202,4,EM,1,100,RB
1671000919.912694,28908.750,1202,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000919.963515,28959.000,1202,4,EM,1,100,PS
1671000920.014335,29009.250,1217,4,EM,1,100,RS
1671000920.065156,29059.500,1217,4,EM,1,100,RB
1671000920.115977,29109.750,1217,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000920.166798,29160.000,1217,4,EM,1,100,PS
1671000920.218883,29211.500,1231,4,EM,1,100,RS
1671000920.270967,29263.000,1231,4,EM,1,100,RB
1671000920.323052,29314.500,1231,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000920.375137,29366.000,1231,4,EM,1,100,PS
1671000920.425958,29416.250,1252,4,EM,1,100,RS
1671000920.476779,29466.500,1252,4,EM,1,100,RB
1671000920.527600,29516.750,1252,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000920.578420,29567.000,1252,4,EM,1,100,PS
1671000920.629241,29617.250,1268,4,EM,1,100,RS
1671000920.680062,29667.500,1268,4,EM,1,100,RB
1671000920.730883,29717.750,1268,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000920.781703,29768.000,1268,4,EM,1,100,PS
1671000920.833535,29819.250,1283,4,EM,1,100,RS
1671000920.885367,29870.500,1283,4,EM,1,100,RB
1671000920.937200,29921.750,1283,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000920.989032,29973.000,1283,4,EM,1,100,PS
1671000921.039852,30023.250,1297,4,EM,1,100,RS
1671000921.090673,30073.500,1297,4,EM,1,100,RB
1671000921.141494,30123.750,1297,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000921.192315,30174.000,1297,4,EM,1,100,PS
1671000921.243135,30224.250,1312,4,EM,1,100,RS
1671000921.293956,30274.500,1312,4,EM,1,100,RB
1671000921.344777,30324.750,1312,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000921.395597,30375.000,1312,4,EM,1,100,PS
1671000921.447430,30426.250,1326,4,EM,1,100,RS
1671000921.499262,30477.500,1326,4,EM,1,100,RB
1671000921.551094,30528.750,1326,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000921.602926,30580.000,1326,4,EM,1,100,PS
1671000921.653747,30630.250,1344,4,EM,1,100,RS
1671000921.704567,30680.500,1344,4,EM,1,100,RB
1671000921.755388,30730.750,1344,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000921.806209,30781.000,1344,4,EM,1,100,PS
1671000921.857282,30831.500,1357,4,EM,1,100,RS
1671000921.908356,30882.000,1357,4,EM,1,100,RB
1671000921.959430,30932.500,1357,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000922.010503,30983.000,1357,4,EM,1,100,PS
1671000922.061071,31033.000,1373,4,EM,1,100,RS
1671000922.111639,31083.000,1373,4,EM,1,100,RB
1671000922.162207,31133.000,1373,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000922.212775,31183.000,1373,4,EM,1,100,PS
1671000922.263596,31233.250,1386,4,EM,1,100,RS
1671000922.314416,31283.500,1386,4,EM,1,100,RB
1671000922.365237,31333.750,1386,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000922.416058,31384.000,1386,4,EM,1,100,PS
1671000922.466878,31434.250,1402,4,EM,1,100,RS
1671000922.517699,31484.500,1402,4,EM,1,100,RB
1671000922.568520,31534.750,1402,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000922.619341,31585.000,1402,4,EM,1,100,PS
1671000922.670161,31635.250,1418,4,EM,1,100,RS
1671000922.720982,31685.500,1418,4,EM,1,100,RB
1671000922.771803,31735.750,1418,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000922.822624,31786.000,1418,4,EM,1,100,PS
1671000922.873444,31836.250,1433,4,EM,1,100,RS
1671000922.924265,31886.500,1433,4,EM,1,100,RB
1671000922.975086,31936.750,1433,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000923.025907,31987.000,1433,4,EM,1,100,PS
1671000923.076727,32037.250,1449,4,EM,1,100,RS
1671000923.127548,32087.500,1449,4,EM,1,100,RB
1671000923.178369,32137.750,1449,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000923.229189,32188.000,1449,4,EM,1,100,PS
1671000923.283044,32241.250,1463,4,EM,1,100,RS
1671000923.336899,32294.500,1463,4,EM,1,100,RB
1671000923.390754,32347.750,1463,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000923.444609,32401.000,1463,4,EM,1,100,PS
1671000923.495430,32451.250,1478,4,EM,1,100,RS
1671000923.546250,32501.500,1478,4,EM,1,100,RB
1671000923.597071,32551.750,1478,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000923.647892,32602.000,1478,4,EM,1,100,PS
1671000923.698712,32652.250,1494,4,EM,1,100,RS
1671000923.749533,32702.500,1494,4,EM,1,100,RB
1671000923.800354,32752.750,1494,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000923.851175,32803.000,1494,4,EM,1,100,PS
