LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1671000909.964219,19072.000,460,3,PR,1,100,118922
1671000909.964219,19072.000,460,3,PR,1,100,118910
1671000909.964219,19072.000,460,3,PR,1,100,118910
1671000909.994896,19102.333,466,3,PR,1,100,118919
1671000910.025574,19132.667,466,3,PR,1,100,118908
1671000910.056252,19163.000,466,3,PR,1,100,118920
1671000910.096201,19202.500,476,2,PR,1,100,118909
1671000910.136149,19242.000,476,2,PR,1,100,118913
1671000910.176267,19281.667,483,3,PR,1,100,118917
1671000910.216384,19321.333,483,3,PR,1,100,118920
1671000910.256501,19361.000,483,3,PR,1,100,118914
1671000910.296955,19401.000,492,2,PR,1,100,118914
1671000910.337410,19441.000,492,2,PR,1,100,118908
1671000910.377190,19480.333,499,3,PR,1,100,118910
1671000910.416970,19519.667,499,3,PR,1,100,118918
1671000910.456750,19559.000,499,3,PR,1,100,118912
1671000910.496193,19598.000,505,3,PR,1,100,118912
1671000910.535636,19637.000,505,3,PR,1,100,118913
1671000910.575079,19676.000,505,3,PR,1,100,118905
1671000910.615027,19715.500,512,2,PR,1,100,118912
1671000910.654976,19755.000,512,2,PR,1,100,118911
1671000910.702004,19801.500,523,2,PR,1,100,118902
1671000910.749032,19848.000,523,2,PR,1,100,118902
1671000910.789150,19887.667,530,3,PR,1,100,118916
1671000910.829267,19927.333,530,3,PR,1,100,118915
1671000910.869384,19967.000,530,3,PR,1,100,118903
1671000910.909164,20006.333,536,3,PR,1,100,118905
1671000910.948944,20045.667,536,3,PR,1,100,118894
1671000910.988724,20085.000,536,3,PR,1,100,118906
1671000911.028673,20124.500,544,2,PR,1,100,118897
1671000911.068622,20164.000,544,2,PR,1,100,118921
1671000911.108739,20203.667,552,3,PR,1,100,118897
1671000911.148856,20243.333,552,3,PR,1,100,118909
1671000911.188973,20283.000,552,3,PR,1,100,118897
1671000911.229427,20323.000,559,2,PR,1,100,118894
1671000911.269882,20363.000,559,2,PR,1,100,118894
1671000911.308988,20401.667,568,3,PR,1,100,118916
1671000911.348094,20440.333,568,3,PR,1,100,118902
1671000911.387199,20479.000,568,3,PR,1,100,118897
1671000911.427148,20518.500,573,2,PR,1,100,118900
1671000911.467097,20558.000,573,2,PR,1,100,118908
1671000911.507214,20597.667,581,3,PR,1,100,118896
1671000911.547331,20637.333,581,3,PR,1,100,118904
1671000911.587448,20677.000,581,3,PR,1,100,118897
1671000911.627903,20717.000,589,2,PR,1,100,118902
1671000911.668357,20757.000,589,2,PR,1,100,118904
1671000911.708474,20796.667,599,3,PR,1,100,118898
1671000911.748591,20836.333,599,3,PR,1,100,118891
1671000911.788708,20876.000,599,3,PR,1,100,118914
1671000911.828489,20915.333,604,3,PR,1,100,118900
1671000911.868268,20954.667,604,3,PR,1,100,118900
1671000911.908049,20994.000,604,3,PR,1,100,118898
1671000911.946480,21032.000,612,2,PR,1,100,118909
1671000911.984912,21070.000,612,2,PR,1,100,118900
1671000912.025029,21109.667,620,3,PR,1,100,118895
1671000912.065146,21149.333,620,3,PR,1,100,118902
1671000912.105263,21189.000,620,3,PR,1,100,118907
1671000912.145718,21229.000,628,2,PR,1,100,118891
