LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,LR,LM,LC,LD,
1671000915.176758,24226,845,8,LM,1,100,1383151.5941840,1383151.5942069,1383151.6259567,Hello,
1671000926.320911,35245,1680,8,LM,1,100,1383162.6185921,1383162.6186142,1383162.7008691,World,
1671000937.263804,46065,2501,8,LM,1,100,1383173.6421200,1383173.6421397,1383173.6588180,Hello,
1671000948.247151,56925,3324,8,LM,1,100,1383184.6670626,1383184.6670736,1383184.6982087,World,
1671000959.384225,67937,4153,8,LM,1,100,1383195.6911082,1383195.6911251,1383195.7742968,Hello,
1671000970.296777,78727,4965,8,LM,1,100,1383206.7154954,1383206.7155135,1383206.7468406,World,
1671000981.321590,89628,5783,8,LM,1,100,1383217.7405635,1383217.7405804,1383217.7716028,Hello,
1671000992.329210,100512,6607,8,LM,1,100,1383228.7621674,1383228.7622156,1383228.7643108,World,
1671001003.419761,111478,7440,8,LM,1,100,1383239.7877276,1383239.7877213,1383239.8039169,Hello,
1671001014.376813,122312,8248,8,LM,1,100,1383250.8123940,1383250.8124074,1383250.8280412,World,
1671001025.420842,133232,9069,8,LM,1,100,1383261.8367823,1383261.8367977,1383261.8675153,Hello,
