LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1671000910.132104,19238.000,473,2,AK,1,100,471
1671000910.132104,19238.000,473,2,AK,1,100,RD
1671000912.711067,21788.000,857,2,AK,1,100,471
1671000915.290030,24338.000,857,2,AK,1,100,RD
1671000915.323910,24371.500,860,2,AK,1,100,858
1671000915.357791,24405.000,860,2,AK,1,100,RD
1671000917.901356,26920.000,1241,2,AK,1,100,858
1671000920.444921,29435.000,1241,2,AK,1,100,RD
1671000920.457563,29447.500,1244,2,AK,1,100,1242
1671000920.470205,29460.000,1244,2,AK,1,100,RD
1671000923.041077,32002.000,1623,2,AK,1,100,1242
1671000925.611949,34544.000,1623,2,AK,1,100,RD
1671000925.626614,34558.500,1626,2,AK,1,100,1624
1671000925.641278,34573.000,1626,2,AK,1,100,RD
1671000928.219230,37122.000,2018,2,AK,1,100,1624
1671000930.797181,39671.000,2018,2,AK,1,100,RD
1671000930.811340,39685.000,2021,2,AK,1,100,2019
1671000930.825499,39699.000,2021,2,AK,1,100,RD
1671000933.393842,42238.500,2400,2,AK,1,100,2019
1671000935.962186,44778.000,2400,2,AK,1,100,RD
1671000935.975334,44791.000,2403,2,AK,1,100,2401
1671000935.988481,44804.000,2403,2,AK,1,100,RD
1671000938.559859,47346.500,2792,2,AK,1,100,2401
1671000941.131237,49889.000,2792,2,AK,1,100,RD
1671000941.144890,49902.500,2795,2,AK,1,100,2793
1671000941.158543,49916.000,2795,2,AK,1,100,RD
1671000943.729415,52458.000,3175,2,AK,1,100,2793
1671000946.300287,55000.000,3175,2,AK,1,100,RD
1671000946.314446,55014.000,3178,2,AK,1,100,3176
1671000946.328605,55028.000,3178,2,AK,1,100,RD
1671000948.906051,57576.500,3567,2,AK,1,100,3176
1671000951.483496,60125.000,3567,2,AK,1,100,RD
1671000951.497656,60139.000,3570,2,AK,1,100,3568
1671000951.511815,60153.000,3570,2,AK,1,100,RD
1671000954.083192,62695.500,3951,2,AK,1,100,3568
1671000956.654570,65238.000,3951,2,AK,1,100,RD
1671000956.691990,65275.000,3954,2,AK,1,100,3952
1671000956.729410,65312.000,3954,2,AK,1,100,RD
1671000959.270447,67824.500,4340,2,AK,1,100,3952
1671000961.811484,70337.000,4340,2,AK,1,100,RD
1671000961.824126,70349.500,4343,2,AK,1,100,4341
1671000961.836768,70362.000,4343,2,AK,1,100,RD
1671000964.407134,72903.500,4721,2,AK,1,100,4341
1671000966.977500,75445.000,4721,2,AK,1,100,RD
1671000967.025034,75492.000,4724,2,AK,1,100,4722
1671000967.072568,75539.000,4724,2,AK,1,100,RD
1671000969.612593,78050.500,5106,2,AK,1,100,4722
1671000972.152619,80562.000,5106,2,AK,1,100,RD
1671000972.174869,80584.000,5109,2,AK,1,100,5107
1671000972.197119,80606.000,5109,2,AK,1,100,RD
1671000974.756360,83136.500,5489,2,AK,1,100,5107
1671000977.315601,85667.000,5489,2,AK,1,100,RD
1671000977.365158,85716.000,5492,2,AK,1,100,5490
1671000977.414714,85765.000,5492,2,AK,1,100,RD
1671000979.962325,88284.000,5876,2,AK,1,100,5490
1671000982.509936,90803.000,5876,2,AK,1,100,RD
1671000982.523083,90816.000,5879,2,AK,1,100,5877
1671000982.536231,90829.000,5879,2,AK,1,100,RD
1671000985.102046,93366.000,6263,2,AK,1,100,5877
1671000987.667861,95903.000,6263,2,AK,1,100,RD
1671000987.713372,95948.000,6266,2,AK,1,100,6264
1671000987.758883,95993.000,6266,2,AK,1,100,RD
1671000990.300426,98506.000,6649,2,AK,1,100,6264
1671000992.841969,101019.000,6649,2,AK,1,100,RD
1671000992.860173,101037.000,6652,2,AK,1,100,6650
1671000992.878377,101055.000,6652,2,AK,1,100,RD
1671000995.446215,103594.000,7031,2,AK,1,100,6650
1671000998.014053,106133.000,7031,2,AK,1,100,RD
1671000998.033774,106152.500,7034,2,AK,1,100,7032
1671000998.053496,106172.000,7034,2,AK,1,100,RD
1671001000.630436,108720.000,7422,2,AK,1,100,7032
1671001003.207376,111268.000,7422,2,AK,1,100,RD
1671001003.220018,111280.500,7425,2,AK,1,100,7423
1671001003.232660,111293.000,7425,2,AK,1,100,RD
1671001005.808083,113839.500,7807,2,AK,1,100,7423
1671001008.383506,116386.000,7807,2,AK,1,100,RD
1671001008.410813,116413.000,7810,2,AK,1,100,7808
1671001008.438119,116440.000,7810,2,AK,1,100,RD
1671001011.039332,119012.000,8190,2,AK,1,100,7808
1671001013.640545,121584.000,8190,2,AK,1,100,RD
1671001013.654198,121597.500,8193,2,AK,1,100,8191
1671001013.667851,121611.000,8193,2,AK,1,100,RD
1671001016.237206,124151.500,8578,2,AK,1,100,8191
1671001018.806561,126692.000,8578,2,AK,1,100,RD
1671001018.847015,126732.000,8581,2,AK,1,100,8579
1671001018.887470,126772.000,8581,2,AK,1,100,RD
1671001021.424967,129281.000,8962,2,AK,1,100,8579
1671001023.962464,131790.000,8962,2,AK,1,100,RD
1671001023.975106,131802.500,8965,2,AK,1,100,8963
1671001023.987748,131815.000,8965,2,AK,1,100,RD
