LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL,LC,
1671000915.188894,24238,847,4,TX,1,100,2022-12-14_08-55-15-174504,1383151.6294479,
1671000926.333047,35257,1682,4,TX,1,100,2022-12-14_08-55-26-248950,1383162.7039239,
1671000937.280997,46082,2503,4,TX,1,100,2022-12-14_08-55-37-207679,1383173.6626848,
1671000948.260299,56938,3326,4,TX,1,100,2022-12-14_08-55-48-246599,1383184.7016350,
1671000959.397372,67950,4155,4,TX,1,100,2022-12-14_08-55-59-322900,1383195.7779672,
1671000970.308913,78739,4967,4,TX,1,100,2022-12-14_08-56-10-295264,1383206.7503622,
1671000981.334738,89641,5785,4,TX,1,100,2022-12-14_08-56-21-320486,1383217.7756141,
1671000992.342358,100525,6609,4,TX,1,100,2022-12-14_08-56-32-312537,1383228.7676962,
1671001003.431898,111490,7442,4,TX,1,100,2022-12-14_08-56-43-352219,1383239.8074089,
1671001014.388950,122324,8250,4,TX,1,100,2022-12-14_08-56-54-376743,1383250.8319645,
1671001025.432978,133244,9071,4,TX,1,100,2022-12-14_08-57-05-415888,1383261.8711397,
