LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,LC,LM,
1671000915.186871,24236,846,4,TX,1,100,1383151.5941840,1383151.5942069,
1671000926.331024,35255,1681,4,TX,1,100,1383162.6185921,1383162.6186142,
1671000937.279985,46081,2502,4,TX,1,100,1383173.6421200,1383173.6421397,
1671000948.257265,56935,3325,4,TX,1,100,1383184.6670626,1383184.6670736,
1671000959.395350,67948,4154,4,TX,1,100,1383195.6911082,1383195.6911251,
1671000970.306891,78737,4966,4,TX,1,100,1383206.7154954,1383206.7155135,
1671000981.331704,89638,5784,4,TX,1,100,1383217.7405635,1383217.7405804,
1671000992.339324,100522,6608,4,TX,1,100,1383228.7621674,1383228.7622156,
1671001003.429875,111488,7441,4,TX,1,100,1383239.7877276,1383239.7877213,
1671001014.386927,122322,8249,4,TX,1,100,1383250.8123940,1383250.8124074,
1671001025.430956,133242,9070,4,TX,1,100,1383261.8367823,1383261.8367977,
