19065,457,1,RB,1,100,2022-12-14_08-55-09-834278
19070,458,4,EM,1,100,RS,RB,2022-12-14_08-55-09-834278.csv,PS,MN
19072,459,3,PI,1,100,129813,129801,129809
19072,460,3,PR,1,100,118922,118910,118910
19072,461,3,PG,1,100,19772,19759,19776
19072,462,1,EA,1,100,0.030318
19072,463,1,EL,1,100,26466.400391
19137,464,1,SF,1,100,0.0000
19163,465,3,PI,1,100,129813,129803,129808
19163,466,3,PR,1,100,118919,118908,118920
19163,467,3,PG,1,100,19769,19767,19774
19137,468,1,EA,1,100,0.030318
19137,469,1,EL,1,100,26466.199219
19078,470,1,TH,1,100,22.907
19209,471,2,RD,1,100,TL,TU
19235,472,1,TL,1,100,2022-12-14_08-55-10-116450
19238,473,2,AK,1,100,471,RD
19271,474,4,EM,1,100,RS,RB,2022-12-14_08-55-09-834278.csv,PS,MN
19242,475,2,PI,1,100,129797,129813
19242,476,2,PR,1,100,118909,118913
19242,477,2,PG,1,100,19772,19763
19269,478,2,EA,1,100,0.030318,0.030318
19269,479,2,EL,1,100,26466.199219,26466.400391
19196,480,1,T1,1,100,29.039
19210,481,1,TH,1,100,22.907
19361,482,3,PI,1,100,129811,129810,129814
19361,483,3,PR,1,100,118917,118920,118914
19361,484,3,PG,1,100,19767,19782,19775
19335,485,1,EA,1,100,0.030319
19335,486,1,EL,1,100,26466.000000
19329,487,1,T1,1,100,29.017
19342,488,1,TH,1,100,22.851
19472,489,4,EM,1,100,RS,RB,2022-12-14_08-55-09-834278.csv,PS,MN
19467,490,1,SF,1,100,0.0000
19441,491,2,PI,1,100,129809,129805
19441,492,2,PR,1,100,118914,118908
19441,493,2,PG,1,100,19773,19770
19467,494,2,EA,1,100,0.030318,0.030318
19467,495,2,EL,1,100,26466.800781,26466.400391
19461,496,1,T1,1,100,29.043
19474,497,1,TH,1,100,22.851
19559,498,3,PI,1,100,129806,129805,129809
19559,499,3,PR,1,100,118910,118918,118912
19559,500,3,PG,1,100,19778,19779,19771
19533,501,1,EA,1,100,0.030318
19533,502,1,EL,1,100,26466.400391
19673,503,4,EM,1,100,RS,RB,2022-12-14_08-55-09-834278.csv,PS,MN
19676,504,3,PI,1,100,129810,129801,129792
19676,505,3,PR,1,100,118912,118913,118905
19676,506,3,PG,1,100,19770,19784,19770
19663,507,2,EA,1,100,0.030318,0.030319
19663,508,2,EL,1,100,26466.400391,26466.000000
19592,509,1,T1,1,100,29.054
19604,510,1,TH,1,100,22.928
19755,511,2,PI,1,100,129811,129800
19755,512,2,PR,1,100,118912,118911
19755,513,2,PG,1,100,19772,19768
19730,514,1,EA,1,100,0.030318
19730,515,1,EL,1,100,26466.199219
19723,516,1,T1,1,100,29.023
19736,517,1,TH,1,100,22.928
19762,518,1,BV,1,100,3.61
19762,519,1,B%,1,100, 8
19874,520,4,EM,1,100,RS,RB,2022-12-14_08-55-09-834278.csv,PS,MN
19862,521,1,SF,1,100,0.0000
19848,522,2,PI,1,100,129799,129797
19848,523,2,PR,1,100,118902,118902
19848,524,2,PG,1,100,19777,19771
19862,525,2,EA,1,100,0.030319,0.030318
19862,526,2,EL,1,100,26466.000000,26466.400391
19855,527,1,T1,1,100,29.010
19868,528,1,TH,1,100,22.992
19967,529,3,PI,1,100,129817,129787,129802
19967,530,3,PR,1,100,118916,118915,118903
19967,531,3,PG,1,100,19774,19774,19768
19927,532,1,EA,1,100,0.030319
19927,533,1,EL,1,100,26466.000000
20075,534,4,EM,1,100,RS,RB,2022-12-14_08-55-09-834278.csv,PS,MN
20085,535,3,PI,1,100,129798,129797,129794
20085,536,3,PR,1,100,118905,118894,118906
20085,537,3,PG,1,100,19771,19780,19769
20058,538,2,EA,1,100,0.030318,0.030319
20058,539,2,EL,1,100,26466.400391,26466.000000
19987,540,1,T1,1,100,29.040
20000,541,1,TH,1,100,22.992
20125,542,1,SF,1,100,0.0000
20164,543,2,PI,1,100,129790,129803
20164,544,2,PR,1,100,118897,118921
20164,545,2,PG,1,100,19775,19775
20125,546,1,EA,1,100,0.030319
20125,547,1,EL,1,100,26466.000000
20118,548,1,T1,1,100,29.017
20132,549,1,TH,1,100,22.905
20276,550,4,EM,1,100,RS,RB,2022-12-14_08-55-09-834278.csv,PS,MN
20283,551,3,PI,1,100,129805,129795,129795
20283,552,3,PR,1,100,118897,118909,118897
20283,553,3,PG,1,100,19776,19775,19769
20257,554,2,EA,1,100,0.030318,0.030318
20257,555,2,EL,1,100,26466.199219,26466.400391
20250,556,1,T1,1,100,29.078
20264,557,1,TH,1,100,22.897
20363,558,2,PI,1,100,129791,129798
20363,559,2,PR,1,100,118894,118894
20363,560,2,PG,1,100,19776,19774
20323,561,1,EA,1,100,0.030319
20323,562,1,EL,1,100,26466.000000
20382,563,1,T1,1,100,29.069
20396,564,1,TH,1,100,22.990
20477,565,4,EM,1,100,RS,RB,2022-12-14_08-55-09-834278.csv,PS,MN
20453,566,1,SF,1,100,0.0000
20479,567,3,PI,1,100,129796,129788,129801
20479,568,3,PR,1,100,118916,118902,118897
20479,569,3,PG,1,100,19766,19779,19771
20453,570,2,EA,1,100,0.030318,0.030319
20453,571,2,EL,1,100,26466.199219,26466.000000
20558,572,2,PI,1,100,129803,129796
20558,573,2,PR,1,100,118900,118908
20558,574,2,PG,1,100,19775,19775
20585,575,2,EA,1,100,0.030318,0.030319
20585,576,2,EL,1,100,26466.199219,26466.000000
20513,577,1,T1,1,100,28.995
20526,578,1,TH,1,100,22.990
20678,579,4,EM,1,100,RS,RB,2022-12-14_08-55-09-834278.csv,PS,MN
20677,580,3,PI,1,100,129785,129793,129788
20677,581,3,PR,1,100,118896,118904,118897
20677,582,3,PG,1,100,19767,19771,19772
20651,583,1,EA,1,100,0.030319
20651,584,1,EL,1,100,26466.000000
20645,585,1,T1,1,100,29.069
20658,586,1,TH,1,100,22.985
20784,587,1,SF,1,100,0.0000
20757,588,2,PI,1,100,129786,129790
20757,589,2,PR,1,100,118902,118904
20757,590,2,PG,1,100,19767,19772
20784,591,2,EA,1,100,0.030319,0.030319
20784,592,2,EL,1,100,26466.000000,26466.000000
20777,593,1,T1,1,100,28.888
20790,594,1,TH,1,100,22.985
20750,595,1,BV,1,100,3.61
20750,596,1,B%,1,100, 8
20879,597,4,EM,1,100,RS,RB,2022-12-14_08-55-09-834278.csv,PS,MN
20876,598,3,PI,1,100,129794,129794,129790
20876,599,3,PR,1,100,118898,118891,118914
20876,600,3,PG,1,100,19767,19768,19770
20849,601,1,EA,1,100,0.030319
20849,602,1,EL,1,100,26466.000000
