LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1671000909.964219,19072.000,459,3,PI,1,100,129813
1671000909.964219,19072.000,459,3,PI,1,100,129801
1671000909.964219,19072.000,459,3,PI,1,100,129809
1671000909.994896,19102.333,465,3,PI,1,100,129813
1671000910.025574,19132.667,465,3,PI,1,100,129803
1671000910.056252,19163.000,465,3,PI,1,100,129808
1671000910.096201,19202.500,475,2,PI,1,100,129797
1671000910.136149,19242.000,475,2,PI,1,100,129813
1671000910.176267,19281.667,482,3,PI,1,100,129811
1671000910.216384,19321.333,482,3,PI,1,100,129810
1671000910.256501,19361.000,482,3,PI,1,100,129814
1671000910.296955,19401.000,491,2,PI,1,100,129809
1671000910.337410,19441.000,491,2,PI,1,100,129805
1671000910.377190,19480.333,498,3,PI,1,100,129806
1671000910.416970,19519.667,498,3,PI,1,100,129805
1671000910.456750,19559.000,498,3,PI,1,100,129809
1671000910.496193,19598.000,504,3,PI,1,100,129810
1671000910.535636,19637.000,504,3,PI,1,100,129801
1671000910.575079,19676.000,504,3,PI,1,100,129792
1671000910.615027,19715.500,511,2,PI,1,100,129811
1671000910.654976,19755.000,511,2,PI,1,100,129800
1671000910.702004,19801.500,522,2,PI,1,100,129799
1671000910.749032,19848.000,522,2,PI,1,100,129797
1671000910.789150,19887.667,529,3,PI,1,100,129817
1671000910.829267,19927.333,529,3,PI,1,100,129787
1671000910.869384,19967.000,529,3,PI,1,100,129802
1671000910.909164,20006.333,535,3,PI,1,100,129798
1671000910.948944,20045.667,535,3,PI,1,100,129797
1671000910.988724,20085.000,535,3,PI,1,100,129794
1671000911.028673,20124.500,543,2,PI,1,100,129790
1671000911.068622,20164.000,543,2,PI,1,100,129803
1671000911.108739,20203.667,551,3,PI,1,100,129805
1671000911.148856,20243.333,551,3,PI,1,100,129795
1671000911.188973,20283.000,551,3,PI,1,100,129795
1671000911.229427,20323.000,558,2,PI,1,100,129791
1671000911.269882,20363.000,558,2,PI,1,100,129798
1671000911.308988,20401.667,567,3,PI,1,100,129796
1671000911.348094,20440.333,567,3,PI,1,100,129788
1671000911.387199,20479.000,567,3,PI,1,100,129801
1671000911.427148,20518.500,572,2,PI,1,100,129803
1671000911.467097,20558.000,572,2,PI,1,100,129796
1671000911.507214,20597.667,580,3,PI,1,100,129785
1671000911.547331,20637.333,580,3,PI,1,100,129793
1671000911.587448,20677.000,580,3,PI,1,100,129788
1671000911.627903,20717.000,588,2,PI,1,100,129786
1671000911.668357,20757.000,588,2,PI,1,100,129790
1671000911.708474,20796.667,598,3,PI,1,100,129794
1671000911.748591,20836.333,598,3,PI,1,100,129794
1671000911.788708,20876.000,598,3,PI,1,100,129790
1671000911.828489,20915.333,603,3,PI,1,100,129792
1671000911.868268,20954.667,603,3,PI,1,100,129790
1671000911.908049,20994.000,603,3,PI,1,100,129795
1671000911.946480,21032.000,611,2,PI,1,100,129791
1671000911.984912,21070.000,611,2,PI,1,100,129787
1671000912.025029,21109.667,619,3,PI,1,100,129789
1671000912.065146,21149.333,619,3,PI,1,100,129790
1671000912.105263,21189.000,619,3,PI,1,100,129785
1671000912.145718,21229.000,627,2,PI,1,100,129782
1671000912.186172,21269.000,627,2,PI,1,100,129783
1671000912.226289,21308.667,632,3,PI,1,100,129798
1671000912.266407,21348.333,632,3,PI,1,100,129793
1671000912.306524,21388.000,632,3,PI,1,100,129787
1671000912.346472,21427.500,641,2,PI,1,100,129800
1671000912.386421,21467.000,641,2,PI,1,100,129778
1671000912.430921,21511.000,648,3,PI,1,100,129783
1671000912.475420,21555.000,648,3,PI,1,100,129794
1671000912.519920,21599.000,648,3,PI,1,100,129789
1671000912.560374,21639.000,656,2,PI,1,100,129779
1671000912.600829,21679.000,656,2,PI,1,100,129802
1671000912.640946,21718.667,663,3,PI,1,100,129783
1671000912.681063,21758.333,663,3,PI,1,100,129795
1671000912.721180,21798.000,663,3,PI,1,100,129787
1671000912.760118,21836.500,672,2,PI,1,100,129780
1671000912.799055,21875.000,672,2,PI,1,100,129787
1671000912.838835,21914.333,679,3,PI,1,100,129789
1671000912.878615,21953.667,679,3,PI,1,100,129786
1671000912.918395,21993.000,679,3,PI,1,100,129781
1671000912.958849,22033.000,688,2,PI,1,100,129789
1671000912.999304,22073.000,688,2,PI,1,100,129784
1671000913.039421,22112.667,695,3,PI,1,100,129782
1671000913.079538,22152.333,695,3,PI,1,100,129777
1671000913.119655,22192.000,695,3,PI,1,100,129779
1671000913.159098,22231.000,701,2,PI,1,100,129787
1671000913.198541,22270.000,701,2,PI,1,100,129784
1671000913.238659,22309.667,708,3,PI,1,100,129766
1671000913.278776,22349.333,708,3,PI,1,100,129785
1671000913.318893,22389.000,708,3,PI,1,100,129781
1671000913.358336,22428.000,717,3,PI,1,100,129771
1671000913.397779,22467.000,717,3,PI,1,100,129774
1671000913.437222,22506.000,717,3,PI,1,100,129789
1671000913.477676,22546.000,724,2,PI,1,100,129781
1671000913.518131,22586.000,724,2,PI,1,100,129777
1671000913.558248,22625.667,730,3,PI,1,100,129777
1671000913.598365,22665.333,730,3,PI,1,100,129773
1671000913.638482,22705.000,730,3,PI,1,100,129775
1671000913.678431,22744.500,738,2,PI,1,100,129781
1671000913.718379,22784.000,738,2,PI,1,100,129773
1671000913.758497,22823.667,748,3,PI,1,100,129785
1671000913.798614,22863.333,748,3,PI,1,100,129788
1671000913.838731,22903.000,748,3,PI,1,100,129785
1671000913.879185,22943.000,755,2,PI,1,100,129777
1671000913.919640,22983.000,755,2,PI,1,100,129773
1671000913.959083,23022.000,763,3,PI,1,100,129781
1671000913.998526,23061.000,763,3,PI,1,100,129781
1671000914.037968,23100.000,763,3,PI,1,100,129779
1671000914.077411,23139.000,769,2,PI,1,100,129789
1671000914.116854,23178.000,769,2,PI,1,100,129790
1671000914.160680,23221.333,777,3,PI,1,100,129775
1671000914.204505,23264.667,777,3,PI,1,100,129785
1671000914.248331,23308.000,777,3,PI,1,100,129794
1671000914.288280,23347.500,785,2,PI,1,100,129772
1671000914.328228,23387.000,785,2,PI,1,100,129766
1671000914.368345,23426.667,793,3,PI,1,100,129791
1671000914.408463,23466.333,793,3,PI,1,100,129795
1671000914.448580,23506.000,793,3,PI,1,100,129774
1671000914.488528,23545.500,798,2,PI,1,100,129786
1671000914.528477,23585.000,798,2,PI,1,100,129774
1671000914.568594,23624.667,806,3,PI,1,100,129793
1671000914.608711,23664.333,806,3,PI,1,100,129785
1671000914.648829,23704.000,806,3,PI,1,100,129788
1671000914.688946,23743.667,816,3,PI,1,100,129779
1671000914.729063,23783.333,816,3,PI,1,100,129777
1671000914.769180,23823.000,816,3,PI,1,100,129776
1671000914.809129,23862.500,824,2,PI,1,100,129776
1671000914.849077,23902.000,824,2,PI,1,100,129781
1671000914.888520,23941.000,829,3,PI,1,100,129789
1671000914.927963,23980.000,829,3,PI,1,100,129775
1671000914.967407,24019.000,829,3,PI,1,100,129776
1671000915.007355,24058.500,838,2,PI,1,100,129770
1671000915.047304,24098.000,838,2,PI,1,100,129799
1671000915.087421,24137.667,848,3,PI,1,100,129758
1671000915.127538,24177.333,848,3,PI,1,100,129784
