LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
637286.195152,637286.195131,1673971782.998741,3497143.000,47766,1,TH,1,100,23.944
637286.327249,637286.327228,1673971783.130835,3497271.000,47783,1,TH,1,100,23.997
637286.462442,637286.462421,1673971783.266024,3497402.000,47800,1,TH,1,100,23.997
637286.597635,637286.597614,1673971783.401213,3497533.000,47817,1,TH,1,100,24.018
637286.730764,637286.730743,1673971783.534338,3497662.000,47852,1,TH,1,100,24.018
637286.863893,637286.863872,1673971783.667463,3497791.000,47868,1,TH,1,100,23.960
637286.995990,637286.995969,1673971783.799556,3497919.000,47885,1,TH,1,100,23.960
637287.129119,637287.129098,1673971783.932682,3498048.000,47922,1,TH,1,100,23.994
637287.263280,637287.263259,1673971784.066839,3498178.000,47938,1,TH,1,100,23.994
637287.398473,637287.398452,1673971784.202028,3498309.000,47955,1,TH,1,100,24.041
637287.531602,637287.531581,1673971784.335153,3498438.000,47972,1,TH,1,100,24.041
637287.661635,637287.661614,1673971784.465182,3498564.000,48006,1,TH,1,100,24.078
637287.794763,637287.794742,1673971784.598307,3498693.000,48024,1,TH,1,100,24.086
637287.927892,637287.927871,1673971784.731432,3498822.000,48040,1,TH,1,100,24.025
637288.060505,637288.060484,1673971784.864042,3498950.500,48073,2,TH,1,100,24.018
637288.193118,637288.193097,1673971784.996651,3499079.000,48073,2,TH,1,100,24.002
637288.325215,637288.325194,1673971785.128744,3499207.000,48109,1,TH,1,100,24.010
637288.457312,637288.457291,1673971785.260837,3499335.000,48127,1,TH,1,100,24.091
637288.589409,637288.589388,1673971785.392931,3499463.000,48143,1,TH,1,100,24.091
637288.724602,637288.724581,1673971785.528120,3499594.000,48178,1,TH,1,100,24.033
637288.859795,637288.859774,1673971785.663309,3499725.000,48195,1,TH,1,100,24.033
637288.992924,637288.992903,1673971785.796434,3499854.000,48211,1,TH,1,100,24.038
637289.123989,637289.123968,1673971785.927495,3499981.000,48229,1,TH,1,100,24.038
637289.257118,637289.257097,1673971786.060620,3500110.000,48265,1,TH,1,100,24.046
637289.390247,637289.390226,1673971786.193746,3500239.000,48281,1,TH,1,100,24.046
637289.522344,637289.522323,1673971786.325839,3500367.000,48299,1,TH,1,100,24.028
637289.655473,637289.655452,1673971786.458964,3500496.000,48315,1,TH,1,100,24.028
637289.787570,637289.787549,1673971786.591057,3500624.000,48355,2,TH,1,100,24.028
637289.919667,637289.919646,1673971786.723150,3500752.000,48355,2,TH,1,100,24.028
637290.052796,637290.052775,1673971786.856276,3500881.000,48387,1,TH,1,100,23.988
637290.185925,637290.185904,1673971786.989401,3501010.000,48409,1,TH,1,100,23.988
637290.319054,637290.319033,1673971787.122526,3501139.000,48425,1,TH,1,100,24.028
637290.451151,637290.451130,1673971787.254619,3501267.000,48443,1,TH,1,100,24.028
637290.583248,637290.583227,1673971787.386712,3501395.000,48459,1,TH,1,100,24.012
637290.716377,637290.716355,1673971787.519837,3501524.000,48494,1,TH,1,100,24.012
637290.848474,637290.848452,1673971787.651931,3501652.000,48511,1,TH,1,100,23.931
637290.981602,637290.981581,1673971787.785056,3501781.000,48527,1,TH,1,100,23.931
637291.114731,637291.114710,1673971787.918181,3501910.000,48545,1,TH,1,100,23.986
637291.245796,637291.245775,1673971788.049242,3502037.000,48581,1,TH,1,100,23.986
637291.379957,637291.379936,1673971788.183399,3502167.000,48597,1,TH,1,100,23.959
637291.513086,637291.513065,1673971788.316525,3502296.000,48615,1,TH,1,100,23.959
637291.646215,637291.646194,1673971788.449650,3502425.000,48649,1,TH,1,100,24.001
637291.777280,637291.777259,1673971788.580711,3502552.000,48666,1,TH,1,100,24.001
637291.914537,637291.914516,1673971788.717964,3502685.000,48683,1,TH,1,100,24.135
637292.048698,637292.048677,1673971788.852121,3502815.000,48699,1,TH,1,100,24.135
637292.180795,637292.180774,1673971788.984214,3502943.000,48736,1,TH,1,100,24.017
637292.313924,637292.313903,1673971789.117339,3503072.000,48753,1,TH,1,100,24.024
637292.447053,637292.447032,1673971789.250465,3503201.000,48770,1,TH,1,100,24.087
637292.579150,637292.579129,1673971789.382558,3503329.000,48801,1,TH,1,100,24.080
637292.713311,637292.713290,1673971789.516715,3503459.000,48822,1,TH,1,100,24.009
637292.847472,637292.847451,1673971789.650872,3503589.000,48838,1,TH,1,100,24.009
637292.980601,637292.980580,1673971789.783997,3503718.000,48855,1,TH,1,100,24.020
637293.112698,637293.112677,1673971789.916090,3503846.000,48872,1,TH,1,100,24.020
637293.245827,637293.245806,1673971790.049216,3503975.000,48908,1,TH,1,100,24.035
637293.381020,637293.380999,1673971790.184405,3504106.000,48925,1,TH,1,100,24.043
637293.515181,637293.515160,1673971790.318562,3504236.000,48942,1,TH,1,100,24.095
637293.650374,637293.650353,1673971790.453751,3504367.000,48959,1,TH,1,100,24.095
637293.783503,637293.783482,1673971790.586876,3504496.000,48994,1,TH,1,100,24.014
637293.915600,637293.915579,1673971790.718970,3504624.000,49010,1,TH,1,100,24.014
637294.046665,637294.046643,1673971790.850031,3504751.000,49027,1,TH,1,100,24.045
637294.181858,637294.181836,1673971790.985220,3504882.000,49064,1,TH,1,100,24.046
637294.316019,637294.315997,1673971791.119377,3505012.000,49080,1,TH,1,100,24.006
637294.448115,637294.448094,1673971791.251470,3505140.000,49098,1,TH,1,100,24.006
637294.581244,637294.581223,1673971791.384595,3505269.000,49114,1,TH,1,100,24.056
637294.712309,637294.712288,1673971791.515657,3505396.000,49149,1,TH,1,100,24.056
637294.845438,637294.845417,1673971791.648782,3505525.000,49166,1,TH,1,100,23.977
