LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
637387.568727,637387.568704,1673971884.369435,3595372.500,64458,2,AK,1,100,63607
637390.174030,637390.174007,1673971886.974663,3597897.000,64458,2,AK,1,100,RD
637392.810293,637392.810270,1673971889.610851,3600451.500,65309,2,AK,1,100,64459
637395.446556,637395.446533,1673971892.247039,3603006.000,65309,2,AK,1,100,RD
637395.452748,637395.452725,1673971892.253231,3603012.000,65311,2,AK,1,100,64459
637395.458940,637395.458917,1673971892.259423,3603018.000,65311,2,AK,1,100,RD
637395.482160,637395.482137,1673971892.282643,3603040.500,65314,2,AK,1,100,65312
637395.505380,637395.505357,1673971892.305862,3603063.000,65314,2,AK,1,100,RD
637398.116875,637398.116852,1673971894.917283,3605593.500,625,2,AK,1,100,65312
637400.728370,637400.728347,1673971897.528703,3608124.000,625,2,AK,1,100,RD
637400.742302,637400.742279,1673971897.542635,3608137.500,628,2,AK,1,100,626
637400.756234,637400.756211,1673971897.556567,3608151.000,628,2,AK,1,100,RD
637403.396625,637403.396602,1673971900.196883,3610709.500,1495,2,AK,1,100,626
637406.037016,637406.036993,1673971902.837199,3613268.000,1495,2,AK,1,100,RD
637406.049400,637406.049377,1673971902.849582,3613280.000,1498,2,AK,1,100,1496
637406.061784,637406.061761,1673971902.861966,3613292.000,1498,2,AK,1,100,RD
637408.683599,637408.683576,1673971905.483707,3615832.500,2360,2,AK,1,100,1496
637411.305414,637411.305391,1673971908.105447,3618373.000,2360,2,AK,1,100,RD
637411.318314,637411.318291,1673971908.118347,3618385.500,2363,2,AK,1,100,2361
637411.331214,637411.331191,1673971908.131246,3618398.000,2363,2,AK,1,100,RD
637413.950449,637413.950426,1673971910.750407,3620936.000,3228,2,AK,1,100,2361
637416.569684,637416.569661,1673971913.369567,3623474.000,3228,2,AK,1,100,RD
637416.583100,637416.583077,1673971913.382983,3623487.000,3231,2,AK,1,100,3229
637416.596516,637416.596493,1673971913.396399,3623500.000,3231,2,AK,1,100,RD
637419.224007,637419.223984,1673971916.023815,3626046.000,4094,2,AK,1,100,3229
637421.851498,637421.851475,1673971918.651231,3628592.000,4094,2,AK,1,100,RD
637421.894842,637421.894819,1673971918.694574,3628634.000,4097,2,AK,1,100,4095
637421.938187,637421.938164,1673971918.737917,3628676.000,4097,2,AK,1,100,RD
637424.526977,637424.526954,1673971921.326634,3631184.500,4948,2,AK,1,100,4095
637427.115768,637427.115745,1673971923.915352,3633693.000,4948,2,AK,1,100,RD
637427.136408,637427.136385,1673971923.935991,3633713.000,4951,2,AK,1,100,4949
637427.157048,637427.157025,1673971923.956631,3633733.000,4951,2,AK,1,100,RD
637429.778347,637429.778324,1673971926.577855,3636273.000,5815,2,AK,1,100,4949
637432.399646,637432.399623,1673971929.199080,3638813.000,5815,2,AK,1,100,RD
637432.412546,637432.412523,1673971929.211979,3638825.500,5818,2,AK,1,100,5816
637432.425446,637432.425423,1673971929.224879,3638838.000,5818,2,AK,1,100,RD
637435.049325,637435.049302,1673971931.848683,3641380.500,6682,2,AK,1,100,5816
637437.673204,637437.673181,1673971934.472487,3643923.000,6682,2,AK,1,100,RD
637437.686104,637437.686081,1673971934.485387,3643935.500,6685,2,AK,1,100,6683
637437.699004,637437.698981,1673971934.498287,3643948.000,6685,2,AK,1,100,RD
637440.317723,637440.317700,1673971937.116931,3646485.500,7547,2,AK,1,100,6683
637442.936442,637442.936419,1673971939.735576,3649023.000,7547,2,AK,1,100,RD
637442.980819,637442.980795,1673971939.779951,3649066.000,7550,2,AK,1,100,7548
637443.025195,637443.025171,1673971939.824326,3649109.000,7550,2,AK,1,100,RD
637445.643398,637445.643374,1673971942.442455,3651646.000,8417,2,AK,1,100,7548
637448.261601,637448.261577,1673971945.060583,3654183.000,8417,2,AK,1,100,RD
637448.311137,637448.311113,1673971945.110118,3654231.000,8420,2,AK,1,100,8418
637448.360673,637448.360650,1673971945.159653,3654279.000,8420,2,AK,1,100,RD
637450.950496,637450.950472,1673971947.749402,3656788.500,9269,2,AK,1,100,8418
637453.540319,637453.540295,1673971950.339151,3659298.000,9269,2,AK,1,100,RD
637453.552187,637453.552163,1673971950.351019,3659309.500,9272,2,AK,1,100,9270
637453.564055,637453.564031,1673971950.362886,3659321.000,9272,2,AK,1,100,RD
637456.210638,637456.210614,1673971953.009394,3661885.500,10137,2,AK,1,100,9270
637458.857221,637458.857197,1673971955.655902,3664450.000,10137,2,AK,1,100,RD
637458.873733,637458.873709,1673971955.672414,3664466.000,10140,2,AK,1,100,10138
637458.890245,637458.890222,1673971955.688926,3664482.000,10140,2,AK,1,100,RD
637461.504836,637461.504812,1673971958.303442,3667015.500,11006,2,AK,1,100,10138
637464.119427,637464.119403,1673971960.917958,3669549.000,11006,2,AK,1,100,RD
637464.135423,637464.135399,1673971960.933954,3669564.500,11009,2,AK,1,100,11007
637464.151419,637464.151395,1673971960.949950,3669580.000,11009,2,AK,1,100,RD
637466.796970,637466.796946,1673971963.595426,3672143.500,11887,2,AK,1,100,11007
637469.442521,637469.442497,1673971966.240901,3674707.000,11887,2,AK,1,100,RD
637469.454905,637469.454882,1673971966.253285,3674719.000,11890,2,AK,1,100,11888
637469.467290,637469.467266,1673971966.265669,3674731.000,11890,2,AK,1,100,RD
637472.093748,637472.093725,1673971968.892053,3677276.000,12754,2,AK,1,100,11888
637474.720207,637474.720183,1673971971.518438,3679821.000,12754,2,AK,1,100,RD
637474.744976,637474.744952,1673971971.543205,3679845.000,12757,2,AK,1,100,12755
637474.769744,637474.769720,1673971971.567972,3679869.000,12757,2,AK,1,100,RD
637477.377111,637477.377087,1673971974.175265,3682395.500,13625,2,AK,1,100,12755
637479.984477,637479.984453,1673971976.782558,3684922.000,13625,2,AK,1,100,RD
637480.000989,637480.000965,1673971976.799070,3684938.000,13628,2,AK,1,100,13626
637480.017502,637480.017478,1673971976.815581,3684954.000,13628,2,AK,1,100,RD
637482.640865,637482.640840,1673971979.438869,3687496.000,14489,2,AK,1,100,13626
637485.264227,637485.264203,1673971982.062158,3690038.000,14489,2,AK,1,100,RD
637485.288480,637485.288455,1673971982.086409,3690061.500,14492,2,AK,1,100,14490
637485.312732,637485.312708,1673971982.110661,3690085.000,14492,2,AK,1,100,RD
637487.920099,637487.920074,1673971984.717953,3692611.500,15341,2,AK,1,100,14490
637490.527465,637490.527441,1673971987.325246,3695138.000,15341,2,AK,1,100,RD
637490.540365,637490.540341,1673971987.338146,3695150.500,15344,2,AK,1,100,15342
637490.553266,637490.553241,1673971987.351046,3695163.000,15344,2,AK,1,100,RD
637493.180757,637493.180732,1673971989.978462,3697709.000,16207,2,AK,1,100,15342
637495.808247,637495.808223,1673971992.605878,3700255.000,16207,2,AK,1,100,RD
637495.833016,637495.832991,1673971992.630646,3700279.000,16210,2,AK,1,100,16208
637495.857784,637495.857760,1673971992.655413,3700303.000,16210,2,AK,1,100,RD
637498.484243,637498.484218,1673971995.281797,3702848.000,17079,2,AK,1,100,16208
637501.110702,637501.110677,1673971997.908182,3705393.000,17079,2,AK,1,100,RD
637501.154046,637501.154022,1673971997.951525,3705435.000,17082,2,AK,1,100,17080
637501.197390,637501.197366,1673971997.994868,3705477.000,17082,2,AK,1,100,RD
637503.810433,637503.810409,1673972000.607836,3708009.000,17947,2,AK,1,100,17080
637506.423476,637506.423452,1673972003.220805,3710541.000,17947,2,AK,1,100,RD
637506.468368,637506.468344,1673972003.265696,3710584.500,17950,2,AK,1,100,17948
637506.513261,637506.513236,1673972003.310587,3710628.000,17950,2,AK,1,100,RD
637509.105147,637509.105123,1673972005.902400,3713139.500,18800,2,AK,1,100,17948
637511.697034,637511.697009,1673972008.494213,3715651.000,18800,2,AK,1,100,RD
637511.715094,637511.715070,1673972008.512273,3715668.500,18803,2,AK,1,100,18801
637511.733154,637511.733130,1673972008.530332,3715686.000,18803,2,AK,1,100,RD
637514.362193,637514.362169,1673972011.159297,3718233.500,19668,2,AK,1,100,18801
637516.991232,637516.991208,1673972013.788261,3720781.000,19668,2,AK,1,100,RD
637517.002584,637517.002560,1673972013.799613,3720792.000,19671,2,AK,1,100,19669
637517.013936,637517.013912,1673972013.810964,3720803.000,19671,2,AK,1,100,RD
637519.646587,637519.646563,1673972016.443540,3723354.000,20537,2,AK,1,100,19669
637522.279238,637522.279214,1673972019.076117,3725905.000,20537,2,AK,1,100,RD
637522.292138,637522.292114,1673972019.089016,3725917.500,20540,2,AK,1,100,20538
637522.305039,637522.305014,1673972019.101916,3725930.000,20540,2,AK,1,100,RD
637524.939238,637524.939213,1673972021.736040,3728482.500,21405,2,AK,1,100,20538
637527.573437,637527.573412,1673972024.370164,3731035.000,21405,2,AK,1,100,RD
637527.588917,637527.588892,1673972024.385644,3731050.000,21408,2,AK,1,100,21406
637527.604397,637527.604372,1673972024.401124,3731065.000,21408,2,AK,1,100,RD
637530.222600,637530.222575,1673972027.019252,3733602.000,22258,2,AK,1,100,21406
637532.840802,637532.840778,1673972029.637381,3736139.000,22258,2,AK,1,100,RD
637532.854219,637532.854194,1673972029.650796,3736152.000,22261,2,AK,1,100,22259
637532.867635,637532.867610,1673972029.664212,3736165.000,22261,2,AK,1,100,RD
637535.504414,637535.504389,1673972032.300916,3738720.000,23126,2,AK,1,100,22259
637538.141193,637538.141168,1673972034.937620,3741275.000,23126,2,AK,1,100,RD
637538.155641,637538.155616,1673972034.952068,3741289.000,23129,2,AK,1,100,23127
637538.170089,637538.170064,1673972034.966516,3741303.000,23129,2,AK,1,100,RD
637540.796032,637540.796007,1673972037.592384,3743847.500,23928,2,AK,1,100,23127
637543.421975,637543.421950,1673972040.218252,3746392.000,23928,2,AK,1,100,RD
637543.450355,637543.450330,1673972040.246631,3746419.500,23931,2,AK,1,100,23929
637543.478735,637543.478710,1673972040.275011,3746447.000,23931,2,AK,1,100,RD
637546.099518,637546.099493,1673972042.895719,3748986.500,24797,2,AK,1,100,23929
637548.720301,637548.720276,1673972045.516428,3751526.000,24797,2,AK,1,100,RD
637548.759001,637548.758976,1673972045.555127,3751563.500,24800,2,AK,1,100,24798
637548.797702,637548.797676,1673972045.593826,3751601.000,24800,2,AK,1,100,RD
637551.400424,637551.400399,1673972048.196475,3754123.000,25661,2,AK,1,100,24798
637554.003147,637554.003122,1673972050.799124,3756645.000,25661,2,AK,1,100,RD
637554.016047,637554.016022,1673972050.812023,3756657.500,25664,2,AK,1,100,25662
637554.028947,637554.028922,1673972050.824923,3756670.000,25664,2,AK,1,100,RD
637556.650762,637556.650737,1673972053.446663,3759210.500,26530,2,AK,1,100,25662
637559.272577,637559.272552,1673972056.068404,3761751.000,26530,2,AK,1,100,RD
637559.308181,637559.308156,1673972056.104007,3761785.500,26533,2,AK,1,100,26531
637559.343786,637559.343760,1673972056.139610,3761820.000,26533,2,AK,1,100,RD
637561.943928,637561.943903,1673972058.739679,3764339.500,27380,2,AK,1,100,26531
637564.544071,637564.544046,1673972061.339748,3766859.000,27380,2,AK,1,100,RD
637564.557487,637564.557462,1673972061.353163,3766872.000,27383,2,AK,1,100,27381
637564.570903,637564.570878,1673972061.366579,3766885.000,27383,2,AK,1,100,RD
637567.197878,637567.197853,1673972063.993479,3769430.500,28250,2,AK,1,100,27381
637569.824853,637569.824828,1673972066.620380,3771976.000,28250,2,AK,1,100,RD
637569.850137,637569.850112,1673972066.645663,3772000.500,28253,2,AK,1,100,28251
637569.875422,637569.875396,1673972066.670947,3772025.000,28253,2,AK,1,100,RD
637572.485884,637572.485859,1673972069.281335,3774554.500,29119,2,AK,1,100,28251
637575.096347,637575.096322,1673972071.891724,3777084.000,29119,2,AK,1,100,RD
637575.149496,637575.149470,1673972071.944871,3777135.500,29122,2,AK,1,100,29120
637575.202644,637575.202618,1673972071.998018,3777187.000,29122,2,AK,1,100,RD
637577.793499,637577.793473,1673972074.588799,3779697.500,29984,2,AK,1,100,29120
637580.384353,637580.384328,1673972077.179580,3782208.000,29984,2,AK,1,100,RD
637580.398285,637580.398260,1673972077.193511,3782221.500,29987,2,AK,1,100,29985
637580.412218,637580.412192,1673972077.207443,3782235.000,29987,2,AK,1,100,RD
637583.041772,637583.041747,1673972079.836923,3784783.000,30854,2,AK,1,100,29985
637585.671327,637585.671302,1673972082.466404,3787331.000,30854,2,AK,1,100,RD
637585.684744,637585.684718,1673972082.479819,3787344.000,30857,2,AK,1,100,30855
637585.698160,637585.698134,1673972082.493235,3787357.000,30857,2,AK,1,100,RD
637588.334939,637588.334913,1673972085.129939,3789912.000,31717,2,AK,1,100,30855
637590.971718,637590.971692,1673972087.766643,3792467.000,31717,2,AK,1,100,RD
637590.988746,637590.988720,1673972087.783671,3792483.500,31720,2,AK,1,100,31718
637591.005774,637591.005748,1673972087.800699,3792500.000,31720,2,AK,1,100,RD
637593.623977,637593.623951,1673972090.418827,3795037.000,32570,2,AK,1,100,31718
637596.242180,637596.242154,1673972093.036955,3797574.000,32570,2,AK,1,100,RD
637596.255080,637596.255054,1673972093.049855,3797586.500,32573,2,AK,1,100,32571
637596.267980,637596.267954,1673972093.062755,3797599.000,32573,2,AK,1,100,RD
637598.894439,637598.894413,1673972095.689139,3800144.000,33436,2,AK,1,100,32571
637601.520898,637601.520872,1673972098.315523,3802689.000,33436,2,AK,1,100,RD
637601.534314,637601.534288,1673972098.328939,3802702.000,33439,2,AK,1,100,33437
637601.547730,637601.547704,1673972098.342355,3802715.000,33439,2,AK,1,100,RD
