LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
637286.253976,637286.253955,1673971783.057564,3497200.000,47760,2,PI,1,100,4566
637286.253976,637286.253955,1673971783.057564,3497200.000,47760,2,PI,1,100,4572
637286.293537,637286.293516,1673971783.097123,3497238.333,47777,3,PI,1,100,4563
637286.333097,637286.333076,1673971783.136682,3497276.667,47777,3,PI,1,100,4567
637286.372657,637286.372636,1673971783.176242,3497315.000,47777,3,PI,1,100,4560
637286.413938,637286.413917,1673971783.217521,3497355.000,47794,2,PI,1,100,4562
637286.455218,637286.455197,1673971783.258800,3497395.000,47794,2,PI,1,100,4559
637286.495810,637286.495789,1673971783.299391,3497434.333,47811,3,PI,1,100,4555
637286.536402,637286.536381,1673971783.339982,3497473.667,47811,3,PI,1,100,4570
637286.576995,637286.576974,1673971783.380573,3497513.000,47811,3,PI,1,100,4569
637286.623435,637286.623414,1673971783.427012,3497558.000,47827,2,PI,1,100,4565
637286.669875,637286.669854,1673971783.473451,3497603.000,47827,2,PI,1,100,4561
637286.710124,637286.710103,1673971783.513698,3497642.000,47846,3,PI,1,100,4564
637286.750372,637286.750351,1673971783.553946,3497681.000,47846,3,PI,1,100,4563
637286.790620,637286.790599,1673971783.594193,3497720.000,47846,3,PI,1,100,4574
637286.830353,637286.830332,1673971783.633924,3497758.500,47862,2,PI,1,100,4569
637286.870085,637286.870064,1673971783.673655,3497797.000,47862,2,PI,1,100,4565
637286.909989,637286.909968,1673971783.713558,3497835.667,47879,3,PI,1,100,4564
637286.949893,637286.949872,1673971783.753461,3497874.333,47879,3,PI,1,100,4557
637286.989798,637286.989777,1673971783.793365,3497913.000,47879,3,PI,1,100,4560
637287.029358,637287.029337,1673971783.832924,3497951.333,47895,3,PI,1,100,4571
637287.068918,637287.068897,1673971783.872483,3497989.667,47895,3,PI,1,100,4568
637287.108479,637287.108458,1673971783.912042,3498028.000,47895,3,PI,1,100,4563
637287.148211,637287.148190,1673971783.951773,3498066.500,47916,2,PI,1,100,4564
637287.187943,637287.187922,1673971783.991504,3498105.000,47916,2,PI,1,100,4566
637287.228879,637287.228858,1673971784.032439,3498144.667,47932,3,PI,1,100,4556
637287.269816,637287.269795,1673971784.073375,3498184.333,47932,3,PI,1,100,4559
637287.310752,637287.310731,1673971784.114310,3498224.000,47932,3,PI,1,100,4572
637287.351516,637287.351495,1673971784.155073,3498263.500,47949,2,PI,1,100,4563
637287.392281,637287.392260,1673971784.195836,3498303.000,47949,2,PI,1,100,4563
637287.431841,637287.431820,1673971784.235395,3498341.333,47966,3,PI,1,100,4562
637287.471401,637287.471380,1673971784.274954,3498379.667,47966,3,PI,1,100,4568
637287.510961,637287.510940,1673971784.314513,3498418.000,47966,3,PI,1,100,4563
637287.550178,637287.550157,1673971784.353729,3498456.000,47983,3,PI,1,100,4563
637287.589394,637287.589373,1673971784.392944,3498494.000,47983,3,PI,1,100,4562
637287.628610,637287.628589,1673971784.432159,3498532.000,47983,3,PI,1,100,4567
637287.667827,637287.667806,1673971784.471374,3498570.000,48000,2,PI,1,100,4564
637287.707043,637287.707022,1673971784.510589,3498608.000,48000,2,PI,1,100,4568
637287.746947,637287.746926,1673971784.550492,3498646.667,48018,3,PI,1,100,4563
637287.786851,637287.786830,1673971784.590395,3498685.333,48018,3,PI,1,100,4564
637287.826756,637287.826735,1673971784.630299,3498724.000,48018,3,PI,1,100,4563
637287.867004,637287.866983,1673971784.670546,3498763.000,48034,3,PI,1,100,4566
637287.907252,637287.907231,1673971784.710793,3498802.000,48034,3,PI,1,100,4565
637287.947501,637287.947480,1673971784.751040,3498841.000,48034,3,PI,1,100,4563
637287.987749,637287.987728,1673971784.791287,3498880.000,48051,2,PI,1,100,4571
637288.027997,637288.027976,1673971784.831534,3498919.000,48051,2,PI,1,100,4557
637288.067987,637288.067966,1673971784.871524,3498957.750,48067,4,PI,1,100,4559
637288.107978,637288.107957,1673971784.911513,3498996.500,48067,4,PI,1,100,4564
637288.147968,637288.147947,1673971784.951502,3499035.250,48067,4,PI,1,100,4569
637288.187958,637288.187937,1673971784.991491,3499074.000,48067,4,PI,1,100,4565
637288.226659,637288.226638,1673971785.030190,3499111.500,48089,2,PI,1,100,4568
637288.265359,637288.265338,1673971785.068889,3499149.000,48089,2,PI,1,100,4553
637288.305263,637288.305242,1673971785.108793,3499187.667,48103,3,PI,1,100,4562
637288.345167,637288.345146,1673971785.148696,3499226.333,48103,3,PI,1,100,4560
637288.385072,637288.385051,1673971785.188599,3499265.000,48103,3,PI,1,100,4565
637288.429964,637288.429943,1673971785.233490,3499308.500,48121,2,PI,1,100,4567
637288.474856,637288.474835,1673971785.278381,3499352.000,48121,2,PI,1,100,4562
637288.514761,637288.514740,1673971785.318284,3499390.667,48137,3,PI,1,100,4563
637288.554665,637288.554644,1673971785.358187,3499429.333,48137,3,PI,1,100,4561
637288.594569,637288.594548,1673971785.398090,3499468.000,48137,3,PI,1,100,4569
637288.635334,637288.635313,1673971785.438854,3499507.500,48157,2,PI,1,100,4558
