LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
637497.664829,637497.664805,1673971994.462407,3702054,16522,1,BI,1,100,310920
637504.304765,637504.304740,1673972001.102154,3708488,17601,1,BI,1,100,6600
