LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
637286.455218,637286.455197,1673971783.258800,3497395.000,47793,1,SF,1,100,0.0000
637286.790620,637286.790599,1673971783.594193,3497720.000,47845,1,SF,1,100,0.0000
637287.187943,637287.187922,1673971783.991504,3498105.000,47915,1,SF,1,100,0.0000
637287.524378,637287.524357,1673971784.327929,3498431.000,47965,1,SF,1,100,0.0000
637287.787539,637287.787518,1673971784.591084,3498686.000,48017,1,SF,1,100,0.0000
637288.187958,637288.187937,1673971784.991491,3499074.000,48066,1,SF,1,100,0.0000
637288.451120,637288.451099,1673971785.254645,3499329.000,48120,1,SF,1,100,0.0000
637288.785491,637288.785470,1673971785.589006,3499653.000,48172,1,SF,1,100,0.0000
637289.117797,637289.117776,1673971785.921303,3499975.000,48222,1,SF,1,100,0.0000
637289.517184,637289.517163,1673971786.320679,3500362.000,48292,1,SF,1,100,0.0000
637289.913475,637289.913454,1673971786.716959,3500746.000,48348,1,SF,1,100,0.0000
637290.112652,637290.112631,1673971786.916130,3500939.000,48380,1,SF,1,100,0.0000
637290.445991,637290.445970,1673971787.249459,3501262.000,48436,1,SF,1,100,0.0000
637290.774169,637290.774148,1673971787.577628,3501580.000,48487,1,SF,1,100,0.0000
637291.107507,637291.107486,1673971787.910957,3501903.000,48538,1,SF,1,100,0.0000
637291.506894,637291.506873,1673971788.310333,3502290.000,48608,1,SF,1,100,0.0000
637291.838169,637291.838148,1673971788.641598,3502611.000,48659,1,SF,1,100,0.0000
637292.107523,637292.107501,1673971788.910944,3502872.000,48710,1,SF,1,100,0.0000
637292.439829,637292.439808,1673971789.243241,3503194.000,48763,1,SF,1,100,0.0000
637292.774199,637292.774178,1673971789.577602,3503518.000,48815,1,SF,1,100,0.0000
637293.106506,637293.106485,1673971789.909899,3503840.000,48865,1,SF,1,100,0.0000
637293.507957,637293.507936,1673971790.311338,3504229.000,48935,1,SF,1,100,0.0000
637293.842327,637293.842306,1673971790.645699,3504553.000,48987,1,SF,1,100,0.0000
637294.105489,637294.105468,1673971790.908854,3504808.000,49037,1,SF,1,100,0.0000
637294.441923,637294.441902,1673971791.245278,3505134.000,49091,1,SF,1,100,0.0000
637294.772166,637294.772145,1673971791.575511,3505454.000,49142,1,SF,1,100,0.0000
637295.174649,637295.174628,1673971791.977983,3505844.000,49198,1,SF,1,100,0.0000
637295.439875,637295.439853,1673971792.243201,3506101.000,49237,1,SF,1,100,0.0000
637295.776309,637295.776288,1673971792.579626,3506427.000,49289,1,SF,1,100,0.0000
637296.176728,637296.176707,1673971792.980034,3506815.000,49356,1,SF,1,100,0.0000
637296.511098,637296.511077,1673971793.314394,3507139.000,49408,1,SF,1,100,0.0000
637296.776324,637296.776303,1673971793.579613,3507396.000,49461,1,SF,1,100,0.0000
637297.174679,637297.174658,1673971793.977956,3507782.000,49510,1,SF,1,100,0.0000
637297.438873,637297.438852,1673971794.242143,3508038.000,49565,1,SF,1,100,0.0000
