RD,TS_received,TS_sent,AK,RoundTrip,
3500653,3500675,2023-01-17_18-09-46-632688,3500678,22,
3505789,3505822,2023-01-17_18-09-51-941938,3505825,33,
3510914,3510937,2023-01-17_18-09-57-220274,3510940,23,
3516055,3516077,2023-01-17_18-10-02-512785,3516080,22,
3521167,3521195,2023-01-17_18-10-07-806385,3521198,28,
3526285,3526360,2023-01-17_18-10-13-129315,3526363,75,
3531383,3531421,2023-01-17_18-10-18-360064,3531424,38,
3536485,3536507,2023-01-17_18-10-23-606210,3536510,22,
3541617,3541652,2023-01-17_18-10-28-907947,3541655,35,
3546715,3546804,2023-01-17_18-10-34-231377,3546807,89,
3551833,3551879,2023-01-17_18-10-39-453634,3551881,46,
3556950,3557031,2023-01-17_18-10-44-779443,3557034,81,
3562078,3562100,2023-01-17_18-10-50-006975,3562104,22,
3567194,3567260,2023-01-17_18-10-55-325064,3567263,66,
3572328,3572415,2023-01-17_18-11-00-650602,3572417,87,
3577427,3577448,2023-01-17_18-11-05-851874,3577451,21,
3582548,3582572,2023-01-17_18-11-11-142153,3582575,24,
3587664,3587688,2023-01-17_18-11-16-415964,3587691,24,
3592793,3592845,2023-01-17_18-11-21-743125,3592848,52,
3597897,3598019,2023-01-17_18-11-27-065094,3603006,122,
3603018,3603060,2023-01-17_18-11-32-287238,3603063,42,
3608124,3608148,2023-01-17_18-11-37-531378,3608151,24,
3613269,3613290,2023-01-17_18-11-42-838073,3613292,21,
3618373,3618395,2023-01-17_18-11-48-113497,3618398,22,
3623475,3623497,2023-01-17_18-11-53-369677,3623500,22,
3628592,3628671,2023-01-17_18-11-58-708877,3628676,79,
3633694,3633729,2023-01-17_18-12-03-927849,3633733,35,
3638813,3638835,2023-01-17_18-12-09-210655,3638838,22,
3643923,3643945,2023-01-17_18-12-14-479581,3643948,22,
3649023,3649105,2023-01-17_18-12-19-802896,3649109,82,
3654183,3654276,2023-01-17_18-12-25-135213,3654279,93,
3659299,3659318,2023-01-17_18-12-30-342579,3659321,19,
3664450,3664479,2023-01-17_18-12-35-673288,3664482,29,
3669549,3669577,2023-01-17_18-12-40-920723,3669580,28,
3674707,3674728,2023-01-17_18-12-46-246988,3674731,21,
3679821,3679866,2023-01-17_18-12-51-544311,3679869,45,
3684923,3684951,2023-01-17_18-12-56-785504,3684954,28,
3690039,3690081,2023-01-17_18-13-02-092676,3690085,42,
3695138,3695160,2023-01-17_18-13-07-331277,3695163,22,
3700255,3700298,2023-01-17_18-13-12-638311,3700303,43,
3705393,3705471,2023-01-17_18-13-17-963762,3705477,78,
3710541,3710625,2023-01-17_18-13-23-287229,3710628,84,
3715651,3715681,2023-01-17_18-13-28-509546,3715686,30,
3720781,3720800,2023-01-17_18-13-33-795567,3720803,19,
3725906,3725927,2023-01-17_18-13-39-087693,3725930,21,
3731035,3731062,2023-01-17_18-13-44-378335,3731065,27,
3736140,3736161,2023-01-17_18-13-49-649584,3736165,21,
3741275,3741299,2023-01-17_18-13-54-943520,3741303,24,
3746392,3746444,2023-01-17_18-14-00-252293,3746447,52,
3751526,3751595,2023-01-17_18-14-05-576994,3751601,69,
3756645,3756666,2023-01-17_18-14-10-812165,3756670,21,
3761752,3761817,2023-01-17_18-14-16-125616,3761820,65,
3766860,3766882,2023-01-17_18-14-21-355387,3766885,22,
3771977,3772023,2023-01-17_18-14-26-671742,3772025,46,
3777084,3777184,2023-01-17_18-14-31-986480,3777187,100,
3782208,3782232,2023-01-17_18-14-37-203485,3782235,24,
3787331,3787354,2023-01-17_18-14-42-484421,3787357,23,
3792467,3792497,2023-01-17_18-14-47-786780,3792500,30,
3797574,3797596,2023-01-17_18-14-53-061261,3797599,22,
3802689,3802712,2023-01-17_18-14-58-337325,3802715,23,
