LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
637289.813370,637289.813349,1673971786.616857,3500649.000,48343,1,TL,1,100,2023-01-17_18-09-41-497347
637289.840202,637289.840181,1673971786.643688,3500675.000,48346,1,TL,1,100,2023-01-17_18-09-46-632688
637295.111696,637295.111675,1673971791.915032,3505783.000,49192,1,TL,1,100,2023-01-17_18-09-46-822857
637295.151945,637295.151923,1673971791.955279,3505822.000,49195,1,TL,1,100,2023-01-17_18-09-51-941938
637300.403830,637300.403809,1673971797.207016,3510911.000,50048,1,TL,1,100,2023-01-17_18-09-52-142395
637300.430663,637300.430641,1673971797.233847,3510937.000,50051,1,TL,1,100,2023-01-17_18-09-57-220274
637305.709381,637305.709359,1673971802.512415,3516052.000,50852,1,TL,1,100,2023-01-17_18-09-57-364613
637305.735181,637305.735160,1673971802.538215,3516077.000,50855,1,TL,1,100,2023-01-17_18-10-02-512785
637310.982939,637310.982917,1673971807.785823,3521162.000,51705,1,TL,1,100,2023-01-17_18-10-02-698455
637311.016995,637311.016974,1673971807.819879,3521195.000,51708,1,TL,1,100,2023-01-17_18-10-07-806385
637316.263721,637316.263699,1673971813.066455,3526279.000,52557,1,TL,1,100,2023-01-17_18-10-08-016957
637316.347313,637316.347292,1673971813.150046,3526360.000,52560,1,TL,1,100,2023-01-17_18-10-13-129315
637321.525927,637321.525905,1673971818.328512,3531378.000,53395,1,TL,1,100,2023-01-17_18-10-13-246322
637321.570303,637321.570281,1673971818.372887,3531421.000,53398,1,TL,1,100,2023-01-17_18-10-18-360064
637326.792261,637326.792239,1673971823.594696,3536481.000,54244,1,TL,1,100,2023-01-17_18-10-18-562270
637326.819093,637326.819071,1673971823.621527,3536507.000,54247,1,TL,1,100,2023-01-17_18-10-23-606210
637332.087491,637332.087469,1673971828.889776,3541612.000,55098,1,TL,1,100,2023-01-17_18-10-23-784620
637332.128771,637332.128749,1673971828.931055,3541652.000,55101,1,TL,1,100,2023-01-17_18-10-28-907947
637337.350729,637337.350707,1673971834.152864,3546712.000,55951,1,TL,1,100,2023-01-17_18-10-29-053316
637337.445674,637337.445652,1673971834.247806,3546804.000,55954,1,TL,1,100,2023-01-17_18-10-34-231377
637342.629447,637342.629425,1673971839.431432,3551827.000,56801,1,TL,1,100,2023-01-17_18-10-34-331227
637342.683111,637342.683089,1673971839.485095,3551879.000,56804,1,TL,1,100,2023-01-17_18-10-39-453634
637347.910229,637347.910207,1673971844.712064,3556944.000,57656,1,TL,1,100,2023-01-17_18-10-39-593407
637348.000014,637347.999992,1673971844.801846,3557031.000,57659,1,TL,1,100,2023-01-17_18-10-44-779443
637353.204427,637353.204405,1673971850.006112,3562074.000,58509,1,TL,1,100,2023-01-17_18-10-44-875963
637353.231259,637353.231237,1673971850.032943,3562100.000,58512,1,TL,1,100,2023-01-17_18-10-50-006975
637358.483145,637358.483123,1673971855.284680,3567189.000,59359,1,TL,1,100,2023-01-17_18-10-50-167411
637358.556418,637358.556396,1673971855.357950,3567260.000,59362,1,TL,1,100,2023-01-17_18-10-55-325064
637363.781471,637363.781449,1673971860.582855,3572323.000,60212,1,TL,1,100,2023-01-17_18-10-55-457899
637363.876416,637363.876394,1673971860.677797,3572415.000,60215,1,TL,1,100,2023-01-17_18-11-00-650602
637369.045741,637369.045719,1673971865.846976,3577424.000,61064,1,TL,1,100,2023-01-17_18-11-00-773523
637369.070510,637369.070487,1673971865.871743,3577448.000,61067,1,TL,1,100,2023-01-17_18-11-05-851874
637374.330651,637374.330629,1673971871.131735,3582545.000,61917,1,TL,1,100,2023-01-17_18-11-06-010768
637374.358516,637374.358493,1673971871.159599,3582572.000,61920,1,TL,1,100,2023-01-17_18-11-11-142153
637379.609370,637379.609347,1673971876.410303,3587660.000,62765,1,TL,1,100,2023-01-17_18-11-11-299743
637379.638266,637379.638243,1673971876.439199,3587688.000,62768,1,TL,1,100,2023-01-17_18-11-16-415964
637384.900472,637384.900449,1673971881.701255,3592787.000,63605,1,TL,1,100,2023-01-17_18-11-16-569275
637384.960328,637384.960306,1673971881.761110,3592845.000,63608,1,TL,1,100,2023-01-17_18-11-21-743125
637390.170934,637390.170911,1673971886.971567,3597894.000,64457,1,TL,1,100,2023-01-17_18-11-21-861514
637390.299935,637390.299912,1673971887.100565,3598019.000,64460,1,TL,1,100,2023-01-17_18-11-27-065094
637395.455844,637395.455821,1673971892.256327,3603015.000,65310,1,TL,1,100,2023-01-17_18-11-27-167569
637395.502284,637395.502261,1673971892.302766,3603060.000,65313,1,TL,1,100,2023-01-17_18-11-32-287238
637400.725274,637400.725251,1673971897.525607,3608121.000,624,1,TL,1,100,2023-01-17_18-11-32-418929
637400.753138,637400.753115,1673971897.553471,3608148.000,627,1,TL,1,100,2023-01-17_18-11-37-531378
637406.031856,637406.031833,1673971902.832039,3613263.000,1494,1,TL,1,100,2023-01-17_18-11-37-614598
637406.059720,637406.059697,1673971902.859902,3613290.000,1497,1,TL,1,100,2023-01-17_18-11-42-838073
637411.302318,637411.302295,1673971908.102351,3618370.000,2359,1,TL,1,100,2023-01-17_18-11-42-939280
637411.328118,637411.328095,1673971908.128150,3618395.000,2362,1,TL,1,100,2023-01-17_18-11-48-113497
637416.567620,637416.567597,1673971913.367503,3623472.000,3227,1,TL,1,100,2023-01-17_18-11-48-188577
637416.593420,637416.593397,1673971913.393303,3623497.000,3230,1,TL,1,100,2023-01-17_18-11-53-369677
637421.844274,637421.844251,1673971918.644007,3628585.000,4093,1,TL,1,100,2023-01-17_18-11-53-433239
637421.933027,637421.933004,1673971918.732758,3628671.000,4096,1,TL,1,100,2023-01-17_18-11-58-708877
637427.109576,637427.109553,1673971923.909160,3633687.000,4947,1,TL,1,100,2023-01-17_18-11-58-910375
637427.152920,637427.152897,1673971923.952503,3633729.000,4950,1,TL,1,100,2023-01-17_18-12-03-927849
637432.395518,637432.395495,1673971929.194952,3638809.000,5814,1,TL,1,100,2023-01-17_18-12-04-030513
637432.422350,637432.422327,1673971929.221783,3638835.000,5817,1,TL,1,100,2023-01-17_18-12-09-210655
637437.667012,637437.666989,1673971934.466296,3643917.000,6681,1,TL,1,100,2023-01-17_18-12-09-267484
