LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL,LC,
637286.264296,637286.264275,1673971783.067884,3497210,47759,4,TX,1,100,2023-01-17_18-09-42-967434,637286.1638227,
637286.775140,637286.775119,1673971783.578713,3497705,47843,4,TX,1,100,2023-01-17_18-09-43-535378,637286.7317821,
637287.197231,637287.197210,1673971784.000792,3498114,47913,4,TX,1,100,2023-01-17_18-09-43-981604,637287.1780212,
637287.700851,637287.700830,1673971784.504397,3498602,47999,4,TX,1,100,2023-01-17_18-09-44-485829,637287.6822603,
637288.294255,637288.294234,1673971785.097785,3499177,48088,4,TX,1,100,2023-01-17_18-09-44-980817,637288.1772617,
637288.706026,637288.706005,1673971785.509544,3499576,48156,4,TX,1,100,2023-01-17_18-09-45-480427,637288.6768869,
637289.218934,637289.218913,1673971786.022437,3500073,48243,4,TX,1,100,2023-01-17_18-09-45-981085,637289.1775593,
637289.728745,637289.728724,1673971786.532234,3500567,48327,4,TX,1,100,2023-01-17_18-09-46-480822,637289.6773108,
637290.226173,637290.226152,1673971787.029648,3501049,48401,4,TX,1,100,2023-01-17_18-09-46-981029,637290.1775307,
637290.775201,637290.775180,1673971787.578660,3501581,48486,4,TX,1,100,2023-01-17_18-09-47-494835,637290.6913523,
637291.194196,637291.194175,1673971787.997643,3501987,48559,4,TX,1,100,2023-01-17_18-09-47-980795,637291.1773262,
637291.691624,637291.691603,1673971788.495057,3502469,48641,4,TX,1,100,2023-01-17_18-09-48-480410,637291.6769555,
637292.213819,637292.213798,1673971789.017238,3502975,48729,4,TX,1,100,2023-01-17_18-09-48-980468,637292.1770282,
637292.798968,637292.798946,1673971789.602369,3503542,48814,4,TX,1,100,2023-01-17_18-09-49-480282,637292.6768558,
637293.205579,637293.205557,1673971790.008969,3503936,48887,4,TX,1,100,2023-01-17_18-09-49-981334,637293.1779225,
637293.726742,637293.726721,1673971790.530118,3504441,48971,4,TX,1,100,2023-01-17_18-09-50-480457,637293.6770599,
637294.237586,637294.237565,1673971791.040947,3504936,49056,4,TX,1,100,2023-01-17_18-09-50-997420,637294.1940375,
637294.767006,637294.766985,1673971791.570351,3505449,49141,4,TX,1,100,2023-01-17_18-09-51-476366,637294.6729971,
637295.366602,637295.366581,1673971792.169931,3506030,49219,4,TX,1,100,2023-01-17_18-09-52-045930,637295.2425770,
637295.775277,637295.775256,1673971792.578594,3506426,49288,4,TX,1,100,2023-01-17_18-09-52-497039,637295.6936999,
637296.289217,637296.289196,1673971793.092519,3506924,49375,4,TX,1,100,2023-01-17_18-09-52-997431,637296.1941051,
637296.720596,637296.720575,1673971793.523886,3507342,49443,4,TX,1,100,2023-01-17_18-09-53-497393,637296.6940824,
637297.263432,637297.263411,1673971794.066706,3507868,49531,4,TX,1,100,2023-01-17_18-09-53-996874,637297.1935772,
637297.710291,637297.710270,1673971794.513553,3508301,49599,4,TX,1,100,2023-01-17_18-09-54-497280,637297.6939975,
637298.237647,637298.237626,1673971795.040894,3508812,49686,4,TX,1,100,2023-01-17_18-09-54-997474,637298.1942060,
637298.740234,637298.740213,1673971795.543467,3509299,49771,4,TX,1,100,2023-01-17_18-09-55-481422,637298.6781679,
637299.283070,637299.283049,1673971796.086288,3509825,49858,4,TX,1,100,2023-01-17_18-09-56-011303,637299.2080635,
637299.787722,637299.787701,1673971796.590925,3510314,49943,4,TX,1,100,2023-01-17_18-09-56-497335,637299.6941094,
637300.216005,637300.215984,1673971797.019196,3510729,50014,4,TX,1,100,2023-01-17_18-09-56-996902,637300.1936905,
637300.710337,637300.710315,1673971797.513513,3511208,50089,4,TX,1,100,2023-01-17_18-09-57-496243,637300.6930460,
637301.211892,637301.211871,1673971798.015055,3511694,50176,4,TX,1,100,2023-01-17_18-09-57-997310,637301.1941275,
637301.811489,637301.811467,1673971798.614634,3512275,50261,4,TX,1,100,2023-01-17_18-09-58-497053,637301.6938854,
637302.208811,637302.208790,1673971799.011945,3512660,50332,4,TX,1,100,2023-01-17_18-09-58-996223,637302.1930692,
637302.717591,637302.717570,1673971799.520711,3513153,50416,4,TX,1,100,2023-01-17_18-09-59-497107,637302.6939677,
637303.265587,637303.265566,1673971800.068691,3513684,50504,4,TX,1,100,2023-01-17_18-09-59-980428,637303.1773022,
637303.773335,637303.773313,1673971800.576424,3514176,50588,4,TX,1,100,2023-01-17_18-10-00-547475,637303.7443653,
637304.394603,637304.394582,1673971801.197675,3514778,50645,4,TX,1,100,2023-01-17_18-10-00-996280,637304.1931836,
637304.743422,637304.743400,1673971801.546484,3515116,50697,4,TX,1,100,2023-01-17_18-10-01-496084,637304.6930019,
637305.221241,637305.221220,1673971802.024290,3515579,50770,4,TX,1,100,2023-01-17_18-10-01-996933,637305.1938653,
637305.856958,637305.856936,1673971802.659988,3516195,50859,4,TX,1,100,2023-01-17_18-10-02-496830,637305.6937761,
637306.344065,637306.344044,1673971803.147082,3516667,50947,4,TX,1,100,2023-01-17_18-10-02-996062,637306.1930226,
637306.720748,637306.720727,1673971803.523754,3517032,51001,4,TX,1,100,2023-01-17_18-10-03-496943,637306.6939184,
637307.227464,637307.227442,1673971804.030455,3517523,51088,4,TX,1,100,2023-01-17_18-10-03-981049,637307.1780378,
637307.779588,637307.779566,1673971804.582563,3518058,51173,4,TX,1,100,2023-01-17_18-10-04-510801,637307.7078052,
637308.271855,637308.271834,1673971805.074817,3518535,51260,4,TX,1,100,2023-01-17_18-10-04-996398,637308.1934153,
637308.793019,637308.792998,1673971805.595966,3519040,51344,4,TX,1,100,2023-01-17_18-10-05-496610,637308.6936413,
637309.312119,637309.312097,1673971806.115051,3519543,51432,4,TX,1,100,2023-01-17_18-10-05-995921,637309.1929676,
637310.147013,637310.146991,1673971806.949921,3520352,51567,4,TX,1,100,2023-01-17_18-10-06-496860,637309.6939200,
637310.358574,637310.358553,1673971807.161477,3520557,51604,4,TX,1,100,2023-01-17_18-10-06-996605,637310.1936790,
637310.710489,637310.710467,1673971807.513381,3520898,51656,4,TX,1,100,2023-01-17_18-10-07-496701,637310.6937891,
637311.248165,637311.248143,1673971808.051042,3521419,51732,4,TX,1,100,2023-01-17_18-10-07-996694,637311.1937967,
637311.765200,637311.765179,1673971808.568063,3521920,51816,4,TX,1,100,2023-01-17_18-10-08-485240,637311.6823565,
637312.283268,637312.283247,1673971809.086116,3522422,51904,4,TX,1,100,2023-01-17_18-10-09-046176,637312.2433085,
637312.798240,637312.798218,1673971809.601073,3522921,51988,4,TX,1,100,2023-01-17_18-10-09-496534,637312.6936795,
637313.305987,637313.305966,1673971810.108806,3523413,52076,4,TX,1,100,2023-01-17_18-10-09-996259,637313.1934188,
637313.721886,637313.721865,1673971810.524693,3523816,52144,4,TX,1,100,2023-01-17_18-10-10-496692,637313.6938661,
637314.244082,637314.244061,1673971811.046874,3524322,52231,4,TX,1,100,2023-01-17_18-10-10-996395,637314.1935835,
637314.764214,637314.764193,1673971811.566991,3524826,52316,4,TX,1,100,2023-01-17_18-10-11-496517,637314.6937188,
637315.219329,637315.219308,1673971812.022094,3525267,52387,4,TX,1,100,2023-01-17_18-10-11-996602,637315.1938186,
637315.730173,637315.730151,1673971812.532923,3525762,52471,4,TX,1,100,2023-01-17_18-10-12-497815,637315.6950451,
637316.400978,637316.400956,1673971813.203708,3526412,52564,4,TX,1,100,2023-01-17_18-10-13-014307,637316.2115519,
637316.825133,637316.825111,1673971813.627851,3526823,52633,4,TX,1,100,2023-01-17_18-10-13-496086,637316.6933447,
