LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
637287.088870,637287.088849,1673971783.892434,3498009.000,47909,1,BV,1,100,3.84
637288.086822,637288.086801,1673971784.890357,3498976.000,48083,1,BV,1,100,3.84
637289.083741,637289.083720,1673971785.887248,3499942.000,48239,1,BV,1,100,3.84
637290.077564,637290.077543,1673971786.881043,3500905.000,48397,1,BV,1,100,3.84
637291.074483,637291.074462,1673971787.877934,3501871.000,48555,1,BV,1,100,3.84
637292.073466,637292.073445,1673971788.876889,3502839.000,48725,1,BV,1,100,3.84
637293.072450,637293.072428,1673971789.875843,3503807.000,48882,1,BV,1,100,3.84
637294.071433,637294.071412,1673971790.874798,3504775.000,49052,1,BV,1,100,3.84
637295.075576,637295.075555,1673971791.878913,3505748.000,49215,1,BV,1,100,3.84
637296.077655,637296.077634,1673971792.880964,3506719.000,49354,1,BV,1,100,3.84
637297.075606,637297.075585,1673971793.878886,3507686.000,49527,1,BV,1,100,3.84
637298.072526,637298.072504,1673971794.875777,3508652.000,49682,1,BV,1,100,3.84
637299.066349,637299.066328,1673971795.869572,3509615.000,49837,1,BV,1,100,3.84
637300.060172,637300.060151,1673971796.863367,3510578.000,50010,1,BV,1,100,3.83
637301.061219,637301.061198,1673971797.864386,3511548.000,50172,1,BV,1,100,3.83
637302.059170,637302.059149,1673971798.862309,3512515.000,50328,1,BV,1,100,3.83
637303.062282,637303.062260,1673971799.865391,3513487.000,50482,1,BV,1,100,3.83
637304.059201,637304.059179,1673971800.862282,3514453.000,50641,1,BV,1,100,3.83
637305.066440,637305.066419,1673971801.869493,3515429.000,50766,1,BV,1,100,3.83
637306.063359,637306.063338,1673971802.866384,3516395.000,50911,1,BV,1,100,3.83
637307.062342,637307.062321,1673971803.865339,3517363.000,51084,1,BV,1,100,3.84
637308.058230,637308.058208,1673971804.861197,3518328.000,51239,1,BV,1,100,3.83
637309.053085,637309.053063,1673971805.856024,3519292.000,51411,1,BV,1,100,3.83
637310.050004,637310.049983,1673971806.852915,3520258.000,51564,1,BV,1,100,3.84
637311.046923,637311.046902,1673971807.849806,3521224.000,51728,1,BV,1,100,3.84
637312.047970,637312.047949,1673971808.850825,3522194.000,51883,1,BV,1,100,3.83
637313.044890,637313.044868,1673971809.847716,3523160.000,52055,1,BV,1,100,3.83
637314.044905,637314.044883,1673971810.847703,3524129.000,52210,1,BV,1,100,3.83
637315.048016,637315.047995,1673971811.850785,3525101.000,52383,1,BV,1,100,3.83
637316.044935,637316.044914,1673971812.847676,3526067.000,52537,1,BV,1,100,3.83
637317.040822,637317.040801,1673971813.843535,3527032.000,52683,1,BV,1,100,3.83
637318.034646,637318.034624,1673971814.837330,3527995.000,52840,1,BV,1,100,3.83
637319.033629,637319.033607,1673971815.836285,3528963.000,53013,1,BV,1,100,3.83
637320.027452,637320.027430,1673971816.830080,3529926.000,53168,1,BV,1,100,3.84
637321.028499,637321.028478,1673971817.831098,3530896.000,53341,1,BV,1,100,3.83
637322.028514,637322.028493,1673971818.831085,3531865.000,53484,1,BV,1,100,3.83
637323.025434,637323.025412,1673971819.827976,3532831.000,53657,1,BV,1,100,3.83
637324.028545,637324.028523,1673971820.831059,3533803.000,53812,1,BV,1,100,3.84
637325.028560,637325.028538,1673971821.831045,3534772.000,53985,1,BV,1,100,3.84
637326.022383,637326.022362,1673971822.824840,3535735.000,54139,1,BV,1,100,3.83
637327.019302,637327.019281,1673971823.821731,3536701.000,54287,1,BV,1,100,3.83
637328.017254,637328.017232,1673971824.819654,3537668.000,54457,1,BV,1,100,3.84
637329.014173,637329.014151,1673971825.816545,3538634.000,54614,1,BV,1,100,3.83
637330.011092,637330.011070,1673971826.813436,3539600.000,54769,1,BV,1,100,3.83
637331.016267,637331.016245,1673971827.818582,3540574.000,54942,1,BV,1,100,3.83
637332.015250,637332.015229,1673971828.817537,3541542.000,55096,1,BV,1,100,3.83
637333.013202,637333.013180,1673971829.815460,3542509.000,55260,1,BV,1,100,3.83
637334.014249,637334.014227,1673971830.816479,3543479.000,55430,1,BV,1,100,3.83
637335.009104,637335.009082,1673971831.811306,3544443.000,55585,1,BV,1,100,3.83
637336.008087,637336.008065,1673971832.810261,3545411.000,55757,1,BV,1,100,3.83
637337.002942,637337.002921,1673971833.805087,3546375.000,55912,1,BV,1,100,3.83
637338.000894,637338.000872,1673971834.803010,3547342.000,56075,1,BV,1,100,3.83
637339.000909,637339.000887,1673971835.802997,3548311.000,56230,1,BV,1,100,3.83
637340.000924,637340.000902,1673971836.802984,3549280.000,56401,1,BV,1,100,3.83
637341.001971,637341.001949,1673971837.804003,3550250.000,56556,1,BV,1,100,3.83
637341.999922,637341.999900,1673971838.801925,3551217.000,56730,1,BV,1,100,3.83
637343.004066,637343.004044,1673971839.806040,3552190.000,56877,1,BV,1,100,3.83
637343.999953,637343.999931,1673971840.801899,3553155.000,57032,1,BV,1,100,3.83
637344.997904,637344.997882,1673971841.799822,3554122.000,57205,1,BV,1,100,3.83
637345.992759,637345.992737,1673971842.794649,3555086.000,57360,1,BV,1,100,3.83
637346.989678,637346.989656,1673971843.791539,3556052.000,57515,1,BV,1,100,3.83
637347.987630,637347.987608,1673971844.789462,3557019.000,57679,1,BV,1,100,3.83
637348.984549,637348.984527,1673971845.786353,3557985.000,57836,1,BV,1,100,3.83
637349.988692,637349.988670,1673971846.790468,3558958.000,57991,1,BV,1,100,3.83
637350.987675,637350.987653,1673971847.789423,3559926.000,58164,1,BV,1,100,3.83
637351.984594,637351.984572,1673971848.786314,3560892.000,58318,1,BV,1,100,3.83
637352.984610,637352.984588,1673971849.786300,3561861.000,58491,1,BV,1,100,3.83
637353.980497,637353.980475,1673971850.782159,3562826.000,58636,1,BV,1,100,3.83
637354.977416,637354.977394,1673971851.779050,3563792.000,58809,1,BV,1,100,3.83
637355.973303,637355.973281,1673971852.774909,3564757.000,58980,1,BV,1,100,3.83
637356.970222,637356.970200,1673971853.771800,3565723.000,59136,1,BV,1,100,3.83
637357.968174,637357.968151,1673971854.769722,3566690.000,59291,1,BV,1,100,3.83
637358.966125,637358.966103,1673971855.767645,3567657.000,59453,1,BV,1,100,3.83
637359.969236,637359.969214,1673971856.770728,3568629.000,59608,1,BV,1,100,3.83
637360.968219,637360.968197,1673971857.769683,3569597.000,59780,1,BV,1,100,3.83
