LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
637497.664829,637497.664805,1673971994.462407,3702054,16523,1,HR,1,100,11
637504.304765,637504.304740,1673972001.102154,3708488,17602,1,HR,1,100,11
