LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
637432.735049,637432.735025,1673971929.534472,3639138.000,5873,2,EA,1,100,0.030319
637432.799033,637432.799010,1673971929.598455,3639200.000,5890,1,EA,1,100,0.030319
637432.866114,637432.866090,1673971929.665534,3639265.000,5910,2,EA,1,100,0.030319
637432.933194,637432.933171,1673971929.732612,3639330.000,5910,2,EA,1,100,0.030319
637432.999243,637432.999219,1673971929.798659,3639394.000,5927,1,EA,1,100,0.030319
637433.064775,637433.064752,1673971929.864189,3639457.500,5943,2,EA,1,100,0.030319
637433.130307,637433.130284,1673971929.929720,3639521.000,5943,2,EA,1,100,0.030319
637433.197388,637433.197365,1673971929.996799,3639586.000,5961,1,EA,1,100,0.030319
637433.264984,637433.264961,1673971930.064393,3639651.500,5979,2,EA,1,100,0.030319
637433.332581,637433.332558,1673971930.131988,3639717.000,5979,2,EA,1,100,0.030319
637433.399661,637433.399638,1673971930.199066,3639782.000,5995,2,EA,1,100,0.030319
637433.466742,637433.466719,1673971930.266145,3639847.000,5995,2,EA,1,100,0.030319
637433.533822,637433.533799,1673971930.333223,3639912.000,6012,1,EA,1,100,0.030319
637433.600387,637433.600364,1673971930.399786,3639976.500,6029,2,EA,1,100,0.030319
637433.666951,637433.666928,1673971930.466349,3640041.000,6029,2,EA,1,100,0.030319
637433.731968,637433.731945,1673971930.531363,3640104.000,6045,1,EA,1,100,0.030319
637433.797500,637433.797477,1673971930.596894,3640167.500,6064,2,EA,1,100,0.030319
637433.863033,637433.863009,1673971930.662424,3640231.000,6064,2,EA,1,100,0.030319
637433.931145,637433.931122,1673971930.730535,3640297.000,6082,2,EA,1,100,0.030319
637433.999258,637433.999234,1673971930.798645,3640363.000,6082,2,EA,1,100,0.030319
637434.067370,637434.067347,1673971930.866756,3640429.000,6099,1,EA,1,100,0.030319
637434.135483,637434.135459,1673971930.934867,3640495.000,6116,2,EA,1,100,0.030319
637434.203595,637434.203572,1673971931.002977,3640561.000,6116,2,EA,1,100,0.030319
637434.270160,637434.270136,1673971931.069540,3640625.500,6136,2,EA,1,100,0.030319
637434.336724,637434.336701,1673971931.136102,3640690.000,6136,2,EA,1,100,0.030319
637434.402773,637434.402749,1673971931.202149,3640754.000,6151,1,EA,1,100,0.030319
637434.468305,637434.468282,1673971931.267679,3640817.500,6168,2,EA,1,100,0.030319
637434.533838,637434.533814,1673971931.333210,3640881.000,6168,2,EA,1,100,0.030319
637434.600918,637434.600895,1673971931.400289,3640946.000,6184,1,EA,1,100,0.030319
637434.668515,637434.668491,1673971931.467883,3641011.500,6201,2,EA,1,100,0.030319
637434.736111,637434.736088,1673971931.535478,3641077.000,6201,2,EA,1,100,0.030319
637434.803192,637434.803168,1673971931.602556,3641142.000,6217,1,EA,1,100,0.030319
637434.869756,637434.869733,1673971931.669119,3641206.500,6235,2,EA,1,100,0.030319
637434.936321,637434.936297,1673971931.735682,3641271.000,6235,2,EA,1,100,0.030319
637435.003401,637435.003378,1673971931.802760,3641336.000,6251,1,EA,1,100,0.030319
637435.069449,637435.069426,1673971931.868807,3641400.000,6271,2,EA,1,100,0.030319
637435.135498,637435.135475,1673971931.934853,3641464.000,6271,2,EA,1,100,0.030319
637435.201546,637435.201523,1673971932.000900,3641528.000,6288,2,EA,1,100,0.030319
637435.267595,637435.267572,1673971932.066947,3641592.000,6288,2,EA,1,100,0.030319
637435.332611,637435.332588,1673971932.131961,3641655.000,6308,1,EA,1,100,0.030319
637435.399176,637435.399153,1673971932.198524,3641719.500,6322,2,EA,1,100,0.030319
637435.465740,637435.465717,1673971932.265086,3641784.000,6322,2,EA,1,100,0.030319
637435.532821,637435.532797,1673971932.332165,3641849.000,6340,1,EA,1,100,0.030319
637435.600933,637435.600910,1673971932.400275,3641915.000,6356,2,EA,1,100,0.030319
