LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
637286.253976,637286.253955,1673971783.057564,3497200.000,47763,2,EA,1,100,0.030318
637286.253976,637286.253955,1673971783.057564,3497200.000,47763,2,EA,1,100,0.030319
637286.322089,637286.322068,1673971783.125674,3497266.000,47780,1,EA,1,100,0.030319
637286.388653,637286.388632,1673971783.192237,3497330.500,47797,2,EA,1,100,0.030319
637286.455218,637286.455197,1673971783.258800,3497395.000,47797,2,EA,1,100,0.030319
637286.522814,637286.522793,1673971783.326394,3497460.500,47814,2,EA,1,100,0.030319
637286.590411,637286.590390,1673971783.393989,3497526.000,47814,2,EA,1,100,0.030319
637286.656459,637286.656438,1673971783.460036,3497590.000,47830,1,EA,1,100,0.030319
637286.723540,637286.723519,1673971783.527114,3497655.000,47849,2,EA,1,100,0.030319
637286.790620,637286.790599,1673971783.594193,3497720.000,47849,2,EA,1,100,0.030319
637286.857701,637286.857680,1673971783.661271,3497785.000,47865,1,EA,1,100,0.030319
637286.923749,637286.923728,1673971783.727318,3497849.000,47882,2,EA,1,100,0.030319
637286.989798,637286.989777,1673971783.793365,3497913.000,47882,2,EA,1,100,0.030319
637287.055846,637287.055825,1673971783.859411,3497977.000,47898,1,EA,1,100,0.030319
637287.121895,637287.121874,1673971783.925458,3498041.000,47919,2,EA,1,100,0.030319
637287.187943,637287.187922,1673971783.991504,3498105.000,47919,2,EA,1,100,0.030319
637287.257088,637287.257067,1673971784.060647,3498172.000,47935,1,EA,1,100,0.030319
637287.324684,637287.324663,1673971784.128241,3498237.500,47952,2,EA,1,100,0.030319
637287.392281,637287.392260,1673971784.195836,3498303.000,47952,2,EA,1,100,0.030319
637287.458329,637287.458308,1673971784.261883,3498367.000,47969,2,EA,1,100,0.030319
637287.524378,637287.524357,1673971784.327929,3498431.000,47969,2,EA,1,100,0.030319
637287.589394,637287.589373,1673971784.392944,3498494.000,47986,1,EA,1,100,0.030319
637287.655442,637287.655421,1673971784.458990,3498558.000,48003,2,EA,1,100,0.030319
637287.721491,637287.721470,1673971784.525037,3498622.000,48003,2,EA,1,100,0.030319
637287.787539,637287.787518,1673971784.591084,3498686.000,48021,1,EA,1,100,0.030319
637287.854104,637287.854083,1673971784.657646,3498750.500,48037,2,EA,1,100,0.030319
637287.920668,637287.920647,1673971784.724209,3498815.000,48037,2,EA,1,100,0.030319
637287.987749,637287.987728,1673971784.791287,3498880.000,48054,1,EA,1,100,0.030319
637288.054485,637288.054464,1673971784.858022,3498944.667,48070,3,EA,1,100,0.030319
637288.121222,637288.121201,1673971784.924757,3499009.333,48070,3,EA,1,100,0.030319
637288.187958,637288.187937,1673971784.991491,3499074.000,48070,3,EA,1,100,0.030319
637288.251943,637288.251922,1673971785.055474,3499136.000,48092,1,EA,1,100,0.030319
637288.318507,637288.318486,1673971785.122036,3499200.500,48106,2,EA,1,100,0.030319
637288.385072,637288.385051,1673971785.188599,3499265.000,48106,2,EA,1,100,0.030319
637288.451120,637288.451099,1673971785.254645,3499329.000,48124,1,EA,1,100,0.030319
637288.517169,637288.517148,1673971785.320692,3499393.000,48140,2,EA,1,100,0.030319
