LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
640313.634381,640313.634372,1673974810.321861,86467.000,11935,2,EL,1,100,26470.199219
640313.634381,640313.634372,1673974810.321861,86467.000,11935,2,EL,1,100,26470.000000
640313.700940,640313.700931,1673974810.388417,86531.500,11958,2,EL,1,100,26470.000000
640313.767498,640313.767489,1673974810.454974,86596.000,11958,2,EL,1,100,26470.000000
640313.833541,640313.833532,1673974810.521014,86660.000,11976,1,EL,1,100,26470.199219
640313.900099,640313.900090,1673974810.587571,86724.500,11991,2,EL,1,100,26470.000000
640313.966658,640313.966649,1673974810.654128,86789.000,11991,2,EL,1,100,26470.000000
640314.032700,640314.032691,1673974810.720168,86853.000,12008,1,EL,1,100,26470.000000
640314.098743,640314.098734,1673974810.786209,86917.000,12025,2,EL,1,100,26470.000000
640314.164785,640314.164776,1673974810.852249,86981.000,12025,2,EL,1,100,26470.000000
640314.230828,640314.230819,1673974810.918290,87045.000,12041,2,EL,1,100,26470.000000
640314.296870,640314.296861,1673974810.984330,87109.000,12041,2,EL,1,100,26470.000000
640314.363945,640314.363936,1673974811.051403,87174.000,12059,1,EL,1,100,26470.000000
640314.429987,640314.429978,1673974811.117444,87238.000,12073,2,EL,1,100,26470.000000
640314.496030,640314.496021,1673974811.183484,87302.000,12073,2,EL,1,100,26470.000000
640314.564136,640314.564127,1673974811.251588,87368.000,12090,1,EL,1,100,26470.000000
640314.630179,640314.630170,1673974811.317629,87432.000,12107,2,EL,1,100,26470.000000
640314.696221,640314.696212,1673974811.383670,87496.000,12107,2,EL,1,100,26470.000000
640314.762264,640314.762255,1673974811.449710,87560.000,12126,2,EL,1,100,26470.000000
640314.828306,640314.828297,1673974811.515751,87624.000,12126,2,EL,1,100,26470.000000
640314.896412,640314.896403,1673974811.583855,87690.000,12142,1,EL,1,100,26470.000000
640314.961939,640314.961930,1673974811.649380,87753.500,12161,2,EL,1,100,26470.000000
640315.027466,640315.027456,1673974811.714904,87817.000,12161,2,EL,1,100,26470.000000
640315.094540,640315.094531,1673974811.781977,87882.000,12177,1,EL,1,100,26470.000000
640315.160582,640315.160573,1673974811.848017,87946.000,12194,2,EL,1,100,26470.000000
640315.226625,640315.226616,1673974811.914058,88010.000,12194,2,EL,1,100,26470.000000
640315.293699,640315.293690,1673974811.981131,88075.000,12210,1,EL,1,100,26470.000000
640315.359742,640315.359733,1673974812.047171,88139.000,12226,2,EL,1,100,26470.000000
640315.425784,640315.425775,1673974812.113212,88203.000,12226,2,EL,1,100,26470.000000
640315.491827,640315.491818,1673974812.179252,88267.000,12242,2,EL,1,100,26469.599609
640315.557869,640315.557860,1673974812.245293,88331.000,12242,2,EL,1,100,26469.599609
640315.624944,640315.624935,1673974812.312365,88396.000,12259,1,EL,1,100,26469.000000
640315.691502,640315.691493,1673974812.378922,88460.500,12278,2,EL,1,100,26469.199219
640315.758061,640315.758052,1673974812.445478,88525.000,12278,2,EL,1,100,26469.000000
640315.822039,640315.822030,1673974812.509455,88587.000,12295,1,EL,1,100,26469.400391
640315.888598,640315.888589,1673974812.576012,88651.500,12309,2,EL,1,100,26469.199219
640315.955156,640315.955147,1673974812.642568,88716.000,12309,2,EL,1,100,26469.000000
640316.023263,640316.023254,1673974812.710673,88782.000,12327,1,EL,1,100,26469.000000
640316.089305,640316.089296,1673974812.776713,88846.000,12343,2,EL,1,100,26469.199219
640316.155348,640316.155339,1673974812.842754,88910.000,12343,2,EL,1,100,26469.199219
640316.222938,640316.222929,1673974812.910342,88975.500,12360,2,EL,1,100,26469.599609
640316.290528,640316.290519,1673974812.977931,89041.000,12360,2,EL,1,100,26469.199219
640316.358635,640316.358626,1673974813.046035,89107.000,12377,1,EL,1,100,26469.199219
640316.425193,640316.425184,1673974813.112592,89171.500,12392,2,EL,1,100,26469.599609
640316.491752,640316.491743,1673974813.179148,89236.000,12392,2,EL,1,100,26469.400391
640316.558826,640316.558817,1673974813.246220,89301.000,12411,1,EL,1,100,26469.000000
640316.625385,640316.625375,1673974813.312777,89365.500,12429,2,EL,1,100,26469.400391
640316.691943,640316.691934,1673974813.379333,89430.000,12429,2,EL,1,100,26469.000000
640316.756954,640316.756944,1673974813.444342,89493.000,12447,1,EL,1,100,26469.800781
640316.822996,640316.822987,1673974813.510383,89557.000,12462,2,EL,1,100,26469.800781
640316.889039,640316.889029,1673974813.576423,89621.000,12462,2,EL,1,100,26469.400391
640316.956113,640316.956104,1673974813.643496,89686.000,12478,1,EL,1,100,26469.400391
640317.022672,640317.022662,1673974813.710052,89750.500,12496,2,EL,1,100,26469.800781
640317.089230,640317.089221,1673974813.776609,89815.000,12496,2,EL,1,100,26469.800781
640317.156820,640317.156811,1673974813.844197,89880.500,12512,2,EL,1,100,26469.800781
640317.224411,640317.224402,1673974813.911786,89946.000,12512,2,EL,1,100,26469.400391
640317.290453,640317.290444,1673974813.977826,90010.000,12529,1,EL,1,100,26469.599609
640317.357012,640317.357003,1673974814.044383,90074.500,12544,2,EL,1,100,26469.000000
640317.423570,640317.423561,1673974814.110939,90139.000,12544,2,EL,1,100,26469.199219
640317.490129,640317.490119,1673974814.177496,90203.500,12561,2,EL,1,100,26469.000000
640317.556687,640317.556678,1673974814.244052,90268.000,12561,2,EL,1,100,26469.199219
640317.622730,640317.622720,1673974814.310093,90332.000,12577,1,EL,1,100,26469.400391
640317.689804,640317.689795,1673974814.377165,90397.000,12597,2,EL,1,100,26469.000000
640317.756878,640317.756869,1673974814.444238,90462.000,12597,2,EL,1,100,26469.000000
640317.823953,640317.823944,1673974814.511310,90527.000,12613,1,EL,1,100,26469.000000
640317.890511,640317.890502,1673974814.577867,90591.500,12628,2,EL,1,100,26469.000000
640317.957070,640317.957061,1673974814.644423,90656.000,12628,2,EL,1,100,26469.000000
640318.024144,640318.024135,1673974814.711496,90721.000,12648,1,EL,1,100,26469.000000
640318.090187,640318.090177,1673974814.777536,90785.000,12665,2,EL,1,100,26469.000000
