LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL,LC,
640380.996706,640380.996693,1673974877.682223,151746,22790,4,TX,1,100,2023-01-17_19-01-17-658832,640380.9732900,
640382.479566,640382.479553,1673974879.165041,153183,23024,4,TX,1,100,2023-01-17_19-01-19-157051,640382.4715523,
640384.015055,640384.015041,1673974880.700485,154671,23282,4,TX,1,100,2023-01-17_19-01-20-656735,640383.9712805,
640385.602139,640385.602125,1673974882.287522,156209,23533,4,TX,1,100,2023-01-17_19-01-22-157538,640385.4721276,
640386.992127,640386.992113,1673974883.677470,157556,23753,4,TX,1,100,2023-01-17_19-01-23-657271,640386.9719033,
640388.490466,640388.490453,1673974885.175766,159008,23992,4,TX,1,100,2023-01-17_19-01-25-157416,640388.4720916,
640390.090965,640390.090951,1673974886.776218,160559,24244,4,TX,1,100,2023-01-17_19-01-26-671868,640389.9865886,
640391.523262,640391.523248,1673974888.208473,161947,24478,4,TX,1,100,2023-01-17_19-01-28-156942,640391.4717054,
640393.028825,640393.028811,1673974889.713992,163406,24716,4,TX,1,100,2023-01-17_19-01-29-656698,640392.9715048,
640394.585983,640394.585969,1673974891.271105,164915,24971,4,TX,1,100,2023-01-17_19-01-31-206465,640394.5213171,
640396.025503,640396.025489,1673974892.710583,166310,25208,4,TX,1,100,2023-01-17_19-01-32-657152,640395.9720467,
640397.495981,640397.495967,1673974894.181018,167735,25442,4,TX,1,100,2023-01-17_19-01-34-156079,640397.4710174,
640399.085129,640399.085115,1673974895.770120,169275,25700,4,TX,1,100,2023-01-17_19-01-35-656201,640398.9711829,
640400.510202,640400.510188,1673974897.195152,170656,25934,4,TX,1,100,2023-01-17_19-01-37-156780,640400.4718057,
640401.985840,640401.985825,1673974898.670746,172086,26171,4,TX,1,100,2023-01-17_19-01-38-656222,640401.9712913,
640403.542998,640403.542984,1673974900.227859,173595,26422,4,TX,1,100,2023-01-17_19-01-40-173200,640403.4883137,
640405.034114,640405.034099,1673974901.718932,175040,26664,4,TX,1,100,2023-01-17_19-01-41-685468,640405.0006250,
640406.507687,640406.507673,1673974903.192462,176468,26898,4,TX,1,100,2023-01-17_19-01-43-157547,640406.4727475,
640407.999835,640407.999821,1673974904.684567,177914,27135,4,TX,1,100,2023-01-17_19-01-44-673087,640407.9883309,
640409.513653,640409.513639,1673974906.198341,179381,27374,4,TX,1,100,2023-01-17_19-01-46-172557,640409.4878449,
640411.059461,640411.059446,1673974907.744103,180879,27611,4,TX,1,100,2023-01-17_19-01-47-658896,640410.9742276,
640412.604236,640412.604221,1673974909.288834,182376,27865,4,TX,1,100,2023-01-17_19-01-49-172650,640412.4880255,
640414.066459,640414.066444,1673974910.751013,183793,28099,4,TX,1,100,2023-01-17_19-01-50-672376,640413.9877944,
640415.522490,640415.522474,1673974912.207002,185204,28322,4,TX,1,100,2023-01-17_19-01-52-187109,640415.5025717,
640417.001222,640417.001207,1673974913.685692,186637,28559,4,TX,1,100,2023-01-17_19-01-53-672134,640416.9876398,
640418.573860,640418.573844,1673974915.258283,188161,28811,4,TX,1,100,2023-01-17_19-01-55-172883,640418.4884326,
640420.082518,640420.082503,1673974916.766898,189623,29037,4,TX,1,100,2023-01-17_19-01-56-720979,640420.0365731,
640421.519975,640421.519959,1673974918.204312,191016,29271,4,TX,1,100,2023-01-17_19-01-58-171938,640421.4875750,
640422.997676,640422.997660,1673974919.681970,192448,29508,4,TX,1,100,2023-01-17_19-01-59-672150,640422.9878311,
640424.615717,640424.615701,1673974921.299965,194016,29761,4,TX,1,100,2023-01-17_19-02-01-172103,640424.4878271,
640426.007769,640426.007753,1673974922.691976,195365,29984,4,TX,1,100,2023-01-17_19-02-02-671959,640425.9877268,
640427.553577,640427.553561,1673974924.237739,196863,30173,4,TX,1,100,2023-01-17_19-02-04-172022,640427.4878333,
640428.990001,640428.989985,1673974925.674121,198255,30410,4,TX,1,100,2023-01-17_19-02-05-672239,640428.9880942,
640430.498660,640430.498644,1673974927.182736,199717,30649,4,TX,1,100,2023-01-17_19-02-07-171964,640430.4878630,
640432.036212,640432.036196,1673974928.720243,201207,30902,4,TX,1,100,2023-01-17_19-02-08-673285,640431.9892275,
640433.597498,640433.597482,1673974930.281484,202720,31154,4,TX,1,100,2023-01-17_19-02-10-172238,640433.4882244,
640435.066944,640435.066927,1673974931.750887,204144,31388,4,TX,1,100,2023-01-17_19-02-11-672047,640434.9880774,
640436.564251,640436.564235,1673974933.248151,205595,31632,4,TX,1,100,2023-01-17_19-02-13-171769,640436.4878416,
640438.004803,640438.004787,1673974934.688661,206991,31865,4,TX,1,100,2023-01-17_19-02-14-672540,640437.9886569,
640439.520685,640439.520669,1673974936.204499,208460,32100,4,TX,1,100,2023-01-17_19-02-16-171022,640439.4871825,
640441.067524,640441.067508,1673974937.751293,209959,32356,4,TX,1,100,2023-01-17_19-02-17-686804,640441.0030092,
640442.629842,640442.629826,1673974939.313565,211473,32610,4,TX,1,100,2023-01-17_19-02-19-296012,640442.6122642,
640444.030150,640444.030133,1673974940.713832,212830,32828,4,TX,1,100,2023-01-17_19-02-20-688423,640444.0047153,
640445.589372,640445.589355,1673974942.273009,214341,33081,4,TX,1,100,2023-01-17_19-02-22-206357,640445.5226931,
640447.014446,640447.014429,1673974943.698041,215722,33304,4,TX,1,100,2023-01-17_19-02-23-687607,640447.0039868,
640448.548902,640448.548885,1673974945.232453,217209,33543,4,TX,1,100,2023-01-17_19-02-25-188338,640448.5047613,
640450.118444,640450.118426,1673974946.801948,218730,33792,4,TX,1,100,2023-01-17_19-02-26-737164,640450.0536320,
640451.546613,640451.546595,1673974948.230076,220114,34019,4,TX,1,100,2023-01-17_19-02-28-187243,640451.5037427,
640453.035665,640453.035647,1673974949.719085,221557,34253,4,TX,1,100,2023-01-17_19-02-29-688335,640453.0048887,
640454.585600,640454.585582,1673974951.268975,223059,34507,4,TX,1,100,2023-01-17_19-02-31-188635,640454.5052332,
640456.028216,640456.028198,1673974952.711549,224457,34741,4,TX,1,100,2023-01-17_19-02-32-687455,640456.0040961,
640457.575055,640457.575037,1673974954.258343,225956,34983,4,TX,1,100,2023-01-17_19-02-34-187787,640457.5044715,
640459.010448,640459.010430,1673974955.693694,227347,35217,4,TX,1,100,2023-01-17_19-02-35-687199,640459.0039280,
640460.511883,640460.511865,1673974957.195085,228802,35453,4,TX,1,100,2023-01-17_19-02-37-187623,640460.5043958,
640462.072137,640462.072119,1673974958.755294,230314,35695,4,TX,1,100,2023-01-17_19-02-38-672948,640461.9897633,
640463.600402,640463.600384,1673974960.283514,231795,35948,4,TX,1,100,2023-01-17_19-02-40-187078,640463.5039381,
640465.059529,640465.059510,1673974961.742598,233209,36182,4,TX,1,100,2023-01-17_19-02-41-687338,640465.0042416,
640466.557868,640466.557850,1673974963.240894,234661,36420,4,TX,1,100,2023-01-17_19-02-43-168874,640466.4858198,
640468.090260,640468.090242,1673974964.773242,236146,36657,4,TX,1,100,2023-01-17_19-02-44-687224,640468.0042152,
640469.527717,640469.527698,1673974966.210656,237539,36894,4,TX,1,100,2023-01-17_19-02-46-187162,640469.5041964,
640471.098290,640471.098272,1673974967.781184,239061,37145,4,TX,1,100,2023-01-17_19-02-47-706909,640471.0239876,
640472.633778,640472.633760,1673974969.316628,240549,37387,4,TX,1,100,2023-01-17_19-02-49-187372,640472.5044936,
640474.059884,640474.059865,1673974970.742692,241931,37621,4,TX,1,100,2023-01-17_19-02-50-686762,640474.0039270,
640475.580925,640475.580907,1673974972.263689,243405,37858,4,TX,1,100,2023-01-17_19-02-52-238141,640475.5553515,
640477.020446,640477.020427,1673974973.703167,244800,38093,4,TX,1,100,2023-01-17_19-02-53-687094,640477.0043456,
640478.538391,640478.538372,1673974975.221069,246271,38336,4,TX,1,100,2023-01-17_19-02-55-187449,640478.5047448,
640480.096582,640480.096563,1673974976.779213,247781,38586,4,TX,1,100,2023-01-17_19-02-56-687137,640480.0044764,
640481.646517,640481.646498,1673974978.329103,249283,38838,4,TX,1,100,2023-01-17_19-02-58-186976,640481.5043596,
640483.141760,640483.141741,1673974979.824304,250732,39062,4,TX,1,100,2023-01-17_19-02-59-686893,640483.0043202,
640484.513174,640484.513155,1673974981.195678,252061,39285,4,TX,1,100,2023-01-17_19-03-01-186743,640484.5042137,
640486.017705,640486.017686,1673974982.700165,253519,39519,4,TX,1,100,2023-01-17_19-03-02-686581,640486.0040957,
640487.551130,640487.551110,1673974984.233544,255005,39772,4,TX,1,100,2023-01-17_19-03-04-187634,640487.5051918,
640489.289905,640489.289885,1673974985.972269,256690,40045,4,TX,1,100,2023-01-17_19-03-05-686213,640489.0038148,
640490.556064,640490.556044,1673974987.238391,257917,40248,4,TX,1,100,2023-01-17_19-03-07-186649,640490.5042941,
640492.031701,640492.031681,1673974988.713985,259347,40482,4,TX,1,100,2023-01-17_19-03-08-688380,640492.0060690,
640493.522817,640493.522797,1673974990.205058,260792,40719,4,TX,1,100,2023-01-17_19-03-10-186155,640493.5038875,
640495.029411,640495.029391,1673974991.711608,262252,40960,4,TX,1,100,2023-01-17_19-03-11-686363,640495.0041389,
640496.603081,640496.603060,1673974993.285232,263777,41212,4,TX,1,100,2023-01-17_19-03-13-200377,640496.5181979,
640498.102452,640498.102432,1673974994.784559,265230,41447,4,TX,1,100,2023-01-17_19-03-14-686021,640498.0038844,
640499.640004,640499.639984,1673974996.322067,266720,41689,4,TX,1,100,2023-01-17_19-03-16-186940,640499.5048474,
640501.080556,640501.080536,1673974997.762577,268116,41923,4,TX,1,100,2023-01-17_19-03-17-735642,640501.0535947,
640502.634619,640502.634598,1673974999.316594,269622,42177,4,TX,1,100,2023-01-17_19-03-19-186015,640502.5040097,
640504.021511,640504.021491,1673975000.703447,270966,42394,4,TX,1,100,2023-01-17_19-03-20-686067,640504.0041058,
640505.578670,640505.578649,1673975002.260560,272475,42638,4,TX,1,100,2023-01-17_19-03-22-185544,640505.5036252,
640507.028509,640507.028489,1673975003.710357,273880,42872,4,TX,1,100,2023-01-17_19-03-23-686056,640507.0041820,
640508.587732,640508.587711,1673975005.269534,275391,43126,4,TX,1,100,2023-01-17_19-03-25-186151,640508.5043194,
640510.104645,640510.104624,1673975006.786403,276861,43366,4,TX,1,100,2023-01-17_19-03-26-685683,640510.0038957,
640511.557580,640511.557559,1673975008.239296,278269,43602,4,TX,1,100,2023-01-17_19-03-28-185592,640511.5038488,
640513.045601,640513.045580,1673975009.727273,279711,43836,4,TX,1,100,2023-01-17_19-03-29-686519,640513.0048195,
640514.595536,640514.595515,1673975011.277163,281213,44089,4,TX,1,100,2023-01-17_19-03-31-185629,640514.5039727,
640516.124833,640516.124811,1673975012.806415,282695,44327,4,TX,1,100,2023-01-17_19-03-32-719110,640516.0374985,
640517.590151,640517.590129,1673975014.271691,284115,44563,4,TX,1,100,2023-01-17_19-03-34-202936,640517.5213676,
640519.129767,640519.129745,1673975015.811262,285607,44815,4,TX,1,100,2023-01-17_19-03-35-718509,640519.0369852,
640520.661127,640520.661106,1673975017.342578,287091,45056,4,TX,1,100,2023-01-17_19-03-37-218947,640520.5374663,
640522.082073,640522.082051,1673975018.763482,288468,45275,4,TX,1,100,2023-01-17_19-03-38-700533,640522.0190952,
640523.615497,640523.615476,1673975020.296862,289954,45529,4,TX,1,100,2023-01-17_19-03-40-218642,640523.5372486,
640525.083911,640525.083889,1673975021.765233,291377,45764,4,TX,1,100,2023-01-17_19-03-41-719038,640525.0376880,
640526.640038,640526.640016,1673975023.321314,292885,46005,4,TX,1,100,2023-01-17_19-03-43-233724,640526.5524186,
640528.090909,640528.090887,1673975024.772143,294291,46240,4,TX,1,100,2023-01-17_19-03-44-718822,640528.0375594,
640529.560355,640529.560333,1673975026.241546,295715,46476,4,TX,1,100,2023-01-17_19-03-46-218545,640529.5373260,
640531.108226,640531.108204,1673975027.789372,297215,46718,4,TX,1,100,2023-01-17_19-03-47-765252,640531.0840781,
640532.607597,640532.607575,1673975029.288700,298668,46954,4,TX,1,100,2023-01-17_19-03-49-218042,640532.5369110,
640534.343277,640534.343255,1673975031.024329,300350,47236,4,TX,1,100,2023-01-17_19-03-50-718390,640534.0373018,
640535.596021,640535.595998,1673975032.277036,301564,47441,4,TX,1,100,2023-01-17_19-03-52-201544,640535.5204991,
640537.118094,640537.118072,1673975033.799065,303039,47664,4,TX,1,100,2023-01-17_19-03-53-717921,640537.0369205,
640538.557614,640538.557592,1673975035.238544,304434,47900,4,TX,1,100,2023-01-17_19-03-55-200941,640538.5199831,
