LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
640313.531190,640313.531181,1673974810.218673,86367.000,11915,4,EM,1,100,RS
640313.531190,640313.531181,1673974810.218673,86367.000,11915,4,EM,1,100,RB
640313.531190,640313.531181,1673974810.218673,86367.000,11915,4,EM,1,100,2023-01-17_19-00-10-012586.csv
640313.531190,640313.531181,1673974810.218673,86367.000,11915,4,EM,1,100,PS
640313.593879,640313.593870,1673974810.281359,86427.750,11952,4,EM,1,100,RS
640313.656568,640313.656559,1673974810.344046,86488.500,11952,4,EM,1,100,RB
640313.719256,640313.719247,1673974810.406733,86549.250,11952,4,EM,1,100,2023-01-17_19-00-10-012586.csv
640313.781945,640313.781936,1673974810.469420,86610.000,11952,4,EM,1,100,PS
640313.833799,640313.833790,1673974810.521272,86660.250,11986,4,EM,1,100,RS
640313.885653,640313.885644,1673974810.573125,86710.500,11986,4,EM,1,100,RB
640313.937506,640313.937497,1673974810.624977,86760.750,11986,4,EM,1,100,2023-01-17_19-00-10-012586.csv
640313.989360,640313.989351,1673974810.676829,86811.000,11986,4,EM,1,100,PS
640314.041214,640314.041205,1673974810.728681,86861.250,12020,4,EM,1,100,RS
640314.093067,640314.093058,1673974810.780533,86911.500,12020,4,EM,1,100,RB
640314.144921,640314.144912,1673974810.832386,86961.750,12020,4,EM,1,100,2023-01-17_19-00-10-012586.csv
640314.196775,640314.196766,1673974810.884238,87012.000,12020,4,EM,1,100,PS
640314.248628,640314.248619,1673974810.936090,87062.250,12053,4,EM,1,100,RS
640314.300482,640314.300473,1673974810.987942,87112.500,12053,4,EM,1,100,RB
640314.352336,640314.352327,1673974811.039794,87162.750,12053,4,EM,1,100,2023-01-17_19-00-10-012586.csv
640314.404189,640314.404180,1673974811.091646,87213.000,12053,4,EM,1,100,PS
640314.456817,640314.456808,1673974811.144273,87264.000,12085,4,EM,1,100,RS
640314.509445,640314.509436,1673974811.196899,87315.000,12085,4,EM,1,100,RB
640314.562072,640314.562063,1673974811.249525,87366.000,12085,4,EM,1,100,2023-01-17_19-00-10-012586.csv
640314.614700,640314.614691,1673974811.302151,87417.000,12085,4,EM,1,100,PS
640314.666554,640314.666544,1673974811.354003,87467.250,12121,4,EM,1,100,RS
640314.718407,640314.718398,1673974811.405855,87517.500,12121,4,EM,1,100,RB
640314.770261,640314.770252,1673974811.457707,87567.750,12121,4,EM,1,100,2023-01-17_19-00-10-012586.csv
640314.822115,640314.822106,1673974811.509559,87618.000,12121,4,EM,1,100,PS
640314.873968,640314.873959,1673974811.561412,87668.250,12155,4,EM,1,100,RS
640314.925822,640314.925813,1673974811.613264,87718.500,12155,4,EM,1,100,RB
640314.977676,640314.977667,1673974811.665116,87768.750,12155,4,EM,1,100,2023-01-17_19-00-10-012586.csv
640315.029529,640315.029520,1673974811.716968,87819.000,12155,4,EM,1,100,PS
640315.081383,640315.081374,1673974811.768820,87869.250,12189,4,EM,1,100,RS
640315.133237,640315.133228,1673974811.820673,87919.500,12189,4,EM,1,100,RB
640315.185090,640315.185081,1673974811.872525,87969.750,12189,4,EM,1,100,2023-01-17_19-00-10-012586.csv
640315.236944,640315.236935,1673974811.924377,88020.000,12189,4,EM,1,100,PS
640315.288798,640315.288789,1673974811.976229,88070.250,12220,4,EM,1,100,RS
640315.340651,640315.340642,1673974812.028081,88120.500,12220,4,EM,1,100,RB
640315.392505,640315.392496,1673974812.079933,88170.750,12220,4,EM,1,100,2023-01-17_19-00-10-012586.csv
640315.444359,640315.444350,1673974812.131786,88221.000,12220,4,EM,1,100,PS
640315.496471,640315.496461,1673974812.183896,88271.500,12254,4,EM,1,100,RS
640315.548582,640315.548573,1673974812.236006,88322.000,12254,4,EM,1,100,RB
640315.600694,640315.600685,1673974812.288116,88372.500,12254,4,EM,1,100,2023-01-17_19-00-10-012586.csv
640315.652806,640315.652796,1673974812.340226,88423.000,12254,4,EM,1,100,PS
640315.704401,640315.704392,1673974812.391820,88473.000,12290,4,EM,1,100,RS
640315.755997,640315.755988,1673974812.443415,88523.000,12290,4,EM,1,100,RB
640315.807593,640315.807584,1673974812.495009,88573.000,12290,4,EM,1,100,2023-01-17_19-00-10-012586.csv
640315.859188,640315.859179,1673974812.546603,88623.000,12290,4,EM,1,100,PS
640315.911042,640315.911033,1673974812.598455,88673.250,12321,4,EM,1,100,RS
640315.962896,640315.962887,1673974812.650307,88723.500,12321,4,EM,1,100,RB
640316.014749,640316.014740,1673974812.702160,88773.750,12321,4,EM,1,100,2023-01-17_19-00-10-012586.csv
640316.066603,640316.066594,1673974812.754012,88824.000,12321,4,EM,1,100,PS
640316.118457,640316.118448,1673974812.805864,88874.250,12355,4,EM,1,100,RS
640316.170310,640316.170301,1673974812.857716,88924.500,12355,4,EM,1,100,RB
640316.222164,640316.222155,1673974812.909568,88974.750,12355,4,EM,1,100,2023-01-17_19-00-10-012586.csv
640316.274018,640316.274009,1673974812.961421,89025.000,12355,4,EM,1,100,PS
640316.325872,640316.325862,1673974813.013273,89075.250,12387,4,EM,1,100,RS
640316.377725,640316.377716,1673974813.065125,89125.500,12387,4,EM,1,100,RB
640316.429579,640316.429570,1673974813.116977,89175.750,12387,4,EM,1,100,2023-01-17_19-00-10-012586.csv
640316.481433,640316.481423,1673974813.168829,89226.000,12387,4,EM,1,100,PS
640316.533286,640316.533277,1673974813.220681,89276.250,12423,4,EM,1,100,RS
640316.585140,640316.585131,1673974813.272533,89326.500,12423,4,EM,1,100,RB
640316.636994,640316.636984,1673974813.324386,89376.750,12423,4,EM,1,100,2023-01-17_19-00-10-012586.csv
640316.688847,640316.688838,1673974813.376238,89427.000,12423,4,EM,1,100,PS
640316.740701,640316.740692,1673974813.428090,89477.250,12457,4,EM,1,100,RS
640316.792555,640316.792546,1673974813.479942,89527.500,12457,4,EM,1,100,RB
640316.844408,640316.844399,1673974813.531794,89577.750,12457,4,EM,1,100,2023-01-17_19-00-10-012586.csv
640316.896262,640316.896253,1673974813.583647,89628.000,12457,4,EM,1,100,PS
640316.948116,640316.948107,1673974813.635499,89678.250,12490,4,EM,1,100,RS
640316.999969,640316.999960,1673974813.687351,89728.500,12490,4,EM,1,100,RB
640317.051823,640317.051814,1673974813.739203,89778.750,12490,4,EM,1,100,2023-01-17_19-00-10-012586.csv
640317.103677,640317.103668,1673974813.791055,89829.000,12490,4,EM,1,100,PS
640317.155531,640317.155521,1673974813.842907,89879.250,12524,4,EM,1,100,RS
640317.207384,640317.207375,1673974813.894760,89929.500,12524,4,EM,1,100,RB
640317.259238,640317.259229,1673974813.946612,89979.750,12524,4,EM,1,100,2023-01-17_19-00-10-012586.csv
640317.311092,640317.311082,1673974813.998464,90030.000,12524,4,EM,1,100,PS
640317.362945,640317.362936,1673974814.050316,90080.250,12556,4,EM,1,100,RS
