LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
640313.532222,640313.532213,1673974810.219704,86368.000,11916,1,PI,1,100,4801
640313.569887,640313.569878,1673974810.257368,86404.500,11931,2,PI,1,100,4800
640313.607552,640313.607543,1673974810.295032,86441.000,11931,2,PI,1,100,4800
640313.647538,640313.647529,1673974810.335017,86479.750,11954,4,PI,1,100,4798
640313.687525,640313.687516,1673974810.375003,86518.500,11954,4,PI,1,100,4803
640313.727512,640313.727503,1673974810.414989,86557.250,11954,4,PI,1,100,4795
640313.767498,640313.767489,1673974810.454974,86596.000,11954,4,PI,1,100,4792
640313.807399,640313.807390,1673974810.494874,86634.667,11972,3,PI,1,100,4796
640313.847300,640313.847291,1673974810.534773,86673.333,11972,3,PI,1,100,4804
640313.887200,640313.887191,1673974810.574672,86712.000,11972,3,PI,1,100,4799
640313.926929,640313.926920,1673974810.614400,86750.500,11987,2,PI,1,100,4794
640313.966658,640313.966649,1673974810.654128,86789.000,11987,2,PI,1,100,4795
640314.006215,640314.006205,1673974810.693683,86827.333,12004,3,PI,1,100,4798
640314.045771,640314.045762,1673974810.733239,86865.667,12004,3,PI,1,100,4795
640314.085328,640314.085319,1673974810.772794,86904.000,12004,3,PI,1,100,4793
640314.125057,640314.125048,1673974810.812522,86942.500,12021,2,PI,1,100,4808
640314.164785,640314.164776,1673974810.852249,86981.000,12021,2,PI,1,100,4796
640314.204686,640314.204677,1673974810.892149,87019.667,12037,3,PI,1,100,4791
640314.244587,640314.244578,1673974810.932048,87058.333,12037,3,PI,1,100,4792
640314.284487,640314.284478,1673974810.971948,87097.000,12037,3,PI,1,100,4799
640314.324388,640314.324379,1673974811.011847,87135.667,12055,3,PI,1,100,4798
640314.364289,640314.364280,1673974811.051747,87174.333,12055,3,PI,1,100,4797
640314.404189,640314.404180,1673974811.091646,87213.000,12055,3,PI,1,100,4794
640314.443918,640314.443909,1673974811.131374,87251.500,12069,2,PI,1,100,4793
640314.483647,640314.483638,1673974811.171102,87290.000,12069,2,PI,1,100,4793
640314.523547,640314.523538,1673974811.211001,87328.667,12086,3,PI,1,100,4797
640314.563448,640314.563439,1673974811.250901,87367.333,12086,3,PI,1,100,4798
640314.603349,640314.603340,1673974811.290800,87406.000,12086,3,PI,1,100,4803
640314.642562,640314.642552,1673974811.330012,87444.000,12103,3,PI,1,100,4791
640314.681774,640314.681765,1673974811.369223,87482.000,12103,3,PI,1,100,4797
640314.720987,640314.720978,1673974811.408435,87520.000,12103,3,PI,1,100,4794
640314.760716,640314.760707,1673974811.448162,87558.500,12122,2,PI,1,100,4791
640314.800444,640314.800435,1673974811.487890,87597.000,12122,2,PI,1,100,4804
640314.845505,640314.845496,1673974811.532949,87640.667,12138,3,PI,1,100,4801
640314.890565,640314.890556,1673974811.578008,87684.333,12138,3,PI,1,100,4799
640314.935625,640314.935616,1673974811.623067,87728.000,12138,3,PI,1,100,4799
640314.974838,640314.974829,1673974811.662278,87766.000,12157,2,PI,1,100,4800
640315.014051,640315.014042,1673974811.701490,87804.000,12157,2,PI,1,100,4794
640315.053951,640315.053942,1673974811.741390,87842.667,12173,3,PI,1,100,4798
640315.093852,640315.093843,1673974811.781289,87881.333,12173,3,PI,1,100,4795
640315.133753,640315.133744,1673974811.821188,87920.000,12173,3,PI,1,100,4796
640315.173997,640315.173988,1673974811.861432,87959.000,12190,2,PI,1,100,4795
640315.214242,640315.214233,1673974811.901675,87998.000,12190,2,PI,1,100,4790
640315.254143,640315.254134,1673974811.941575,88036.667,12206,3,PI,1,100,4797
640315.294043,640315.294034,1673974811.981474,88075.333,12206,3,PI,1,100,4797
640315.333944,640315.333935,1673974812.021374,88114.000,12206,3,PI,1,100,4801
640315.373845,640315.373836,1673974812.061274,88152.667,12222,3,PI,1,100,4796
640315.413745,640315.413736,1673974812.101173,88191.333,12222,3,PI,1,100,4798
640315.453646,640315.453637,1673974812.141073,88230.000,12222,3,PI,1,100,4795
640315.492859,640315.492850,1673974812.180284,88268.000,12238,2,PI,1,100,4789
640315.532072,640315.532062,1673974812.219496,88306.000,12238,2,PI,1,100,4788
640315.571628,640315.571619,1673974812.259051,88344.333,12255,3,PI,1,100,4811
640315.611185,640315.611176,1673974812.298607,88382.667,12255,3,PI,1,100,4800
640315.650742,640315.650733,1673974812.338162,88421.000,12255,3,PI,1,100,4798
640315.690298,640315.690289,1673974812.377718,88459.333,12274,3,PI,1,100,4798
640315.729855,640315.729846,1673974812.417274,88497.667,12274,3,PI,1,100,4802
640315.769412,640315.769403,1673974812.456829,88536.000,12274,3,PI,1,100,4801
640315.809656,640315.809647,1673974812.497073,88575.000,12291,2,PI,1,100,4797
640315.849901,640315.849892,1673974812.537316,88614.000,12291,2,PI,1,100,4796
640315.889802,640315.889793,1673974812.577216,88652.667,12305,3,PI,1,100,4813
640315.929702,640315.929693,1673974812.617115,88691.333,12305,3,PI,1,100,4797
640315.969603,640315.969594,1673974812.657015,88730.000,12305,3,PI,1,100,4799
640316.009332,640316.009323,1673974812.696742,88768.500,12323,2,PI,1,100,4794
640316.049061,640316.049051,1673974812.736470,88807.000,12323,2,PI,1,100,4803
640316.088617,640316.088608,1673974812.776025,88845.333,12339,3,PI,1,100,4802
640316.128174,640316.128165,1673974812.815581,88883.667,12339,3,PI,1,100,4798
640316.167731,640316.167722,1673974812.855136,88922.000,12339,3,PI,1,100,4802
640316.208663,640316.208654,1673974812.896068,88961.667,12356,3,PI,1,100,4798
640316.249596,640316.249587,1673974812.936999,89001.333,12356,3,PI,1,100,4795
640316.290528,640316.290519,1673974812.977931,89041.000,12356,3,PI,1,100,4809
640316.331289,640316.331280,1673974813.018690,89080.500,12373,2,PI,1,100,4803
640316.372050,640316.372041,1673974813.059449,89120.000,12373,2,PI,1,100,4795
640316.411950,640316.411941,1673974813.099349,89158.667,12388,3,PI,1,100,4798
640316.451851,640316.451842,1673974813.139248,89197.333,12388,3,PI,1,100,4800
640316.491752,640316.491743,1673974813.179148,89236.000,12388,3,PI,1,100,4791
640316.531480,640316.531471,1673974813.218875,89274.500,12407,2,PI,1,100,4788
640316.571209,640316.571200,1673974813.258603,89313.000,12407,2,PI,1,100,4815
640316.615581,640316.615572,1673974813.302974,89356.000,12425,3,PI,1,100,4799
640316.659954,640316.659945,1673974813.347345,89399.000,12425,3,PI,1,100,4797
640316.704326,640316.704317,1673974813.391716,89442.000,12425,3,PI,1,100,4788
640316.744571,640316.744562,1673974813.431960,89481.000,12443,2,PI,1,100,4804
640316.784815,640316.784806,1673974813.472203,89520.000,12443,2,PI,1,100,4797
640316.824372,640316.824363,1673974813.511759,89558.333,12458,3,PI,1,100,4798
640316.863929,640316.863920,1673974813.551314,89596.667,12458,3,PI,1,100,4797
640316.903485,640316.903476,1673974813.590870,89635.000,12458,3,PI,1,100,4803
640316.942698,640316.942689,1673974813.630081,89673.000,12474,2,PI,1,100,4794
640316.981911,640316.981902,1673974813.669293,89711.000,12474,2,PI,1,100,4793
640317.021812,640317.021802,1673974813.709193,89749.667,12492,3,PI,1,100,4803
640317.061712,640317.061703,1673974813.749092,89788.333,12492,3,PI,1,100,4802
640317.101613,640317.101604,1673974813.788991,89827.000,12492,3,PI,1,100,4793
640317.142546,640317.142536,1673974813.829923,89866.667,12508,3,PI,1,100,4797
640317.183478,640317.183469,1673974813.870854,89906.333,12508,3,PI,1,100,4803
640317.224411,640317.224402,1673974813.911786,89946.000,12508,3,PI,1,100,4795
640317.264139,640317.264130,1673974813.951513,89984.500,12525,2,PI,1,100,4790
640317.303868,640317.303859,1673974813.991241,90023.000,12525,2,PI,1,100,4794
640317.343769,640317.343760,1673974814.031140,90061.667,12540,3,PI,1,100,4811
