LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
640313.532222,640313.532213,1673974810.219704,86368.000,11918,1,PG,1,100,842
640313.569887,640313.569878,1673974810.257368,86404.500,11933,2,PG,1,100,842
640313.607552,640313.607543,1673974810.295032,86441.000,11933,2,PG,1,100,839
640313.647538,640313.647529,1673974810.335017,86479.750,11956,4,PG,1,100,839
640313.687525,640313.687516,1673974810.375003,86518.500,11956,4,PG,1,100,853
640313.727512,640313.727503,1673974810.414989,86557.250,11956,4,PG,1,100,836
640313.767498,640313.767489,1673974810.454974,86596.000,11956,4,PG,1,100,841
640313.807399,640313.807390,1673974810.494874,86634.667,11974,3,PG,1,100,838
640313.847300,640313.847291,1673974810.534773,86673.333,11974,3,PG,1,100,843
640313.887200,640313.887191,1673974810.574672,86712.000,11974,3,PG,1,100,841
640313.926929,640313.926920,1673974810.614400,86750.500,11989,2,PG,1,100,837
640313.966658,640313.966649,1673974810.654128,86789.000,11989,2,PG,1,100,838
640314.006215,640314.006205,1673974810.693683,86827.333,12006,3,PG,1,100,834
640314.045771,640314.045762,1673974810.733239,86865.667,12006,3,PG,1,100,840
640314.085328,640314.085319,1673974810.772794,86904.000,12006,3,PG,1,100,836
640314.125057,640314.125048,1673974810.812522,86942.500,12023,2,PG,1,100,839
640314.164785,640314.164776,1673974810.852249,86981.000,12023,2,PG,1,100,834
640314.204686,640314.204677,1673974810.892149,87019.667,12039,3,PG,1,100,843
640314.244587,640314.244578,1673974810.932048,87058.333,12039,3,PG,1,100,844
640314.284487,640314.284478,1673974810.971948,87097.000,12039,3,PG,1,100,839
640314.324388,640314.324379,1673974811.011847,87135.667,12057,3,PG,1,100,827
640314.364289,640314.364280,1673974811.051747,87174.333,12057,3,PG,1,100,847
640314.404189,640314.404180,1673974811.091646,87213.000,12057,3,PG,1,100,839
640314.443918,640314.443909,1673974811.131374,87251.500,12071,2,PG,1,100,837
640314.483647,640314.483638,1673974811.171102,87290.000,12071,2,PG,1,100,838
640314.523547,640314.523538,1673974811.211001,87328.667,12088,3,PG,1,100,842
640314.563448,640314.563439,1673974811.250901,87367.333,12088,3,PG,1,100,836
640314.603349,640314.603340,1673974811.290800,87406.000,12088,3,PG,1,100,838
