LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,LC,LM,
640313.604456,640313.604447,1673974810.291936,86438,11929,4,TX,1,100,640313.4290174,640313.4290264,
640314.999604,640314.999595,1673974811.687044,87790,12153,4,TX,1,100,640314.9289434,640314.9289524,
640316.567081,640316.567072,1673974813.254476,89309,12405,4,TX,1,100,640316.4299564,640316.4299765,
640318.077804,640318.077795,1673974814.765154,90773,12641,4,TX,1,100,640317.9306889,640317.9307092,
640319.470888,640319.470879,1673974816.158197,92123,12865,4,TX,1,100,640319.4309959,640319.4310086,
640321.050748,640321.050739,1673974817.738012,93654,13117,4,TX,1,100,640320.9319645,640320.9319773,
640322.485109,640322.485100,1673974819.172331,95044,13352,4,TX,1,100,640322.4328800,640322.4329153,
640324.041236,640324.041226,1673974820.728412,96552,13604,4,TX,1,100,640323.9332997,640323.9333185,
640325.468373,640325.468363,1673974822.155508,97935,13830,4,TX,1,100,640325.4342828,640325.4343025,
640326.992510,640326.992500,1673974823.679601,99412,14080,4,TX,1,100,640326.9352484,640326.9352681,
640328.565147,640328.565137,1673974825.252192,100936,14332,4,TX,1,100,640328.4361777,640328.4361979,
640329.973710,640329.973700,1673974826.660714,102301,14557,4,TX,1,100,640329.9365046,640329.9365257,
640331.513326,640331.513316,1673974828.200285,103793,14808,4,TX,1,100,640331.4371157,640331.4371261,
640332.968325,640332.968315,1673974829.655241,105203,15044,4,TX,1,100,640332.9372530,640332.9372634,
640334.470792,640334.470782,1673974831.157665,106659,15279,4,TX,1,100,640334.4372987,640334.4373250,
640336.016599,640336.016589,1673974832.703427,108157,15536,4,TX,1,100,640335.9382494,640335.9382619,
640337.525258,640337.525248,1673974834.212042,109619,15772,4,TX,1,100,640337.4391147,640337.4391330,
640338.997799,640338.997789,1673974835.684540,111046,16008,4,TX,1,100,640338.9400636,640338.9400819,
640340.562181,640340.562171,1673974837.248877,112562,16264,4,TX,1,100,640340.4405796,640340.4405929,
640342.032659,640342.032648,1673974838.719311,113987,16500,4,TX,1,100,640341.9410872,640341.9411161,
640343.601169,640343.601158,1673974840.287775,115507,16751,4,TX,1,100,640343.4413454,640343.4413421,
640345.032433,640345.032423,1673974841.718999,116894,16987,4,TX,1,100,640344.9413793,640344.9413760,
640346.533869,640346.533858,1673974843.220390,118349,17227,4,TX,1,100,640346.4420346,640346.4420681,
640347.985772,640347.985761,1673974844.672251,119756,17463,4,TX,1,100,640347.9423854,640347.9424283,
640349.542930,640349.542919,1673974846.229364,121265,17715,4,TX,1,100,640349.4424367,640349.4424544,
640350.969036,640350.969024,1673974847.655428,122647,17940,4,TX,1,100,640350.9430513,640350.9430690,
640352.507620,640352.507608,1673974849.193967,124138,18191,4,TX,1,100,640352.4433745,640352.4433969,
640353.965714,640353.965703,1673974850.652019,125551,18427,4,TX,1,100,640353.9443418,640353.9443619,
640355.470245,640355.470234,1673974852.156506,127009,18662,4,TX,1,100,640355.4452341,640355.4452634,
640357.026372,640357.026360,1673974853.712588,128517,18920,4,TX,1,100,640356.9459939,640356.9460231,
640358.523679,640358.523667,1673974855.209851,129968,19154,4,TX,1,100,640358.4463932,640358.4464128,
640359.980742,640359.980730,1673974856.666872,131380,19390,4,TX,1,100,640359.9473052,640359.9473494,
640361.525517,640361.525506,1673974858.211602,132877,19647,4,TX,1,100,640361.4482293,640361.4482387,
640363.025921,640363.025909,1673974859.711962,134331,19883,4,TX,1,100,640362.9483976,640362.9484070,
640364.501558,640364.501546,1673974861.187556,135761,20118,4,TX,1,100,640364.4487491,640364.4487696,
