LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
640313.754083,640313.754074,1673974810.441560,86583.000,11948,2,AK,1,100,11122
640313.754083,640313.754074,1673974810.441560,86583.000,11948,2,AK,1,100,RD
640313.767498,640313.767489,1673974810.454974,86596.000,11951,2,AK,1,100,11949
640313.780913,640313.780904,1673974810.468388,86609.000,11951,2,AK,1,100,RD
640316.398364,640316.398354,1673974813.085763,89145.500,12794,2,AK,1,100,11949
640319.015814,640319.015804,1673974815.703136,91682.000,12794,2,AK,1,100,RD
640319.028713,640319.028703,1673974815.716035,91694.500,12797,2,AK,1,100,12795
640319.041612,640319.041602,1673974815.728934,91707.000,12797,2,AK,1,100,RD
640321.664221,640321.664212,1673974818.351467,94248.500,13642,2,AK,1,100,12795
640324.286831,640324.286822,1673974820.974000,96790.000,13642,2,AK,1,100,RD
640324.300246,640324.300237,1673974820.987415,96803.000,13645,2,AK,1,100,13643
640324.313661,640324.313651,1673974821.000829,96816.000,13645,2,AK,1,100,RD
640326.953813,640326.953804,1673974823.640905,99374.500,14501,2,AK,1,100,13643
640329.593966,640329.593956,1673974826.280980,101933.000,14501,2,AK,1,100,RD
640329.607897,640329.607887,1673974826.294911,101946.500,14504,2,AK,1,100,14502
640329.621827,640329.621817,1673974826.308841,101960.000,14504,2,AK,1,100,RD
640332.243405,640332.243395,1673974828.930343,104500.500,15351,2,AK,1,100,14502
640334.864983,640334.864973,1673974831.551844,107041.000,15351,2,AK,1,100,RD
640334.878398,640334.878388,1673974831.565259,107054.000,15354,2,AK,1,100,15352
640334.891813,640334.891803,1673974831.578673,107067.000,15354,2,AK,1,100,RD
640337.515455,640337.515444,1673974834.202239,109609.500,16194,2,AK,1,100,15352
640340.139097,640340.139086,1673974836.825804,112152.000,16194,2,AK,1,100,RD
640340.151995,640340.151985,1673974836.838703,112164.500,16197,2,AK,1,100,16195
640340.164894,640340.164884,1673974836.851601,112177.000,16197,2,AK,1,100,RD
640342.813302,640342.813291,1673974839.499932,114743.500,17056,2,AK,1,100,16195
640345.461710,640345.461699,1673974842.148262,117310.000,17056,2,AK,1,100,RD
640345.486992,640345.486981,1673974842.173543,117334.500,17059,2,AK,1,100,17057
640345.512274,640345.512263,1673974842.198825,117359.000,17059,2,AK,1,100,RD
640348.118373,640348.118362,1673974844.804848,119884.500,17904,2,AK,1,100,17057
640350.724472,640350.724461,1673974847.410871,122410.000,17904,2,AK,1,100,RD
640350.736855,640350.736844,1673974847.423254,122422.000,17907,2,AK,1,100,17905
640350.749238,640350.749227,1673974847.435637,122434.000,17907,2,AK,1,100,RD
640353.371848,640353.371836,1673974850.058170,124975.500,18749,2,AK,1,100,17905
640355.994458,640355.994446,1673974852.680703,127517.000,18749,2,AK,1,100,RD
640356.006841,640356.006829,1673974852.693086,127529.000,18752,2,AK,1,100,18750
640356.019224,640356.019212,1673974852.705469,127541.000,18752,2,AK,1,100,RD
