LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,LR,LM,LC,LD,
640313.593105,640313.593096,1673974810.280586,86427,11928,8,LM,1,100,640313.4290174,640313.4290264,640313.4726600,sync_event,
640314.990317,640314.990308,1673974811.677757,87781,12152,8,LM,1,100,640314.9289434,640314.9289524,640314.9519172,sync_event,
640316.554698,640316.554689,1673974813.242093,89297,12404,8,LM,1,100,640316.4299564,640316.4299765,640316.4517956,sync_event,
640318.067485,640318.067475,1673974814.754835,90763,12640,8,LM,1,100,640317.9306889,640317.9307092,640318.0011751,sync_event,
640319.459537,640319.459527,1673974816.146847,92112,12864,8,LM,1,100,640319.4309959,640319.4310086,640319.4516942,sync_event,
640321.039397,640321.039388,1673974817.726661,93643,13116,8,LM,1,100,640320.9319645,640320.9319773,640320.9515686,sync_event,
640322.474790,640322.474780,1673974819.162012,95034,13351,8,LM,1,100,640322.4328800,640322.4329153,640322.4516139,sync_event,
640324.030917,640324.030907,1673974820.718093,96542,13603,8,LM,1,100,640323.9332997,640323.9333185,640323.9515482,sync_event,
640325.457022,640325.457012,1673974822.144157,97924,13829,8,LM,1,100,640325.4342828,640325.4343025,640325.4517396,sync_event,
640326.982191,640326.982181,1673974823.669282,99402,14079,8,LM,1,100,640326.9352484,640326.9352681,640326.9551342,sync_event,
640328.553796,640328.553786,1673974825.240841,100925,14331,8,LM,1,100,640328.4361777,640328.4361979,640328.4517245,sync_event,
640329.961327,640329.961317,1673974826.648331,102289,14556,8,LM,1,100,640329.9365046,640329.9365257,640329.9528260,sync_event,
640331.501975,640331.501965,1673974828.188934,103782,14807,8,LM,1,100,640331.4371157,640331.4371261,640331.4514062,sync_event,
640332.956974,640332.956964,1673974829.643891,105192,15043,8,LM,1,100,640332.9372530,640332.9372634,640332.9518516,sync_event,
640334.461505,640334.461495,1673974831.148378,106650,15278,8,LM,1,100,640334.4372987,640334.4373250,640334.4515397,sync_event,
640336.005248,640336.005238,1673974832.692076,108146,15535,8,LM,1,100,640335.9382494,640335.9382619,640335.9516372,sync_event,
640337.513907,640337.513896,1673974834.200691,109608,15771,8,LM,1,100,640337.4391147,640337.4391330,640337.4516941,sync_event,
640338.986448,640338.986438,1673974835.673190,111035,16007,8,LM,1,100,640338.9400636,640338.9400819,640338.9652692,sync_event,
640340.543607,640340.543596,1673974837.230303,112544,16263,8,LM,1,100,640340.4405796,640340.4405929,640340.4515073,sync_event,
640342.022340,640342.022329,1673974838.708993,113977,16499,8,LM,1,100,640341.9410872,640341.9411161,640341.9517368,sync_event,
640343.590849,640343.590839,1673974840.277457,115497,16750,8,LM,1,100,640343.4413454,640343.4413421,640343.5001758,sync_event,
640345.021082,640345.021072,1673974841.707648,116883,16986,8,LM,1,100,640344.9413793,640344.9413760,640344.9514139,sync_event,
640346.523549,640346.523538,1673974843.210071,118339,17226,8,LM,1,100,640346.4420346,640346.4420681,640346.4515030,sync_event,
640347.975453,640347.975442,1673974844.661932,119746,17462,8,LM,1,100,640347.9423854,640347.9424283,640347.9516343,sync_event,
640349.531579,640349.531568,1673974846.218013,121254,17714,8,LM,1,100,640349.4424367,640349.4424544,640349.4515587,sync_event,
640350.958716,640350.958705,1673974847.645109,122637,17939,8,LM,1,100,640350.9430513,640350.9430690,640350.9513288,sync_event,
640352.496269,640352.496257,1673974849.182616,124127,18190,8,LM,1,100,640352.4433745,640352.4433969,640352.4515906,sync_event,
640353.953331,640353.953320,1673974850.639637,125539,18426,8,LM,1,100,640353.9443418,640353.9443619,640353.9514379,sync_event,
640355.458894,640355.458883,1673974852.145156,126998,18661,8,LM,1,100,640355.4452341,640355.4452634,640355.4529944,sync_event,
640357.015021,640357.015009,1673974853.701237,128506,18919,8,LM,1,100,640356.9459939,640356.9460231,640356.9512828,sync_event,
640358.512328,640358.512316,1673974855.198501,129957,19153,8,LM,1,100,640358.4463932,640358.4464128,640358.4530088,sync_event,
640359.970423,640359.970411,1673974856.656553,131370,19389,8,LM,1,100,640359.9473052,640359.9473494,640359.9516429,sync_event,
640361.515198,640361.515186,1673974858.201283,132867,19646,8,LM,1,100,640361.4482293,640361.4482387,640361.4513478,sync_event,
640363.014570,640363.014558,1673974859.700611,134320,19882,8,LM,1,100,640362.9483976,640362.9484070,640362.9516450,sync_event,
640364.492271,640364.492259,1673974861.178269,135752,20117,8,LM,1,100,640364.4487491,640364.4487696,640364.4686581,sync_event,
640366.028791,640366.028779,1673974862.714745,137241,20370,8,LM,1,100,640365.9491721,640365.9491982,640365.9512944,sync_event,
640367.521971,640367.521958,1673974864.207881,138688,20610,8,LM,1,100,640367.4492528,640367.4492821,640367.4512129,sync_event,
640369.085321,640369.085308,1673974865.771185,140203,20863,8,LM,1,100,640368.9503644,640368.9503937,640369.0099030,sync_event,
640370.525873,640370.525860,1673974867.211695,141599,21097,8,LM,1,100,640370.4506229,640370.4506403,640370.4677889,sync_event,
640371.999446,640371.999434,1673974868.685226,143027,21339,8,LM,1,100,640371.9508869,640371.9509034,640371.9677517,sync_event,
640373.462700,640373.462688,1673974870.148438,144445,21573,8,LM,1,100,640373.4511360,640373.4511480,640373.4683198,sync_event,
640375.006444,640375.006431,1673974871.692136,145941,21824,8,LM,1,100,640374.9513807,640374.9513927,640374.9683029,sync_event,
640376.491368,640376.491356,1673974873.177017,147380,22058,8,LM,1,100,640376.4521228,640376.4521490,640376.4681445,sync_event,
640377.971133,640377.971120,1673974874.656739,148814,22300,8,LM,1,100,640377.9523694,640377.9523853,640377.9680639,sync_event,
640379.512813,640379.512800,1673974876.198374,150308,22551,8,LM,1,100,640379.4532069,640379.4532195,640379.4680691,sync_event,
640380.983291,640380.983278,1673974877.668809,151733,22788,8,LM,1,100,640380.9532272,640380.9532398,640380.9690660,sync_event,
640382.466151,640382.466138,1673974879.151626,153170,23022,8,LM,1,100,640382.4535191,640382.4535150,640382.4680670,sync_event,
