LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
640313.627158,640313.627149,1673974810.314638,86460.000,11936,1,T1,1,100,28.302
640313.760275,640313.760266,1673974810.447751,86589.000,11959,1,T1,1,100,28.379
640313.892360,640313.892351,1673974810.579832,86717.000,11992,1,T1,1,100,28.377
640314.026509,640314.026500,1673974810.713977,86847.000,12009,1,T1,1,100,28.411
640314.158594,640314.158585,1673974810.846058,86975.000,12026,1,T1,1,100,28.320
640314.290679,640314.290670,1673974810.978139,87103.000,12042,1,T1,1,100,28.387
640314.423796,640314.423787,1673974811.111252,87232.000,12074,1,T1,1,100,28.345
640314.556913,640314.556904,1673974811.244365,87361.000,12091,1,T1,1,100,28.362
640314.688998,640314.688989,1673974811.376446,87489.000,12108,1,T1,1,100,28.369
640314.821083,640314.821074,1673974811.508528,87617.000,12127,1,T1,1,100,28.408
640314.954200,640314.954191,1673974811.641641,87746.000,12162,1,T1,1,100,28.354
640315.088348,640315.088339,1673974811.775786,87876.000,12178,1,T1,1,100,28.330
640315.220433,640315.220424,1673974811.907867,88004.000,12195,1,T1,1,100,28.391
640315.353550,640315.353541,1673974812.040980,88133.000,12227,1,T1,1,100,28.382
640315.486667,640315.486658,1673974812.174093,88262.000,12243,1,T1,1,100,28.378
640315.617720,640315.617711,1673974812.305142,88389.000,12260,1,T1,1,100,28.341
640315.750837,640315.750828,1673974812.438255,88518.000,12279,1,T1,1,100,28.325
640315.882922,640315.882913,1673974812.570336,88646.000,12310,1,T1,1,100,28.353
640316.016039,640316.016030,1673974812.703449,88775.000,12328,1,T1,1,100,28.366
640316.148124,640316.148115,1673974812.835531,88903.000,12344,1,T1,1,100,28.300
640316.284337,640316.284328,1673974812.971739,89035.000,12361,1,T1,1,100,28.378
640316.419518,640316.419509,1673974813.106916,89166.000,12393,1,T1,1,100,28.341
640316.551603,640316.551594,1673974813.238997,89294.000,12412,1,T1,1,100,28.396
640316.684720,640316.684710,1673974813.372110,89423.000,12430,1,T1,1,100,28.384
640316.817837,640316.817827,1673974813.505223,89552.000,12463,1,T1,1,100,28.379
640316.948890,640316.948880,1673974813.636273,89679.000,12479,1,T1,1,100,28.412
640317.082007,640317.081997,1673974813.769386,89808.000,12497,1,T1,1,100,28.356
640317.217187,640317.217178,1673974813.904562,89939.000,12513,1,T1,1,100,28.438
640317.351336,640317.351327,1673974814.038707,90069.000,12545,1,T1,1,100,28.402
640317.483421,640317.483412,1673974814.170789,90197.000,12562,1,T1,1,100,28.351
640317.616538,640317.616529,1673974814.303902,90326.000,12578,1,T1,1,100,28.294
640317.749655,640317.749646,1673974814.437015,90455.000,12598,1,T1,1,100,28.340
640317.883804,640317.883795,1673974814.571160,90585.000,12629,1,T1,1,100,28.360
640318.016921,640318.016912,1673974814.704273,90714.000,12649,1,T1,1,100,28.404
640318.149006,640318.148997,1673974814.836354,90842.000,12666,1,T1,1,100,28.317
640318.281091,640318.281082,1673974814.968435,90970.000,12682,1,T1,1,100,28.350
640318.414208,640318.414199,1673974815.101548,91099.000,12714,1,T1,1,100,28.329
640318.548357,640318.548347,1673974815.235693,91229.000,12731,1,T1,1,100,28.355
640318.683537,640318.683528,1673974815.370870,91360.000,12748,1,T1,1,100,28.473
640318.815622,640318.815613,1673974815.502951,91488.000,12781,1,T1,1,100,28.417
640318.948739,640318.948730,1673974815.636064,91617.000,12804,1,T1,1,100,28.464
640319.080824,640319.080815,1673974815.768145,91745.000,12820,1,T1,1,100,28.414
640319.213941,640319.213932,1673974815.901258,91874.000,12837,1,T1,1,100,28.392
640319.348090,640319.348081,1673974816.035403,92004.000,12853,1,T1,1,100,28.347
640319.484303,640319.484293,1673974816.171612,92136.000,12888,1,T1,1,100,28.327
640319.618452,640319.618442,1673974816.305757,92266.000,12905,1,T1,1,100,28.283
640319.749505,640319.749495,1673974816.436806,92393.000,12924,1,T1,1,100,28.406
640319.881590,640319.881580,1673974816.568887,92521.000,12941,1,T1,1,100,28.424
640320.016770,640320.016761,1673974816.704064,92652.000,12973,1,T1,1,100,28.432
640320.150919,640320.150910,1673974816.838209,92782.000,12989,1,T1,1,100,28.400
640320.283004,640320.282995,1673974816.970290,92910.000,13006,1,T1,1,100,28.421
640320.416121,640320.416112,1673974817.103403,93039.000,13038,1,T1,1,100,28.466
640320.548206,640320.548197,1673974817.235484,93167.000,13054,1,T1,1,100,28.308
640320.680291,640320.680282,1673974817.367566,93295.000,13072,1,T1,1,100,28.417
640320.814440,640320.814431,1673974817.501710,93425.000,13090,1,T1,1,100,28.429
640320.950653,640320.950643,1673974817.637919,93557.000,13125,1,T1,1,100,28.398
640321.082738,640321.082728,1673974817.770000,93685.000,13142,1,T1,1,100,28.385
640321.214823,640321.214813,1673974817.902081,93813.000,13158,1,T1,1,100,28.379
640321.347940,640321.347930,1673974818.035195,93942.000,13176,1,T1,1,100,28.377
640321.482089,640321.482079,1673974818.169339,94072.000,13207,1,T1,1,100,28.411
640321.616237,640321.616228,1673974818.303484,94202.000,13223,1,T1,1,100,28.497
640321.750386,640321.750377,1673974818.437629,94332.000,13243,1,T1,1,100,28.392
640321.882471,640321.882462,1673974818.569710,94460.000,13259,1,T1,1,100,28.383
640322.014556,640322.014547,1673974818.701792,94588.000,13291,1,T1,1,100,28.343
640322.147673,640322.147664,1673974818.834905,94717.000,13308,1,T1,1,100,28.326
640322.281822,640322.281813,1673974818.969050,94847.000,13324,1,T1,1,100,28.389
640322.417003,640322.416993,1673974819.104227,94978.000,13359,1,T1,1,100,28.452
640322.549088,640322.549078,1673974819.236308,95106.000,13376,1,T1,1,100,28.408
640322.680141,640322.680131,1673974819.367357,95233.000,13393,1,T1,1,100,28.389
640322.813258,640322.813248,1673974819.500470,95362.000,13412,1,T1,1,100,28.488
640322.946375,640322.946365,1673974819.633583,95491.000,13444,1,T1,1,100,28.530
640323.079492,640323.079482,1673974819.766696,95620.000,13460,1,T1,1,100,28.442
640323.212609,640323.212599,1673974819.899809,95749.000,13477,1,T1,1,100,28.510
640323.343662,640323.343652,1673974820.030859,95876.000,13493,1,T1,1,100,28.469
640323.476779,640323.476769,1673974820.163971,96005.000,13525,1,T1,1,100,28.416
640323.609896,640323.609886,1673974820.297085,96134.000,13542,1,T1,1,100,28.357
640323.741981,640323.741971,1673974820.429166,96262.000,13561,1,T1,1,100,28.438
640323.875098,640323.875088,1673974820.562279,96391.000,13592,1,T1,1,100,28.402
640324.009246,640324.009237,1673974820.696424,96521.000,13613,1,T1,1,100,28.387
640324.141331,640324.141322,1673974820.828505,96649.000,13629,1,T1,1,100,28.345
640324.273416,640324.273407,1673974820.960586,96777.000,13651,1,T1,1,100,28.362
640324.406533,640324.406524,1673974821.093699,96906.000,13668,1,T1,1,100,28.405
640324.539650,640324.539641,1673974821.226812,97035.000,13699,1,T1,1,100,28.423
640324.671735,640324.671726,1673974821.358893,97163.000,13717,1,T1,1,100,28.396
640324.802788,640324.802779,1673974821.489943,97290.000,13735,1,T1,1,100,28.349
640324.935905,640324.935896,1673974821.623056,97419.000,13752,1,T1,1,100,28.328
640325.070054,640325.070044,1673974821.757200,97549.000,13784,1,T1,1,100,28.390
640325.202139,640325.202129,1673974821.889282,97677.000,13800,1,T1,1,100,28.346
640325.334224,640325.334214,1673974822.021363,97805.000,13818,1,T1,1,100,28.398
640325.469405,640325.469395,1673974822.156540,97936.000,13837,1,T1,1,100,28.456
640325.602522,640325.602512,1673974822.289653,98065.000,13869,1,T1,1,100,28.445
640325.735639,640325.735629,1673974822.422766,98194.000,13888,1,T1,1,100,28.405
640325.867724,640325.867714,1673974822.554847,98322.000,13904,1,T1,1,100,28.282
640325.999809,640325.999799,1673974822.686928,98450.000,13936,1,T1,1,100,28.370
640326.132926,640326.132916,1673974822.820041,98579.000,13953,1,T1,1,100,28.337
640326.269138,640326.269129,1673974822.956250,98711.000,13969,1,T1,1,100,28.394
640326.404319,640326.404309,1673974823.091427,98842.000,13987,1,T1,1,100,28.454
640326.536404,640326.536394,1673974823.223508,98970.000,14018,1,T1,1,100,28.409
640326.669521,640326.669511,1673974823.356621,99099.000,14035,1,T1,1,100,28.496
640326.800574,640326.800564,1673974823.487670,99226.000,14054,1,T1,1,100,28.463
640326.935755,640326.935745,1673974823.622847,99357.000,14089,1,T1,1,100,28.413
640327.068872,640327.068862,1673974823.755960,99486.000,14105,1,T1,1,100,28.498
640327.201989,640327.201979,1673974823.889073,99615.000,14122,1,T1,1,100,28.464
640327.336138,640327.336128,1673974824.023218,99745.000,14139,1,T1,1,100,28.449
640327.468223,640327.468213,1673974824.155299,99873.000,14170,1,T1,1,100,28.371
640327.601340,640327.601330,1673974824.288412,100002.000,14187,1,T1,1,100,28.373
640327.734456,640327.734447,1673974824.421525,100131.000,14206,1,T1,1,100,28.481
640327.868605,640327.868595,1673974824.555670,100261.000,14223,1,T1,1,100,28.456
640328.001722,640328.001712,1673974824.688783,100390.000,14255,1,T1,1,100,28.446
640328.133807,640328.133797,1673974824.820864,100518.000,14271,1,T1,1,100,28.441
640328.265892,640328.265882,1673974824.952946,100646.000,14288,1,T1,1,100,28.404
640328.401073,640328.401063,1673974825.088122,100777.000,14320,1,T1,1,100,28.423
640328.535222,640328.535212,1673974825.222267,100907.000,14339,1,T1,1,100,28.502
640328.670403,640328.670393,1673974825.357444,101038.000,14357,1,T1,1,100,28.465
640328.802488,640328.802478,1673974825.489525,101166.000,14375,1,T1,1,100,28.414
640328.933541,640328.933531,1673974825.620575,101293.000,14407,1,T1,1,100,28.463
640329.066658,640329.066648,1673974825.753688,101422.000,14424,1,T1,1,100,28.448
640329.200806,640329.200797,1673974825.887833,101552.000,14440,1,T1,1,100,28.407
640329.334955,640329.334945,1673974826.021978,101682.000,14472,1,T1,1,100,28.495
640329.468072,640329.468062,1673974826.155091,101811.000,14489,1,T1,1,100,28.462
640329.602221,640329.602211,1673974826.289236,101941.000,14510,1,T1,1,100,28.342
640329.733274,640329.733264,1673974826.420285,102068.000,14530,1,T1,1,100,28.432
640329.865359,640329.865349,1673974826.552366,102196.000,14564,1,T1,1,100,28.399
640330.000540,640330.000530,1673974826.687543,102327.000,14581,1,T1,1,100,28.457
640330.134689,640330.134679,1673974826.821688,102457.000,14598,1,T1,1,100,28.375
640330.267806,640330.267796,1673974826.954801,102586.000,14614,1,T1,1,100,28.446
640330.398859,640330.398849,1673974827.085850,102713.000,14646,1,T1,1,100,28.441
640330.530944,640330.530934,1673974827.217931,102841.000,14663,1,T1,1,100,28.439
640330.666125,640330.666115,1673974827.353108,102972.000,14680,1,T1,1,100,28.474
640330.799242,640330.799231,1673974827.486221,103101.000,14699,1,T1,1,100,28.418
640330.932358,640330.932348,1673974827.619334,103230.000,14731,1,T1,1,100,28.464
640331.064443,640331.064433,1673974827.751415,103358.000,14747,1,T1,1,100,28.378
640331.195497,640331.195486,1673974827.882465,103485.000,14764,1,T1,1,100,28.341
640331.328613,640331.328603,1673974828.015578,103614.000,14780,1,T1,1,100,28.396
640331.462762,640331.462752,1673974828.149723,103744.000,14815,1,T1,1,100,28.419
640331.597943,640331.597933,1673974828.284899,103875.000,14832,1,T1,1,100,28.572
640331.732092,640331.732082,1673974828.419044,104005.000,14851,1,T1,1,100,28.495
640331.864177,640331.864167,1673974828.551126,104133.000,14882,1,T1,1,100,28.463
640331.996262,640331.996252,1673974828.683207,104261.000,14900,1,T1,1,100,28.484
640332.129379,640332.129369,1673974828.816320,104390.000,14916,1,T1,1,100,28.458
640332.262496,640332.262486,1673974828.949433,104519.000,14933,1,T1,1,100,28.482
640332.393549,640332.393539,1673974829.080482,104646.000,14965,1,T1,1,100,28.457
640332.525634,640332.525624,1673974829.212563,104774.000,14981,1,T1,1,100,28.446
640332.658751,640332.658741,1673974829.345676,104903.000,14999,1,T1,1,100,28.406
640332.790836,640332.790826,1673974829.477757,105031.000,15017,1,T1,1,100,28.388
640332.926017,640332.926006,1673974829.612934,105162.000,15052,1,T1,1,100,28.452
640333.059134,640333.059123,1673974829.746047,105291.000,15069,1,T1,1,100,28.444
640333.192250,640333.192240,1673974829.879160,105420.000,15085,1,T1,1,100,28.476
640333.323304,640333.323293,1673974830.010210,105547.000,15103,1,T1,1,100,28.454
640333.456420,640333.456410,1673974830.143323,105676.000,15134,1,T1,1,100,28.409
640333.589537,640333.589527,1673974830.276436,105805.000,15150,1,T1,1,100,28.461
640333.721622,640333.721612,1673974830.408517,105933.000,15170,1,T1,1,100,28.518
640333.853707,640333.853697,1673974830.540598,106061.000,15201,1,T1,1,100,28.473
640333.987856,640333.987846,1673974830.674743,106191.000,15218,1,T1,1,100,28.488
640334.120973,640334.120963,1673974830.807856,106320.000,15235,1,T1,1,100,28.459
640334.253058,640334.253048,1673974830.939937,106448.000,15251,1,T1,1,100,28.412
640334.386175,640334.386165,1673974831.073050,106577.000,15286,1,T1,1,100,28.426
640334.519292,640334.519282,1673974831.206163,106706.000,15303,1,T1,1,100,28.468
640334.651377,640334.651367,1673974831.338244,106834.000,15320,1,T1,1,100,28.486
640334.782430,640334.782420,1673974831.469294,106961.000,15339,1,T1,1,100,28.459
640334.915547,640334.915537,1673974831.602407,107090.000,15376,1,T1,1,100,28.411
640335.048664,640335.048654,1673974831.735520,107219.000,15392,1,T1,1,100,28.426
640335.181781,640335.181771,1673974831.868633,107348.000,15409,1,T1,1,100,28.433
640335.313866,640335.313856,1673974832.000714,107476.000,15426,1,T1,1,100,28.400
640335.449047,640335.449036,1673974832.135891,107607.000,15457,1,T1,1,100,28.386
640335.582164,640335.582153,1673974832.269004,107736.000,15474,1,T1,1,100,28.415
640335.715281,640335.715270,1673974832.402117,107865.000,15493,1,T1,1,100,28.392
640335.847366,640335.847355,1673974832.534198,107993.000,15524,1,T1,1,100,28.418
640335.978419,640335.978408,1673974832.665247,108120.000,15545,1,T1,1,100,28.429
640336.114631,640336.114621,1673974832.801456,108252.000,15561,1,T1,1,100,28.434
640336.248780,640336.248770,1673974832.935601,108382.000,15578,1,T1,1,100,28.471
640336.382929,640336.382919,1673974833.069746,108512.000,15610,1,T1,1,100,28.559
640336.515014,640336.515004,1673974833.201827,108640.000,15626,1,T1,1,100,28.525
640336.648131,640336.648121,1673974833.334940,108769.000,15644,1,T1,1,100,28.476
640336.779184,640336.779174,1673974833.465990,108896.000,15662,1,T1,1,100,28.560
640336.915397,640336.915386,1673974833.602198,109028.000,15694,1,T1,1,100,28.491
640337.048514,640337.048503,1673974833.735311,109157.000,15711,1,T1,1,100,28.460
640337.181631,640337.181620,1673974833.868424,109286.000,15727,1,T1,1,100,28.447
640337.314747,640337.314737,1673974834.001537,109415.000,15759,1,T1,1,100,28.442
640337.445801,640337.445790,1673974834.132587,109542.000,15779,1,T1,1,100,28.439
640337.578918,640337.578907,1673974834.265700,109671.000,15795,1,T1,1,100,28.438
640337.714098,640337.714088,1673974834.400877,109802.000,15815,1,T1,1,100,28.402
640337.848247,640337.848237,1673974834.535022,109932.000,15846,1,T1,1,100,28.493
640337.981364,640337.981354,1673974834.668134,110061.000,15863,1,T1,1,100,28.497
640338.113449,640338.113439,1673974834.800216,110189.000,15880,1,T1,1,100,28.392
640338.245534,640338.245524,1673974834.932297,110317.000,15896,1,T1,1,100,28.383
640338.382779,640338.382768,1673974835.069537,110450.000,15928,1,T1,1,100,28.449
640338.515896,640338.515885,1673974835.202651,110579.000,15945,1,T1,1,100,28.549
640338.651076,640338.651066,1673974835.337827,110710.000,15962,1,T1,1,100,28.557
640338.783161,640338.783151,1673974835.469908,110838.000,15981,1,T1,1,100,28.595
640338.914214,640338.914204,1673974835.600958,110965.000,16016,1,T1,1,100,28.541
640339.047331,640339.047321,1673974835.734071,111094.000,16032,1,T1,1,100,28.553
640339.181480,640339.181470,1673974835.868216,111224.000,16049,1,T1,1,100,28.488
640339.315629,640339.315618,1673974836.002361,111354.000,16081,1,T1,1,100,28.530
640339.448746,640339.448735,1673974836.135474,111483.000,16097,1,T1,1,100,28.513
