RD,TS_received,TS_sent,AK,RoundTrip,
86584,86606,2023-01-17_19-00-10-450356,86609,22,
91683,91704,2023-01-17_19-00-15-715338,91707,21,
96791,96813,2023-01-17_19-00-20-986395,96816,22,
101933,101956,2023-01-17_19-00-26-287910,101960,23,
107041,107064,2023-01-17_19-00-31-569693,107067,23,
112152,112173,2023-01-17_19-00-36-833387,112177,21,
117310,117356,2023-01-17_19-00-42-191552,117359,46,
122411,122432,2023-01-17_19-00-47-418252,122434,21,
127517,127539,2023-01-17_19-00-52-697006,127541,22,
132664,132694,2023-01-17_19-00-58-005012,132697,30,
137781,137805,2023-01-17_19-01-03-285655,137809,24,
142930,142956,2023-01-17_19-01-08-607682,142960,26,
148082,148125,2023-01-17_19-01-13-935173,148129,43,
153258,153281,2023-01-17_19-01-19-261928,153284,23,
158356,158441,2023-01-17_19-01-24-579851,158443,85,
163478,163503,2023-01-17_19-01-29-805809,163507,25,
168639,168661,2023-01-17_19-01-35-131920,168664,22,
173739,173759,2023-01-17_19-01-40-393050,173762,20,
178892,178969,2023-01-17_19-01-45-769542,178972,77,
183993,184047,2023-01-17_19-01-51-003495,184050,54,
189109,189198,2023-01-17_19-01-56-323096,189201,89,
194218,194264,2023-01-17_19-02-01-547482,194267,46,
199351,199420,2023-01-17_19-02-06-872856,199422,69,
204458,204497,2023-01-17_19-02-12-098001,204501,39,
209558,209580,2023-01-17_19-02-17-353448,209583,22,
214702,214799,2023-01-17_19-02-22-735027,214802,97,
219835,219861,2023-01-17_19-02-27-964831,219864,26,
224961,224983,2023-01-17_19-02-33-251753,224986,22,
230091,230113,2023-01-17_19-02-38-538377,230116,22,
235237,235259,2023-01-17_19-02-43-848442,235262,22,
240352,240374,2023-01-17_19-02-49-123226,240376,22,
245483,245507,2023-01-17_19-02-54-417654,245510,24,
250608,250655,2023-01-17_19-02-59-733256,250658,47,
255712,255793,2023-01-17_19-03-05-031061,255796,81,
260861,260881,2023-01-17_19-03-10-282206,260885,20,
266005,266027,2023-01-17_19-03-15-584875,266031,22,
271149,271178,2023-01-17_19-03-20-904353,271181,29,
276283,276304,2023-01-17_19-03-26-190091,276307,21,
281398,281418,2023-01-17_19-03-31-476359,281421,20,
286522,286562,2023-01-17_19-03-36-777174,286565,40,
291673,291720,2023-01-17_19-03-42-100390,291724,47,
296816,296877,2023-01-17_19-03-47-425106,296879,61,
301921,302034,2023-01-17_19-03-52-746926,307052,113,
307074,307102,2023-01-17_19-03-57-973905,307105,28,
312216,312262,2023-01-17_19-04-03-297010,312265,46,
317360,317414,2023-01-17_19-04-08-621040,317417,54,
322473,322497,2023-01-17_19-04-13-860733,322501,24,
327582,327605,2023-01-17_19-04-19-139300,327608,23,
332711,332733,2023-01-17_19-04-24-422243,332736,22,
337848,337871,2023-01-17_19-04-29-725767,337874,23,
343002,343027,2023-01-17_19-04-35-044712,343030,25,
348107,348127,2023-01-17_19-04-40-314656,348130,20,
353227,353249,2023-01-17_19-04-45-598669,353252,22,
358341,358404,2023-01-17_19-04-50-911498,358407,63,
363445,363466,2023-01-17_19-04-56-139731,363469,21,
368598,368624,2023-01-17_19-05-01-457181,368627,26,
373697,373781,2023-01-17_19-05-06-781210,373784,84,
378846,378938,2023-01-17_19-05-12-099039,378941,92,
383963,383999,2023-01-17_19-05-17-328572,384002,36,
389062,389084,2023-01-17_19-05-22-574191,389087,22,
394169,394191,2023-01-17_19-05-27-847764,394193,22,
399287,399309,2023-01-17_19-05-33-131599,399312,22,
404427,404449,2023-01-17_19-05-38-430654,404451,22,
409578,409600,2023-01-17_19-05-43-754023,409603,22,
414710,414761,2023-01-17_19-05-49-071525,414763,51,
