LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
640313.532222,640313.532213,1673974810.219704,86368.000,11921,5,AZ,1,100,0.997
640313.532222,640313.532213,1673974810.219704,86368.000,11921,5,AZ,1,100,1.000
640313.532222,640313.532213,1673974810.219704,86368.000,11921,5,AZ,1,100,1.000
640313.532222,640313.532213,1673974810.219704,86368.000,11921,5,AZ,1,100,1.002
640313.532222,640313.532213,1673974810.219704,86368.000,11921,5,AZ,1,100,1.000
640313.570403,640313.570394,1673974810.257884,86405.000,11940,3,AZ,1,100,0.999
640313.608584,640313.608575,1673974810.296064,86442.000,11940,3,AZ,1,100,1.000
640313.646764,640313.646755,1673974810.334244,86479.000,11940,3,AZ,1,100,1.002
640313.687009,640313.687000,1673974810.374487,86518.000,11963,3,AZ,1,100,1.001
640313.727254,640313.727245,1673974810.414731,86557.000,11963,3,AZ,1,100,1.001
640313.767498,640313.767489,1673974810.454974,86596.000,11963,3,AZ,1,100,1.000
640313.807399,640313.807390,1673974810.494874,86634.667,11979,3,AZ,1,100,1.000
640313.847300,640313.847291,1673974810.534773,86673.333,11979,3,AZ,1,100,1.001
640313.887200,640313.887191,1673974810.574672,86712.000,11979,3,AZ,1,100,1.001
640313.926929,640313.926920,1673974810.614400,86750.500,11996,2,AZ,1,100,1.000
640313.966658,640313.966649,1673974810.654128,86789.000,11996,2,AZ,1,100,1.002
640314.006215,640314.006205,1673974810.693683,86827.333,12013,3,AZ,1,100,1.002
640314.045771,640314.045762,1673974810.733239,86865.667,12013,3,AZ,1,100,0.999
640314.085328,640314.085319,1673974810.772794,86904.000,12013,3,AZ,1,100,1.002
640314.124885,640314.124876,1673974810.812350,86942.333,12030,3,AZ,1,100,1.000
640314.164441,640314.164432,1673974810.851905,86980.667,12030,3,AZ,1,100,0.999
640314.203998,640314.203989,1673974810.891461,87019.000,12030,3,AZ,1,100,0.999
640314.244243,640314.244234,1673974810.931704,87058.000,12046,2,AZ,1,100,0.999
640314.284487,640314.284478,1673974810.971948,87097.000,12046,2,AZ,1,100,1.002
640314.324388,640314.324379,1673974811.011847,87135.667,12062,3,AZ,1,100,0.999
640314.364289,640314.364280,1673974811.051747,87174.333,12062,3,AZ,1,100,1.001
640314.404189,640314.404180,1673974811.091646,87213.000,12062,3,AZ,1,100,1.000
640314.443918,640314.443909,1673974811.131374,87251.500,12078,2,AZ,1,100,0.998
640314.483647,640314.483638,1673974811.171102,87290.000,12078,2,AZ,1,100,1.001
640314.523547,640314.523538,1673974811.211001,87328.667,12095,3,AZ,1,100,1.003
640314.563448,640314.563439,1673974811.250901,87367.333,12095,3,AZ,1,100,1.000
640314.603349,640314.603340,1673974811.290800,87406.000,12095,3,AZ,1,100,1.002
640314.642562,640314.642552,1673974811.330012,87444.000,12112,3,AZ,1,100,1.001
640314.681774,640314.681765,1673974811.369223,87482.000,12112,3,AZ,1,100,1.002
640314.720987,640314.720978,1673974811.408435,87520.000,12112,3,AZ,1,100,1.002
640314.767939,640314.767930,1673974811.455386,87565.500,12131,2,AZ,1,100,1.001
640314.814891,640314.814882,1673974811.502336,87611.000,12131,2,AZ,1,100,1.000
640314.855136,640314.855127,1673974811.542580,87650.000,12145,3,AZ,1,100,1.000
640314.895381,640314.895371,1673974811.582823,87689.000,12145,3,AZ,1,100,1.000
640314.935625,640314.935616,1673974811.623067,87728.000,12145,3,AZ,1,100,1.004
640314.974838,640314.974829,1673974811.662278,87766.000,12166,2,AZ,1,100,1.000
640315.014051,640315.014042,1673974811.701490,87804.000,12166,2,AZ,1,100,1.000
640315.053951,640315.053942,1673974811.741390,87842.667,12182,3,AZ,1,100,1.001
640315.093852,640315.093843,1673974811.781289,87881.333,12182,3,AZ,1,100,1.001
640315.133753,640315.133744,1673974811.821188,87920.000,12182,3,AZ,1,100,1.001
640315.173653,640315.173644,1673974811.861088,87958.667,12199,3,AZ,1,100,0.999
640315.213554,640315.213545,1673974811.900988,87997.333,12199,3,AZ,1,100,1.000
640315.253455,640315.253446,1673974811.940887,88036.000,12199,3,AZ,1,100,1.001
640315.293699,640315.293690,1673974811.981131,88075.000,12213,2,AZ,1,100,0.998
640315.333944,640315.333935,1673974812.021374,88114.000,12213,2,AZ,1,100,1.000
640315.373845,640315.373836,1673974812.061274,88152.667,12231,3,AZ,1,100,1.000
640315.413745,640315.413736,1673974812.101173,88191.333,12231,3,AZ,1,100,1.003
640315.453646,640315.453637,1673974812.141073,88230.000,12231,3,AZ,1,100,1.000
640315.492859,640315.492850,1673974812.180284,88268.000,12247,2,AZ,1,100,1.003
640315.532072,640315.532062,1673974812.219496,88306.000,12247,2,AZ,1,100,1.000
640315.571628,640315.571619,1673974812.259051,88344.333,12264,3,AZ,1,100,1.000
640315.611185,640315.611176,1673974812.298607,88382.667,12264,3,AZ,1,100,1.002
640315.650742,640315.650733,1673974812.338162,88421.000,12264,3,AZ,1,100,1.002
640315.690298,640315.690289,1673974812.377718,88459.333,12283,3,AZ,1,100,1.002
640315.729855,640315.729846,1673974812.417274,88497.667,12283,3,AZ,1,100,1.000
640315.769412,640315.769403,1673974812.456829,88536.000,12283,3,AZ,1,100,1.002
640315.809656,640315.809647,1673974812.497073,88575.000,12298,2,AZ,1,100,1.001
640315.849901,640315.849892,1673974812.537316,88614.000,12298,2,AZ,1,100,1.003
640315.894273,640315.894264,1673974812.581687,88657.000,12314,3,AZ,1,100,1.001
640315.938646,640315.938637,1673974812.626058,88700.000,12314,3,AZ,1,100,1.000
640315.983018,640315.983009,1673974812.670429,88743.000,12314,3,AZ,1,100,1.003
640316.022747,640316.022738,1673974812.710157,88781.500,12332,2,AZ,1,100,1.000
640316.062475,640316.062466,1673974812.749884,88820.000,12332,2,AZ,1,100,1.002
640316.102032,640316.102023,1673974812.789440,88858.333,12348,3,AZ,1,100,1.001
640316.141589,640316.141580,1673974812.828995,88896.667,12348,3,AZ,1,100,0.996
640316.181146,640316.181136,1673974812.868551,88935.000,12348,3,AZ,1,100,1.004
640316.222078,640316.222069,1673974812.909482,88974.667,12365,3,AZ,1,100,1.003
640316.263011,640316.263002,1673974812.950414,89014.333,12365,3,AZ,1,100,0.997
640316.303943,640316.303934,1673974812.991345,89054.000,12365,3,AZ,1,100,1.001
640316.344704,640316.344695,1673974813.032104,89093.500,12380,2,AZ,1,100,1.001
640316.385465,640316.385455,1673974813.072864,89133.000,12380,2,AZ,1,100,1.000
640316.425193,640316.425184,1673974813.112592,89171.500,12397,2,AZ,1,100,1.001
640316.464922,640316.464913,1673974813.152319,89210.000,12397,2,AZ,1,100,1.000
640316.504823,640316.504813,1673974813.192219,89248.667,12416,3,AZ,1,100,1.004
640316.544723,640316.544714,1673974813.232118,89287.333,12416,3,AZ,1,100,0.998
640316.584624,640316.584615,1673974813.272017,89326.000,12416,3,AZ,1,100,1.002
640316.624525,640316.624515,1673974813.311917,89364.667,12434,3,AZ,1,100,1.002
640316.664425,640316.664416,1673974813.351817,89403.333,12434,3,AZ,1,100,1.002
640316.704326,640316.704317,1673974813.391716,89442.000,12434,3,AZ,1,100,1.000
640316.744571,640316.744562,1673974813.431960,89481.000,12450,2,AZ,1,100,1.003
640316.784815,640316.784806,1673974813.472203,89520.000,12450,2,AZ,1,100,1.001
640316.824372,640316.824363,1673974813.511759,89558.333,12467,3,AZ,1,100,1.000
640316.863929,640316.863920,1673974813.551314,89596.667,12467,3,AZ,1,100,1.002
640316.903485,640316.903476,1673974813.590870,89635.000,12467,3,AZ,1,100,1.002
640316.942698,640316.942689,1673974813.630081,89673.000,12483,2,AZ,1,100,1.000
640316.981911,640316.981902,1673974813.669293,89711.000,12483,2,AZ,1,100,1.000
640317.026627,640317.026618,1673974813.714008,89754.333,12501,3,AZ,1,100,1.002
640317.071344,640317.071334,1673974813.758723,89797.667,12501,3,AZ,1,100,1.001
640317.116060,640317.116051,1673974813.803438,89841.000,12501,3,AZ,1,100,1.000
640317.156304,640317.156295,1673974813.843681,89880.000,12517,3,AZ,1,100,1.001
640317.196549,640317.196540,1673974813.883925,89919.000,12517,3,AZ,1,100,1.003
640317.236794,640317.236785,1673974813.924168,89958.000,12517,3,AZ,1,100,1.001
640317.277038,640317.277029,1673974813.964412,89997.000,12532,2,AZ,1,100,1.000
640317.317283,640317.317274,1673974814.004655,90036.000,12532,2,AZ,1,100,1.000
640317.357184,640317.357175,1673974814.044555,90074.667,12549,3,AZ,1,100,1.000
640317.397084,640317.397075,1673974814.084454,90113.333,12549,3,AZ,1,100,1.000
640317.436985,640317.436976,1673974814.124354,90152.000,12549,3,AZ,1,100,0.999
640317.476886,640317.476877,1673974814.164253,90190.667,12566,3,AZ,1,100,1.003
640317.516786,640317.516777,1673974814.204153,90229.333,12566,3,AZ,1,100,0.998
640317.556687,640317.556678,1673974814.244052,90268.000,12566,3,AZ,1,100,1.000
640317.595900,640317.595891,1673974814.283264,90306.000,12582,2,AZ,1,100,1.000
640317.635113,640317.635103,1673974814.322476,90344.000,12582,2,AZ,1,100,1.000
640317.675701,640317.675692,1673974814.363063,90383.333,12602,3,AZ,1,100,1.001
640317.716290,640317.716281,1673974814.403651,90422.667,12602,3,AZ,1,100,1.000
640317.756878,640317.756869,1673974814.444238,90462.000,12602,3,AZ,1,100,1.000
640317.797123,640317.797114,1673974814.484481,90501.000,12616,2,AZ,1,100,1.000
640317.837368,640317.837359,1673974814.524725,90540.000,12616,2,AZ,1,100,0.999
640317.877268,640317.877259,1673974814.564624,90578.667,12633,3,AZ,1,100,1.002
640317.917169,640317.917160,1673974814.604524,90617.333,12633,3,AZ,1,100,0.999
640317.957070,640317.957061,1673974814.644423,90656.000,12633,3,AZ,1,100,1.001
640317.996627,640317.996617,1673974814.683979,90694.333,12653,3,AZ,1,100,1.001
640318.036183,640318.036174,1673974814.723535,90732.667,12653,3,AZ,1,100,1.000
640318.075740,640318.075731,1673974814.763090,90771.000,12653,3,AZ,1,100,1.002
640318.122176,640318.122167,1673974814.809525,90816.000,12670,2,AZ,1,100,1.001
640318.168612,640318.168603,1673974814.855960,90861.000,12670,2,AZ,1,100,1.002
640318.208513,640318.208504,1673974814.895859,90899.667,12685,3,AZ,1,100,1.001
640318.248414,640318.248404,1673974814.935759,90938.333,12685,3,AZ,1,100,1.000
640318.288314,640318.288305,1673974814.975658,90977.000,12685,3,AZ,1,100,1.001
640318.328043,640318.328034,1673974815.015386,91015.500,12702,2,AZ,1,100,1.000
640318.367772,640318.367762,1673974815.055113,91054.000,12702,2,AZ,1,100,0.999
640318.407328,640318.407319,1673974815.094669,91092.333,12718,3,AZ,1,100,0.997
640318.446885,640318.446876,1673974815.134224,91130.667,12718,3,AZ,1,100,1.000
640318.486442,640318.486432,1673974815.173780,91169.000,12718,3,AZ,1,100,1.001
640318.527202,640318.527193,1673974815.214539,91208.500,12735,2,AZ,1,100,1.000
640318.567963,640318.567954,1673974815.255299,91248.000,12735,2,AZ,1,100,1.001
640318.608552,640318.608542,1673974815.295886,91287.333,12752,3,AZ,1,100,1.001
640318.649140,640318.649131,1673974815.336474,91326.667,12752,3,AZ,1,100,1.001
640318.689729,640318.689720,1673974815.377061,91366.000,12752,3,AZ,1,100,1.000
640318.729630,640318.729620,1673974815.416961,91404.667,12769,3,AZ,1,100,1.001
640318.769530,640318.769521,1673974815.456860,91443.333,12769,3,AZ,1,100,0.999
